nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Walter Javier,Gomez Ronquillo,wgomezr,compartir agenda actividad canar azuay manana martes felizlún felizsemán ecuador waltergomezescpccs waltergomezeselprimero,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,manzanita cpcc lograrer mejor dia,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,entrevista semanario heraldocanar impulsare conformacion veeduria ciudadano evaluar fiscalizar transitorio autoridad financiero caso parir concesión empresa publica felizmart elecciones2019 elecciones2019ec eleccionescpccs,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,entrevista radio genesis azogu prov canar plan trabajo cpccs ser hacer base necesidad ciudadania felizmart elecciones2019ec eleccionescpccs waltergomezescpccs waltergomezeselprimero ecuador,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,entrevistado martha calle ondascanaris evaluacion cpccs sero dado ciudadania indicarar paso seguir partir mayo 2019 felizmart elecciones2019ec eleccionescpccs waltergomezescpccs waltergomezeselprimero,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,entrevistado mercurioec ciudad cuenco prov azuay pugna vocal electo trujillo seguridad transparencia comicio dignidad deber renunciar felizmart elecciones2019ec eleccionescpccs waltergomezescpccs,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,cafe parque cuenco prov azuay recomendado lindo lugar felizmart,2019-02-19
Walter Javier,Gomez Ronquillo,wgomezr,lider organizacional urbano rural prov azuay apoyar candidatura avanzar felizmart elecciones2019ec eleccionescpccs cpccs waltergomezescpccs waltergomezeselprimero,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,kolectivoz davalos2019 felicitación juan xavier,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,teafundacion torresaereo alcaldiagye cynthiaviteri6 josuesanchezec gente solo criticar querer amamos animal hacer trabajo municipio exponer creer redito politico simplista ment,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,torresaereo teafundacion alcaldiagye cynthiaviteri6 josuesanchezec solo saber haz bienestar animal ensén hacer,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,torresaereo teafundacion alcaldiagye cynthiaviteri6 josuesanchezec mucho gracia entonces debido trabajo invitare apoyes todo gestión impulsar normativa impulsare cpccs,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,torresaereo teafundacion alcaldiagye cynthiaviteri6 josuesanchezec amig explico cpccs impulso creacion normativo ordenanza objetivo poder tener proyecto bienestar animal beneficiar social mejoramiento animal deber hacer junto junto,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,torresaereo teafundacion alcaldiagye cynthiaviteri6 josuesanchezec amigo juzgues conocerme tratar posible primero saber tildar yo descalificar yo,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,torresaereo teafundacion alcaldiagye cynthiaviteri6 josuesanchezec gracias amigo siempre positivo apreciación acto gracias nuevamente,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,torresaereo teafundacion alcaldiagye cynthiaviteri6 josuesanchezec lenin amigo parecer comprend modo invitado participar partir posesion serio mayo,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,radio benemerito santa rosa prov dejar tener actitud simplista presidente lider social politico agradir propuesta permito etiquetar querer sumar él propuesta bienvenido nuevo cpccs,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,santar rosa visitar medio comunidad,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,multicanalsr2 miercol 2019 mecanismo control vital vigilar recurso publico impulsar walter gomez llegar cpccs felizmiercol ecuador waltergomezescpccs waltergomezeselprimero,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,felicidad profesional buscar justicia felizdiadelabogado felizmiercoles ecuador,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,representante federacion nacional pescador artesanal puerto bolivar prov apoyo sero incondicional nuevo cpccs pescador artesanal activaremos varios mecanismo exigibilidad felizmiercol 20feb,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,reunion consejo parroquial puerto jely canton santa rosa prov obra canton deber vigilado evitar corrupcion invito traves walter gomez logremos unidad felizmiercol 20feb cpccs ecuadoralasurna,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,puerto jely rincon turistico santa rosa fiel devoto virgen cisnar gracios apoyo,2019-02-20
Walter Javier,Gomez Ronquillo,wgomezr,gran saludo amazonia tierro guerrero orgullo ecuatoriano felizmiercol ecuador cpccs waltergomezeselprimero,2019-02-21
Walter Javier,Gomez Ronquillo,wgomezr,gracias tierra sagrada misterioso acogida apoyar propuesto trabajo trabajare ahinco dedicacion bello amazonia felizmiercol 20feb cpccs,2019-02-21
Walter Javier,Gomez Ronquillo,wgomezr,inicio jueves pedir él dio bendigo proteger ser amir felizjuev elecciones2019ec animal cpccs,2019-02-21
Walter Javier,Gomez Ronquillo,wgomezr,minuto entrevista radio infinito santa rosa prov  felizjuev cpccs ecuador,2019-02-21
Walter Javier,Gomez Ronquillo,wgomezr,entrevista radioinfinitofm enamore beneficio cpccs ciudadano candidato lograre union banderas politica discriminacion siempre apegado constitucion felizjuev elecciones2019ec eleccionescpccs ecuador,2019-02-21
Walter Javier,Gomez Ronquillo,wgomezr,hugochuiko diario correo machalar prov plan eje estar basado necesidad ciudadania estar invitado involucrar él bienestar ecuador felizjuev ecuadorconmasprosperidad waltergomezeselprimero,2019-02-21
Walter Javier,Gomez Ronquillo,wgomezr,entrevistado elnacional1964 machala prov lograrer apoyo ciudadania redireccionar ecuador hacer ciudadano nuevamente poder felizjuev cpccs ecuador,2019-02-21
Walter Javier,Gomez Ronquillo,wgomezr,radiovia1160am  machalar prov compromiso ciudadania concienciar venta cumplire gente lograr gran cambio ecuador felizjuev elecciones2019ec eleccionescpccs waltergomezeselprimero waltergomezescpccs,2019-02-21
Walter Javier,Gomez Ronquillo,wgomezr,entrevista noticiero tvorocanal2 machalar prov asamblea local parroquial cantonal provincial serar punto importante gestion felizjuev ecuadorconmasprosperidad waltergomezeselprimero cpccs,2019-02-21
Walter Javier,Gomez Ronquillo,wgomezr,conversatorio lider social prov  felizjuev elecciones2019ec eleccionescpccs cpccs 21feb,2019-02-22
Walter Javier,Gomez Ronquillo,wgomezr,solidaridad morona santiago guayos esperar todo estir bien tierra hacer entender felizfindir temblor sismo,2019-02-22
Walter Javier,Gomez Ronquillo,wgomezr,comparto agendir viernes 2019 prov guaya felizfindir felizviernesatodo elecciones2019ec eleccionescpccs waltergomezeselprimero,2019-02-22
