nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Simón Bolívar,Rosero,Simon_BolivarEC,periodo Alcalde 2019 2023 trabajaremos Policia Nacional conjunto Fuerzas Armadas empresas privadas publicas fin preservar integridad vida bienes guayaquilenos JuntosPorUnMejorGuayaquil SimonBolivar,2019-02-19
Simón Bolívar,Rosero,Simon_BolivarEC,Distrito 3 recibio brazos abiertos dispuestos mejor Guayaquil sufragar 24 Marzo lista 35 JuntosPorUnMejorGuayaquil SimonBolivar EseEsElHombre,2019-02-20
Simón Bolívar,Rosero,Simon_BolivarEC,comparto agenda miedos JuntosPorUnMejorGuayaquil,2019-02-20
Simón Bolívar,Rosero,Simon_BolivarEC,pensamos cada ustedes alcaldia generaremos ambientes seguros libres drogadiccion JuntosPorUnMejorGuayaquil SimonBolivar EseEsElHombre,2019-02-22
Simón Bolívar,Rosero,Simon_BolivarEC,Debemos preparados caso sismo,2019-02-23
Simón Bolívar,Rosero,Simon_BolivarEC,presente Ladrillera junto equipo haciendo llegar propuestas mejor Guayaquil juntos construiremos 24 Marzo sufragar LISTA 35 SimonBolivar EseEsElHombre,2019-02-23
Simón Bolívar,Rosero,Simon_BolivarEC,esperamos Domingo 24 Marzo 2pm Bingo SimonBolivar EseEsElHombre,2019-02-23
Simón Bolívar,Rosero,Simon_BolivarEC,25 marzo Alcaldia vamos gestionar cada propuestas mejor Guayaquil SimonBolivar EseEselHombre LISTA 25,2019-02-24
Simón Bolívar,Rosero,Simon_BolivarEC,totalmente agradecidos recibimiento dieron Cerecita JuntosPorUnMejorGuayaquil LISTA 35,2019-02-25
Simón Bolívar,Rosero,Simon_BolivarEC,Conoce propuestas voy ejecutar apartir 24 Marzo gestion alcalde periodo 2019 2023 Vamos juntos mejor Guayaquil SimonBolivarRosero EseEsElHombre,2019-02-28
Simón Bolívar,Rosero,Simon_BolivarEC,DebateDemocraticoPorUnMejorGuayaquil,2019-02-28
Simón Bolívar,Rosero,Simon_BolivarEC,NachoConSimon miercoles 20 marzo 3pm 24 Augusto Gonzalez esperamos CONCIERTO CIERRE CAMPANA ToditoLA35ConNacho EseEselHombre,2019-03-18
