nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Buen invitados sintonizar medios estare invitada hablar,2019-02-20
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,ciudadanos derecho conocer funciones tambien candidatos Consejo Participacion Ciudadana Control Social,2019-02-20
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,candidata Conozcamos propuestas institucion,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,entidades deben independientes Debemos revisar autoridades saber personas indicadas ocupar puesto tanta responsabilidad,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Debemos luchar corrupcion prevencion Copiar aquellos ejemplos internacionales buenos,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,creo lucha corrupcion debemos tener informacion traves plataforma informatica hace paises puede tener ciudadano informacion haciendo,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Gracias medios comunicacion bella ciudad experiencia necesaria cambiar falencias sector publico luchar corrupcion Juntos,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Empece trabajar abajo tropa ello conozco manejan entidades publicas representar bien ciudadanos,2019-02-21
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Buenos dias visitare varios medios comunicacion gentilmente invitado hablar,2019-02-22
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Recorriendo linda sierra ecuatoriana,2019-02-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Gracias respaldo Vladimir,2019-02-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,hermana Irene acompano recorrido varias ciudades anos mayor recuerdo hace anos vivido tiempo alegrias tristezas aciertos errores resumen mejor graduacion universidad,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Buenos dias invitados sintonizar diferentes radios estare invitada Hablare propuestas,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,pregunto asesor politico hace cometer tantos errores confabulado correismo promover voto nulo dejar candidatos impulsados Correa tomen,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,anos auditora sector publico saben auditar conocer primero procesos conozco maneja administracion publica conozco falencias cuales soluciones,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,auditado universidades ministerios municipios diferentes empresas publicas muchas instituciones experiencia anos Contraloria General cursos nacionales internacionales auditoria control validan,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,experiencia anos Contraloria General cursos nacionales internacionales auditoria control validan necesita gente idonea lucha corrupcion altos valores morales,2019-02-25
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,necesita gente idonea lucha corrupcion altos valores morales invito investigar candidatos CPCCS trayectoria propuestas,2019-02-26
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,,2019-02-26
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Muchas gracias respaldo,2019-02-26
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,manana 08h00 estare Universidad Artes participando encuentro Construccion Democracia Participativa Territorio invitados,2019-02-27
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,voto nulo atentado democracia desobedecer Constitucion exige eleccion,2019-02-28
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,espacio destinado ecuatorianos conozcan candidatos propuestas previo elecciones seccionales 2019 invitado candidata Consejo Participacion Ciudadana,2019-02-28
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,estare espacio destinado ecuatorianos conozcan candidatos propuestas previo elecciones seccionales 2019,2019-02-28
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Triunfo ciudad gente linda ganas saber conocer derechos informados saber elegir personas correctas marzo,2019-03-01
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Ecuador pais hermoso diverso costas maravillosas Islas Galapagos montanas heladas selvas llenas flora fauna fenomenal Sigamos disfrutando bello pais moderacion familia amigos,2019-03-04
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,despues largo feriado presento pequeno resumen vida academica profesional Gracias juntos,2019-03-06
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,pertenezco ningun partido politico Solo busque nombre adjunto video informado Saludos,2019-03-06
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,pertenezco ningun partido politico Solo busque nombre adjunto video informado Saludos,2019-03-06
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,dias encontre candidatos conversando falta hacer lucha corrupcion coincidimos puntos,2019-03-07
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,estare hablando Estan invitados,2019-03-07
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,conversatorio Corruptos Gracias todas personas asistido,2019-03-08
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,recuperar valores robados actos corrupcion Vamos regresar dinero bolsillo ecuatorianos basta leyes blandas permiten fuga politicos corruptos dinero ciudadanos,2019-03-08
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,corazon orenses Gracias hermanos,2019-03-11
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,quiero dormir desear pasado feliz todas mujeres fuente amor dice cancion dedico carino mama abuelas familiares amigas todas ecuatorianas,2019-03-09
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,quiero dormir desear pasado feliz todas mujeres fuente amor dice cancion dedico carino mama abuelas familiares amigas todas ecuatorianas,2019-03-09
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,dias debe mujer nadie quite nunca suenos,2019-03-10
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Amigos comparto agenda medios ciudad Machala Estare miercoles recorriendo Provincia,2019-03-11
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Buenos dias radio Lider Internacional bella ciudad,2019-03-11
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,manifestado hora entregar ciudadanos herramientas necesarias participen activamente lucha corrupcion propuesta cualquier persona celular podra fiscalizador sector publico,2019-03-11
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,luego entrevista amena Gracias afecto respaldo brindado Manana miercoles seguire recorriendo provincia,2019-03-12
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,vivo Radio Infinita Pasaje provincia ciudadanos derecho conocer funciones tambien candidatos Consejo Participacion Ciudadana Control Social,2019-03-12
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Seguimos recorriendo bella provincia ciudadanos estan informados poder exigir derechos vamos empoderar ciudadanos traves acceso toda informacion publica,2019-03-12
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,visitando socializando propuesta crear plataforma tecnologica Anticorrupcion informacion sera realmente publica ciudadanos podremos hacer denuncias forma agil integrada necesidad hacer largas filas,2019-03-13
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Gracias medios comunicacion Capital Bananera Mundo ciudad Machala experiencia necesaria cambiar falencias sector publico luchar corrupcion Juntos,2019-03-13
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,,2019-03-13
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,tierra amado padre bella prov Rios Estare visitando varios medios comunicacion preocupan buscan ciudadanos esten informados sepan elegir bien representantes,2019-03-14
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,comparto ejes principales plan trabajo plataforma informatica lucha corrupcion recuperar dinero robado actos corrupcion despolitizar entidades deben independientes,2019-03-14
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,mejor proceso sido recorrer varias provincias lindo Ecuador aprovechar informar ciudadanos pais elegiremos consejeros consejeras proximo marzo,2019-03-15
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,hermano Pedro Aaron encanta regresar Rios tierra querido padre familia pilar vida mayor hermanos hermanos nunca dejen compartir recuerdos quedaran siempre,2019-03-16
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,comparto ejes principales plan trabajo plataforma informatica lucha corrupcion recuperar dinero robado actos corrupcion despolitizar entidades deben independientes,2019-03-17
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,pequena musica sido grandes pasiones quiero compartir ustedes pasion musica aprovechado cantar corrupcion dano hace pais compartes mismo sentir,2019-03-17
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Buenos dias Estan invitados sintonizar medios estare hablando proximas,2019-03-18
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Empezando entrevista mucha energia positiva proximo domingo compartido linda experiencia mucha gente alrededor pais Gracias,2019-03-18
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Buenos dias comparto agenda medios puedan sintonizar Estare medios nivel nacional hablando funciones,2019-03-19
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Muchas gracias respaldo Felipe fuerte abrazo,2019-03-20
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Gracias medios comunicacion diario ayudan ciudadania informados ecuatorianos debemos conocer funciones candidatos Consejo Participacion Ciudadana Control Social,2019-03-20
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Muchas gracias respaldo,2019-03-22
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Hace pocos dias comparti ejes principales plan trabajo plataforma informatica lucha corrupcion recuperar dinero robado actos corrupcion despolitizar entidades deben independientes,2019-03-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Gracias respaldo Jessica,2019-03-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Gracias respaldo,2019-03-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Manana pueden acompanar votar espero,2019-03-23
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,voto gente honesta capaz CPCSS Jaime Cugchilan,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Consejo Participacion Ciudadana Mujeres Hombres Pueblos nacionalidades indigenas,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Gracias apoyo,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,voto juventud rebeldia transparencia,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,votes nulo facilitando Correismo tomar control crucial organismo control Vota Catalina Perez Francisco Bravo lista pueblos,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,votar,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,voto gusto propuesta parte tecnologica,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Hombres Carlos Figueroa Aland Molestina David Rosero Mujeres Ibeth Estupinan Maria Rivadeneira Sofia Almeida Minorias Jaime Chugchilan,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,familiares Canada Spain Italy votaran Carlos Figueroa Aland Molestina David Rosero Ibeth Estupinan Maria Rivadeneira Sofia Almeida Jaime Chugchilan,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,votar aunque optativo Carlos Figueroa Aland Molestina David Rosero Ibeth Estupinan Maria Rivadeneira Sofia Almeida Jaime Chugchilan,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,CORRAN DAVID ROSERO SOFIA ALMEIDA JAIME CHUGCHILAN GANARAN CANDIDATOS CONSEJO PARTICIPACION CIUDADANA CONTROL SOCIAL,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,votes nulo facilitando Correismo tomar control crucial organismo control Vota Catalina Perez Francisco Bravo lista pueblos,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,voto,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,lista mujeres recomiendo votar Sofia Almeida profesional destacada fiscalizadora honesta incorruptible Ecuador necesita,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,olviden cita anular voto,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,expuesto considero CPCCS debe fortalecer empieza votar gente bien desear malas practicas Asamblea voto positivo,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Ayuda elecciones CPCCS Mujeres Cambio vota David Rosero casillero hombres Sofia Almeida casillero mujeres Jaime Chugchilan casillero Pueblos Nacionalidades,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,desperdicies voto continuar lucha corrupcion Marzo vota,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Sugerencia tiempos incertidumbre democracia papel Hombres Mujeres Catalina Perez Avila Pueblos Nacionalidades,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,equivoques votar,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,personal considero buenas opciones Mujeres Catalina Perez Hombres minorias Francisco Bravo,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Sugerencia tiempos incertidumbre democracia papel Hombres Mujeres Catalina Perez Avila Pueblos Nacionalidades,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,seguro voto saludos,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,ESCUCHANDO CANDIDATOS Candidata Consejera CPCCS saluda clase medica,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,voto,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Acertado tuit Voten gente nueva honesta,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Buena tarde respetuosamente pongo consideracion candidatura Gracias atencion,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,unicos votos decididos precisamente debo meditar votos confio personas lleguen voluntad pueblo desaparezca organismo primeros apoyar postura,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,poner mejor gente construi pais mejor David,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,CPCCS tambien votare mejores nombres lista votar democracia participativa mirada ciudadanos publico hacer presupuesto participativo deuda,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,apoyo,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Robert invito conozcas votes,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,votar Grupo Grupo Grupo confirmado,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Vota polla Hombres opcion Mujeres confiable Nacionalidades,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,Candidaturas Consejeros INDEPENDIENTES CPCCS,2019-03-24
Sofía Yvette,Almeida Fuentes,SofiaAlmeidaEc,sera votacion hora 2019 08h00 PATRIA CARCEL CORRUPTOS DEVUELVAN ROBADO COMPLETO,2019-03-24
