nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Paco,Moncayo,PacoMoncayo,Escuchamos necesidades planteamientos quitenos cada recorrido visita barrios . historias impulsan juntos hacer # ElQuitoQueSonamos https : //t.co/looD8QXkZb,2019-02-17
Paco,Moncayo,PacoMoncayo,"cada accion cuente beneficio ciudad , trabajaremos junto quitenos hacer # ElQuitoQueSonamos https : //t.co/AgFLImpnjE",2019-02-18
Paco,Moncayo,PacoMoncayo,"seguridad ciudadana competencia Municipio , trabajaremos recuperarla quitenos , @ CanalRTU https : //t.co/MqWS7ckwU0",2019-02-18
Paco,Moncayo,PacoMoncayo,"fin semana vecinos Atucucho Calderon . varios recorridos barrios comparten esperanza recuperar quebradas , juntos recuperaremos haremos # ElQuitoQueSonamos ! https : //t.co/hTmtEZzEbQ",2019-02-18
Paco,Moncayo,PacoMoncayo,cada visita barrios sentimos cerca quitenos . Juntos convertiremos mercados lugares turista quiera visitar . # ElQuitoQueSonamos https : //t.co/U3L4bCLXW5,2019-02-18
Paco,Moncayo,PacoMoncayo,"Hoy Municipio cosas funcionan . gente vive miedo , problemas basura , trafico invivible . quitenos comparan recuerdo grato quedo Quito luego administraciones , @ LaUnica945 https : //t.co/5gqkP56Wda",2019-02-19
Paco,Moncayo,PacoMoncayo,"seguridad transito problemas convivencia ciudadana principales causas victimas ; competencia Municipio . Junto quitenos retomaremos competencias , @ LaUnica945 https : //t.co/aCio37Q0E4",2019-02-19
Paco,Moncayo,PacoMoncayo,"puede decirse continuismo mamarrachada alcaldia , recupere Itchimbia , saque botadero Zambiza , dote agua potable alcantarillado , recupere Centro Historico mas . Solo cuestion remitirse hechos , @ LaUnica945 https : //t.co/n7I6qcD3kQ",2019-02-19
Paco,Moncayo,PacoMoncayo,"Emaseo debe reestructurarse fondo . ? si ciudades recoleccion tonelada basura cuesta 40 dolares , aca cuesta 80 ? ! pagando tener ciudad sucia ! , @ LaUnica945 https : //t.co/cpsJTmEjdh",2019-02-19
Paco,Moncayo,PacoMoncayo,voy gente recuerda trabajo realice Alcalde saluda afecto . carino quitenos motiva juntos hacer # ElQuitoQueSonamos https : //t.co/yVhoZD0Yky,2019-02-19
Paco,Moncayo,PacoMoncayo,"termine Alcaldia , deje Quito limpio mejores ciudades turisticas Latinoamerica . volvamos sentirnos orgullosos ciudad , juntos recuperaremos belleza haremos # ElQuitoQueSonamos https : //t.co/066VwunmiK",2019-02-20
Paco,Moncayo,PacoMoncayo,"zona Mariscal vuelva ser espacio seguro , cultural , convivencia ciudadana pacifica turistico calidad , trabajaremos mano gestores culturales vecinos sector juntos hacer # ElQuitoQueSonamos https : //t.co/R79yB6l6xS",2019-02-20
Paco,Moncayo,PacoMoncayo,"Visitamos mercado San Francisco almorzamos rica comida caseritas . ! lindos espacios mercados ! volvamos sentirnos familia ciudad , trabajaremos recuperar identidad orgullo quiteno hacer juntos # ElQuitoQueSonamos ! https : //t.co/X5NQAawpka",2019-02-20
Paco,Moncayo,PacoMoncayo,"! gusto visitar locales gente honesta trabajadora recorridos ! quitenos puedan hacer realidad suenos tener negocio propio , fomentaremos acceso credito emprendimientos . ! Hagamos juntos # ElQuitoQueSonamos ! https : //t.co/BjQ3yKUxYq",2019-02-21
Paco,Moncayo,PacoMoncayo,"juntos hagamos movilidad mas sostenible , construiremos ciclovias nuevas articularemos ciclo-parqueaderos estaciones paradas transporte publico . ! Hagamos juntos # ElQuitoQueSonamos ! https : //t.co/749UIqhwQd",2019-02-21
Paco,Moncayo,PacoMoncayo,"familia puedan vivir entorno limpio saludable , haremos juntos Quito ciudad responsable manejo desechos solidos , recuperaremos sistema recoleccion basura promoveremos reciclaje reutilizacion # ElQuitoQueSonamos https : //t.co/t70qyhJ5w9",2019-02-22
Paco,Moncayo,PacoMoncayo,"puedas disfrutar tranquilidad barrio ciudad seguros familia , fortaleceremos coordinacion interinstitucional garantizar seguridad convivencia ciudadana hacer juntos # ElQuitoQueSonamos https : //t.co/sBBqVCokYS",2019-02-22
Paco,Moncayo,PacoMoncayo,"vivamos ciudad lidere Region cuidado ambiental , juntos trabajaremos reemplazar plasticos solo uso asi hacer # ElQuitoQueSonamos https : //t.co/QQXMePOcZs",2019-02-23
Paco,Moncayo,PacoMoncayo,"Seguimos recorriendo ciudad recibiendo necesidades carino barrios . volvamos sentirnos orgullosos tener ciudad limpia ordenada , implementaremos sistema recoleccion basura eficiente . ! Hagamos juntos # ElQuitoQueSonamos ! https : //t.co/uSrhTrJ8Ih",2019-02-23
Paco,Moncayo,PacoMoncayo,gusto ser invitado varias organizaciones ciclistas recorrido luego conversatorio compartir experiencias . grato saber recuerdan apoye ciclopaseos alcalde . ! Fortaleceremos uso hacer # QuitoQueSonamos ! https : //t.co/xfdROJAm4A,2019-02-24
Paco,Moncayo,PacoMoncayo,"vivamos nuevo entornos naturales cuidados protegidos , priorizaremos limpieza quebradas , bordes taludes , ademas , velaremos proteccion mediante construccion obra publica arborizacion hacer juntos # ElQuitoQueSonamos https : //t.co/aUszkMNi8E",2019-02-24
Paco,Moncayo,PacoMoncayo,https : //t.co/Kzt3iLftCu,2019-02-25
Paco,Moncayo,PacoMoncayo,"recicladores mejoren situacion laboral familias mejores condiciones vida , dotaremos equipos proteccion personal apoyaremos conformacion microempresas . ! Hagamos juntos # ElQuitoQueSonamos ! https : //t.co/5PeFA0NjPj",2019-02-25
Paco,Moncayo,PacoMoncayo,"dejar banderas colores politicos , ponerse camiseta ciudad trabajar conjunto hacer # ElQuitoQueSonamos , @ radiosonorama https : //t.co/2XvNY4yY1h",2019-02-25
Paco,Moncayo,PacoMoncayo,"seguridad multinivel Alcalde corresponde trabajar prevencion , control seguridad vial , relaciones sociales convivencia ciudadana . inseguridad coarta libertades vivimos miedo debemos cambiarlo , @ radiosonorama https : //t.co/NNgs2OvfWa",2019-02-25
Paco,Moncayo,PacoMoncayo,"elementos fundamentales hacen alcaldia exitosa : planificar adecuadamente ; gobernar mejores expertos escuchar consejos tecnicos ; gobernar gente ciudad mueva ritmo necesario desarrollo hacer # ElQuitoQueSonamos , @ radiosonorama https : //t.co/7ipDNHvi3b",2019-02-25
Paco,Moncayo,PacoMoncayo,"inauguracion @ MetrodeQuito significar cambio radical forma transportamos ciudad . Debemos hablar sistema multimodal , integrado , moderno eficiente servicio quitenos , @ radiosonorama https : //t.co/U4OcdKNrai",2019-02-25
Paco,Moncayo,PacoMoncayo,". @ PacoMoncayo : ningun acuerdo actual administracion , hecho desesperado Alcade @ MauricioRodasEC solicitado colaboracion exfuncionarios administracion significa @ CanalUnoTv , @ notiunoquito , @ noticierouno https : //t.co/NC6zLBm1KQ",2019-02-25
Paco,Moncayo,PacoMoncayo,"Cesar Cesar , @ PacoMoncayo # AlcaldePionero bicicleta # Ecuador . recordamos , caso ganar , debe continuar potenciar comenzo . Gracias @ cmorene @ vivelabici @ juventinoquiroz @ CicloviasCRA # RicardoMontezuma @ BiciUnionEc @ FundacionCavat https : //t.co/r1tKmJoX5D",2019-02-25
Paco,Moncayo,PacoMoncayo,"hacer movilidad sostenible priorice peatones , ciclistas transporte publico , vamos fortalecer sistema bicicleta publica hacer transporte publico servicio eficiente calidad . ! Hagamos juntos # ElQuitoQueSonamos ! https : //t.co/17FFxtJIMI",2019-02-25
Paco,Moncayo,PacoMoncayo,"quitenos sistema transporte publico digno eficiente , modernizaremos sistema metropolitano transporte articularemos manera integral beneficie barrios ciudad . ! Hagamos juntos # ElQuitoQueSonamos ! https : //t.co/TLvURR79Un",2019-02-26
