nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Gracias Carlos Figueroa candidato participar Tercera Emision Regresamos manana Conduccion Luis Davila Loor,2019-02-19
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Criterio grafico conocido clasico caricaturista ASDRUBAL,2019-02-21
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,gobierno mete mano bolsillo dias atraco tras Ahora resulta puntos cobro empresas entidades estatales cobra dolares igual cualquier agencia bancaria Vean miserables Basta hacernos pagar saqueo,2019-02-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,deuda menos China consuelo Mientras siguen metiendo mano bolsillo ecuatorianos creando tasas impuestos dias tasas transferencias bancarias servicios llamingos cuenta,2019-02-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,recuerdo surgio Comision Civica Control Corrupcion presidida Jorge Vivanco Mendieta emanada Movimientos Sociales Senor Larreategui parte gobierno Mahuad,2019-02-24
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Lenin seria funcionario gobierno alto cargo nunca supo sucedia participan atraco Algun comentario dudo personas honestas dentro gobierno saben hacer tanta corrupccion,2019-02-24
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Ahora denunciar robo llama TENTATIVA DIFUSION INFORMACION CIRCULACION RESTRINGIDA Fiscalia llama implicados hermano Lenin Moreno hijas justicia pacotilla,2019-02-25
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Contraloria General presentado pedido EXAMEN ESPECIAL Concesion Puerto Aguas Profundas POSORJA debido perjuicio economico riesgo ambiental posible peculado ilegal contrato grupo Nobis,2019-02-27
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,unico decidido voto unico candidatos enfrento dictadura oportunistas dicen luchar corrupcion ultimos anos cuenten,2019-03-01
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Viernes pdte Ajustes sector productivo candidato poder asambleista Voto nulo elecciones,2019-03-01
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Ulloa reservas votare pana Fabricio Correa gusta Votare Carlos Figueroa David Rosero Aland Molestina mujeres idea tampoco lista,2019-03-06
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Fernando conocer investigaciones actos corruptos anterior gobierno enseguida suspenden cierran cuenta Basta perseguir denuncian saqueo Mejor dejen robar,2019-03-08
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,proposito manejo devolucion millones dolares aparecio cuentas Tomislav Topic devolucion abogado esposa dijo millones comportamiento justicia ecuatoriana indignante,2019-03-10
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,,2019-03-11
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,,2019-03-20
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,reconocio firma denuncia presentada Concesion Puerto Aguas Profundas Posorja Seran investigados funcionarios gobierno anterior,2019-03-21
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Mientras cerca millones votantes fantasmas padron electoral elimina ciudadanos saben votar correato venido actuando decada Fraude tecnica cientificamente preparado,2019-03-21
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Gracias organizaciones sociales varias provincias consideraron nombre multiples listas Gracias colegas apoyan candidatura,2019-03-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Hola Aqui Fragua Ciudadana colectivo promocion candidaturas Quisiera saber tambien sido amenazados descalificar candidaturas,2019-03-24
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,CPCCS Abog Jose Alarcon expuso Informe Final veeduria Concesion Autoridad Portuaria Puerto Bolivar mismo aceptado responsabilidades penales civiles indicios corrupcion igual Posorja,2019-04-04
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,gran encuentro Fernando Villavicencio gran luchador conozco compromiso transparencia lucha corrupcion Apoyamos gestion favor Democracia Verdad,2019-04-13
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,ahora veremos actua Fiscal Diana Salazar sirve sirve,2019-04-22
Carlos Eduardo,Figueroa Figueroa,carlosfigueroa6,Ciudad Machala Fernando Villavicencio comparte ciudadania investigaciones corrupcion gobierno casos arroz verde,2019-05-09
