nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Víctor Hugo,Erazo,victorhugoerazo,refinerio sacar combustible basura universidad Quito cooperativo ahorro credito Quito recuperacion rio Machangara propuesto victorhugoerazo candidato Alcaldia Quito Elecciones2019EC,2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,mispropuesta Quito viable inclusiva Basta mismo siempre 24 marzo VotaConFE VotaTodo10 erazoalcaldedequito,2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,24 marzo acudir urna todo FE cambier historia ciudad Quito VOTATODO10 ErazoAlcalde,2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,GuayaquilQ xbuendia2019 mariasolcorral pablodavalos63 CesarMontufar51 AndresPasquel8 edgarjacomet victorhugoerazo JCSolines dialogo candidato alcaldio Quito,2019-03-01
Víctor Hugo,Erazo,victorhugoerazo,VOTA 10 erazo,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,VOTA 10 erazo,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,erazo 10 FE10 FuerzaEC,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,primero grupo candidato candidata participarar DebatePorQuito estar conformado xbuendia2019 abenavidesgol1 mariasolcorral LuisaMaldonadoM EdgarJacomeT AndresPasquel8 victorhugoerazo,2019-03-12
Víctor Hugo,Erazo,victorhugoerazo,alcalde,2019-03-16
Víctor Hugo,Erazo,victorhugoerazo,erazoalcade,2019-03-19
