nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Cynthia,Viteri,CynthiaViteri6,buen dia guayaquileno vivo entrevista radio sucre ir engrandecer aun mas ciudad,2019-02-19
Cynthia,Viteri,CynthiaViteri6,siempre ir ir mas allar competencia demostrado seguir hacer respecta educacion seguridad salud bienestar familia guayaquilena radio sucre,2019-02-19
Cynthia,Viteri,CynthiaViteri6,nuevo Aerovia bus electrico puent Samborondon Daule bicicleta publica ir seguir dar mayor facilidad conductor pasajero llegar tiempo destino sonar grande radio sucre,2019-02-19
Cynthia,Viteri,CynthiaViteri6,perfectamente sentir madre enviar hijo escuela implementarer camara seguridad aser colegio escuela alejar vendedor droga hijos radio sucre,2019-02-19
Cynthia,Viteri,CynthiaViteri6,Jovenes Cantera acompanar candidata CynthiaViteri6 gran caravana distrito2 junto candidato JosueSanchezEc luzmilanicolald CaicedoEgis Consueloflores jxcabrer futuro Prefecto clmoralesb seguir campán,2019-02-19
Cynthia,Viteri,CynthiaViteri6,Sergio Toral progreso Guayaquil Gracias tanto calido recibimiento demostrar seguir cumplir mas sueno junto mano estarir grande obra tú sigueguayaquilsigar,2019-02-20
Cynthia,Viteri,CynthiaViteri6,Buenos dia Guayaquil Conoce venir ciudad escuchandomar vivo radiocentroec sintonizar 101 3fm espero,2019-02-20
Cynthia,Viteri,CynthiaViteri6,hoy irer Flor Bastion primero centro rehabilitacion gratuito tratamiento adicción 3 estarir ubicado Chongon Salitral Guasmo Asi recuperar futuro esperanza joven radiocentroec,2019-02-20
Cynthia,Viteri,CynthiaViteri6,plan Mas Seguridad camara reconocimiento facial analisis caminar embargo ninguno accion funcionar si Asamblea hacer hacer derogar ley prodelincuencial eliminar tabla consumo droga radiocentroec,2019-02-20
Cynthia,Viteri,CynthiaViteri6,mismo oficina podrar junto entidad intervenir permiso construccion funcionamiento manero solicitud podro gestionar él solo lugar radiocentroec,2019-02-20
Cynthia,Viteri,CynthiaViteri6,hoy estare responder inquietud joven guayaquileno debate ciudadano invito participar encuentro 8 00pm Facebook Live JovenesConCynthia,2019-02-20
Cynthia,Viteri,CynthiaViteri6,centro tratamiento persona adicción Flor Bastion grande sueno ir cristalizar 4 centro Guayaquil prometemo comprometer,2019-02-20
Cynthia,Viteri,CynthiaViteri6,vivo debatir joven guayaquileno idea esfuerzo perseverancia harar Guayaquil ciudad aun mas admirable Siguenos Facebook livar JovenesConCynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,Acuario Virtual 4d ir implementar consiste tunel podrar ver vida marino cualquiera parte mundo proteccion medio ambiente fundamental JovenesConCynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,Gracias Kevin preguntar encontrar empleo preocupación joven Distrito 100 sero espacio innovacion emprendimiento impulsara idea seguire fortalecer acción permitir emprender JovenesConCynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,Maria Belen pequenar papa enseno amar animal voy siempre ver animal abandonado rescato ahora 4 perro 6 gato dejado padre 12 perro Alcaldesa implementare Centro Bienestar Animal JovenesConCynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,cada accion traera ma empleo crearer incentivo convertir Guayaquil entorno atractivo filmacion pelicula internacional Gracias Alberto idea jovenesconcynthio,2019-02-21
Cynthia,Viteri,CynthiaViteri6,Asi Joan venir segundo fase Guayarte seguir impulsar tipo proyecto generar empleo turismo inversion JovenesConCynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,ir incentivar fortalecer proyecto deportivo medio vencer droga Recuperaremos futuro joven jovenesconcynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,gracias ursulastrengech compartir experiencia Impulsaremos emprendimiento joven Guayaquil seguir ser ciudad ejemplar JovenesConCynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,mucho gracia querido joven Alcaldesa escuchare siempre impulsar idea engrandecer aun mas Guayaquil JovenesConCynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,Ustedes hacer mejor debate Guayaquil Gracias compartir yo sueno JovenesConCynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,CynthiaViteri6 ayer debatio teniar hacer él joven presente futuro ciudad idea claro propuesta exitoso camino trazado hacia progreso bienestar Guayaquilenos cynthia2019,2019-02-21
Cynthia,Viteri,CynthiaViteri6,Guayaquil seguirar camino progreso mas bienestar cada familia corazon estara dedicado social mano trabajarir grande obra Juntos hacer futuro sigueguayaquilsigue,2019-02-21
Cynthia,Viteri,CynthiaViteri6,gracias Pascuales compartir yo hermoso manán jueves alegrio carino fortalecer nuevo sueno liderar futuro Guayaquil desarrollo progreso bienestar innovacion,2019-02-21
Cynthia,Viteri,CynthiaViteri6,ayer conversar joven guayaquileno nuevo obra venir Guayaquil hoy hacer tambien Pascuales reafirmar respaldo incondicional equipo gran caravana progreso gracias carino SigueGuayaquilSigue,2019-02-22
Cynthia,Viteri,CynthiaViteri6,Juntos hacer futuro Guayaquil ciudad Pascuales apoyar CynthiaViteri6 clmoralesb gran equipo concejal representar Distrito 2 gracias confiar RayaTodititititoLa6 LuzmilaConcejal CynthiaAlcaldesa,2019-02-22
Cynthia,Viteri,CynthiaViteri6,Manana sabar 23 febrero esperar 8va Brigada Desintoxicacion Atencion Medica Gratuita Llevaremos bienestar todo familia cada rincon ciudad junto hacer futuro porunfuturosindroga,2019-02-22
Cynthia,Viteri,CynthiaViteri6,terminar semán recibir respaldo incondicional Guayacanes compromiso seguir trabajar grande obra llevar mas bienestar cada tú Juntos lograrer sigueguayaquilsigue,2019-02-23
Cynthia,Viteri,CynthiaViteri6,manán tambien Progreso Posorja Ustedes partir progreso Guayaquil llegarer aca grande obra impulsar turismo traerar mos empleo Juntos lograrer,2019-02-24
Cynthia,Viteri,CynthiaViteri6,gracias Febres Cordero gran caravana demostrar Guayaquil seguirar camino progreso ir llevar mas empleo seguridad rescatar mas joven droga SigueGuayaquilSigue,2019-02-24
Cynthia,Viteri,CynthiaViteri6,semana reafirmar compromiso seguir cumplir mas sueno Guayaquil Ustedes partir progreso gran ciudad SigueGuayaquilSigue,2019-02-24
Cynthia,Viteri,CynthiaViteri6,Manana arrancar semana agendo medio perder entrevista conocer nuevo sueno cumplirer Guayaquil espero,2019-02-25
Cynthia,Viteri,CynthiaViteri6,excelente inicio semana guayaquileno empezar lunes conversar radiomorena640 nuevo obra seguirar llenar progreso bienestar cada rincon Guayaquil,2019-02-25
Cynthia,Viteri,CynthiaViteri6,fin semana 8va brigado desintoxicacion joven consumir droga atender adema ecografia rayos x medicina general odontologiar alrededor 800 persona ferio salud RadioMorena640,2019-02-25
Cynthia,Viteri,CynthiaViteri6,poner camaros reconocimiento facial analisis caminar escuela colegio vendedor drogo saber estan ser vigilar CSCG Policia Nacional camara estarir orden fuerza publicar RadioMorena640,2019-02-25
Cynthia,Viteri,CynthiaViteri6,emocionante hablar nuevo sueno venir Guayaquil Conocelos escuchar entrevista rcristal870am,2019-02-25
Cynthia,Viteri,CynthiaViteri6,sabado llovio fuerte Guayaquil aun pleno lluvia gente saliar casa negocio demostrarno respaldo seguir dispuesto dar él crecimiento ciudad rcristal870AM,2019-02-25
Cynthia,Viteri,CynthiaViteri6,seguir hablar futuro Guayaquil Escuchame radioaguilar sintonizar 1050am conocer seguir crecer,2019-02-25
Cynthia,Viteri,CynthiaViteri6,momento Guayaquil contar 40 escuela deportivo municipal adema entregar uniforme gratuito junto candidato aguschmer Distrito 3 fortaleceremos aun mas programa deportivo guayaquileno radioaguilar,2019-02-25
Cynthia,Viteri,CynthiaViteri6,Guayaquil crecerar mas mas equipo progreso gracias Guasmo Sur respaldo compromiso seguir camino sueno cumplido sigueguayaquilsigue,2019-02-26
Cynthia,Viteri,CynthiaViteri6,hoy exito cynthiaviteri6 Guasmo Sur SigueGuayaquilSigue,2019-02-26
Cynthia,Viteri,CynthiaViteri6,mas propuesta Juntos decidir futuro Guayaquil,2019-02-26
Cynthia,Viteri,CynthiaViteri6,vivo entrevista radio sucre ciudad jamas detener seguir implementar nuevo obra pierda,2019-02-26
Cynthia,Viteri,CynthiaViteri6,entregar titulo propiedad Monte Sinai Socio Vivienda Alcaldesa completarar faltar obra servicio radio sucre,2019-02-26
Cynthia,Viteri,CynthiaViteri6,sitio ir construir rehabilitar potencia mercado vendedor comerciant autonomos podrar trabajar manera ordenado comprometer radio sucre,2019-02-26
Cynthia,Viteri,CynthiaViteri6,sitio ir construir rehabilitar potenciar mercado vendedor comerciant autonomos podrar trabajar manera ordenado comprometer radio sucre,2019-02-26
Cynthia,Viteri,CynthiaViteri6,joven lacanteraec II Mesa Trabajo Guayaquil suena llevar idea joven ciudad querer idea CynthiaViteri6 hara Guayaquil querer,2019-02-26
Cynthia,Viteri,CynthiaViteri6,Asi 7 000 nino recibir hoy uniforme seguir practicar deporte mantendremo ampliar cada accion impulse destreza nino joven Juntos hacer futuro,2019-02-26
Cynthia,Viteri,CynthiaViteri6,seguir compartir sueno ir cumplir Guayaquil partir mayo Sintoniza 680radioatalaya,2019-02-28
Cynthia,Viteri,CynthiaViteri6,ir seguir llegar bienestar cada rincon Guayaquil Registrate plan habitacional vivienda futuro aqui sigueguayaquilsigar,2019-02-27
Cynthia,Viteri,CynthiaViteri6,buen miercol Guayaquil RadioSantiagoec conversar nuevo obra seguirar llenar progreso bienestar cada familia guayaquilén,2019-02-27
Cynthia,Viteri,CynthiaViteri6,gente siempre querer administracion municipal devolver obra pagar trav impuesto modelo invierte 85 ingreso grande obra asi seguir haciendolo RadioSantiagoec,2019-02-27
Cynthia,Viteri,CynthiaViteri6,37mil vendedor sido formalizar nuevo vendedor ampliar haremo nuevo mercado Posorja Mercado Mariscos Pescados muelle mercado minorista Ademas contarar credito Banca Oportunidades RadioSantiagoec,2019-02-27
Cynthia,Viteri,CynthiaViteri6,bus urbano contar GPS tendrar boton panico alertaro ATM Policia Nacional CSCG Ademas camara reconocimiento facial analisis caminar cual estarir ubicado tambien colegio RadioSantiagoec,2019-02-27
Cynthia,Viteri,CynthiaViteri6,Guayaquil seguirar crecer forma ordenado planificacion estrategico plan viviendo implementarer partir mayo Juntos hacer posible sigueguayaquilsigue,2019-02-28
Cynthia,Viteri,CynthiaViteri6,Crear mas empleo fortalecer seguridad rescatar mas joven droga 3 principal compromiso tú guayaquileno Distrito 3 Juntos seguir camino progreso bienestar Guayaquil SigueGuayaquilSigue,2019-02-28
Cynthia,Viteri,CynthiaViteri6,nuevo Plan Mas Seguridad incluir colocacion camara reconocimiento facial escuela colegio alejar vendedor droga hijos 680radioatalaya,2019-02-28
