nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Pablo Eduardo,Ponce Cerda,PabloPonce,@Modelo977 Mi principal propuesta es realizar Asambleas Itinerantes en todas las provincias del pais. #YoSoyTuVoz #YosoyPabloPonce https://t.co/WVlVDjST61,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,"#modelonoticias
 Entrevista Dr. Pablo Ponce candidato a cpccs #yosoytuvoz #pabloponce @PabloPonce https://t.co/1orizjcD74",2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,#TelevisionManabita Mi Casillero es el 12 por sorteo. Por primera vez se elegira a los 7 representantes para el #CPCCS. https://t.co/LA7Czgz4rp,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,La Gestion Publica debe ser responsable. #RadioGaviota #YoSoyTuVoz #PabloPonce https://t.co/7ybZOucG5U,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,"Quiero saludar en este dia a mis colegas, los Abogados del pais , noble profesion  de esfuerzo, preparacion y lucha constante para hacer prevalecer los derechos de nuestros clientes #DiaDelAbogadoEcuatoriano #YoSoyTuVoz #PabloPonce https://t.co/SUvmAab4dR",2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,Radio Costamar nos abre un espacio para hablar sobre las proximas elecciones;Ecuador elegira 7 representantes para el Consejo de Participacion Ciudadana y Control Social. #casillero12 #YoSoyTuVoz #PabloPonce https://t.co/93AlyoEPEG,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,"Seguimos recorriendo el pais, hoy desde Portoviejo iniciamos en Manavision para hablar del Consejo de Participacion Ciudadana y Control Social y las elecciones del proximo 24 de marzo, donde se elegiran por primera vez a sus consejeros por voto popular. https://t.co/PiWGiKdCEz",2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,"Radio Capital 103.3 RNC, no es borron y cuenta nueva, el pais necesita que se respeten las normas. El problema no son las instituciones somos las personas quienes las hacemos buenas o no. La base es la educacion, incentivar a una verdadera participacion ciudadana activa. https://t.co/ljQWa0hF4T",2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,"Radio Capital 103.3, no es borron y cuenta nueva, el pais necesita que se respeten las normas. El problema no son las instituciones somos las personas quienes las hacemos buenas o no. La base es la educacion, incentivar a una verdadera participacion ciudadana activa.#YoSoyTuVoz https://t.co/EJ8qxymXXY",2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,Te invito a escuchar mis propuestas como candidato al @CPCCS en los siguientes medios de comunicacion: @ecuavisa @radiopublicaEC #gkcity @radiosonorama @CanalUnoTv @RadioUnica720 #Yosoytuvoz https://t.co/XSQ27vGr4o,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,Te invito a ver mi entrevista en #ContactoDirecto de @ecuavisa. Hablare sobre propuestas como candidato al @CPCCS. #YoSoyTuVoz https://t.co/TtpRoLIktn,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,#YoSoyTuVoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,Ya estoy en @ecuavisa listo para dar a conocer mi propuesta como candidato al @CPCCS #YoSoyTuVoz #FelizLunes https://t.co/b6tfqVS7YC,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,La participacion ciudadana es el ingrediente principal para fomentar la democracia via @ecuavisa #YoSoyTuVoz https://t.co/h7BmVkUlsQ,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,"#EcuadorALasUrnas | @PabloPonce: Es una minga, todos debemos apoyar el hombro y fomentar la participacion de la ciudadania. https://t.co/2MSRf1tDQe",2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,".@CPCCS debe tener el apoyo de gremios tecnicos, a fin de incentivar una verdadera participacion ciudadana. #YoSoyTuVoz @ecuavisa https://t.co/co6g5mzImv",2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,Tengo la voluntad politica de abrir espacios de dialogo en los que los jovenes sean los principales actores via @ecuavisa #YoSoyTuVoz https://t.co/UKjSTGkL1c,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,Le ven tan lejano al. @CPCCS en Quito por lo que propongo que se haga de manera itinerante en las 24 provincias. #YoSoyTuVoz @ecuavisa https://t.co/RCujMmqLds,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,"Fui concejal de #Quito y vi como la participacion ciudadana genera cambios. Asi sucedio con las ventas en el centro historico, donde se hablo con los ciudadanos y se los ubico en los Centros Comerciales del Ahorro via @PublicaFM https://t.co/8fPNtH0UZf",2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,Todos somos responsables de fomentar la participacion ciudadana via @PublicaFM #YoSoyTuVoz https://t.co/iL9ZiDjW4T,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,"Seguimos trabajando para incentivar una verdadera y activa participacion ciudadana. Te invito a escuchar mis propuestas como candidato al #CPCCS 

#YoSoyTuVoz #Pichincha #Quito https://t.co/bFk4ntbYEv",2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,Dialogamos con @babadmerchan sobre mis propuestas como candidato al @CPCCS #YoSoyTuVoz https://t.co/Kch69a0jl1,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,Inicia entrevista de @PabloPonce  por la senal @pichinchauniver,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,.@PabloPonce destaca que fue el quien impulso la primera Ordenanza de Participacion Ciudadana durante el periodo que fue #ConcejalDeQuito,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,La Participacion Ciudadana es virtuosa cuando se empodera a la ciudadania explica @PabloPonce via @pichinchauniver #YoSoyTuVoz,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,"La gestion publica debe ser auditada por colegios especializados, con un criterio tecnico dice @PabloPonce via @pichinchauniver #YoSoyTuVoz https://t.co/5IEgjep5P8",2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,Es importante rescatar los principios y valores desde la familia dice @PabloPonce via @pichinchauniver #YoSoyTuVoz https://t.co/1qD5LqaYbv,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,"Hay que hacer una minga para que los ecuatorianos nos involucremos en el quehacer publico, para que impulsemos una gestion transparente subraya @pabloponce via @pichinchauniver #YoSoyTuVoz https://t.co/f3m6oKqWIJ",2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,Se brinda tu accion publica como autoridad cuando se hacen bien las cosas subraya @PabloPonce via @pichinchauniver #YoSoyTuVoz #CPCCS https://t.co/7pMnBXZyHv,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,"Nunca he sido afiliado a ningun partido politico, mi intension ha sido servir a la patria como educador que he sido por mas de 30 anos dice @PabloPonce via @pichinchauniver #YoSoyTuVoz https://t.co/uISXumB1tp",2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,Hoy soy Director del @PactoMundial y he trabajado por varios anos con organizaciones sociales informa @PabloPonce via @pichinchauniver #YoSoyTuVoz https://t.co/5BK36sD9yV,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,"""Soy una persona de obras, lo que digo lo hago"" dice @PabloPonce via @pichinchauniver #YoSoyTuVoz https://t.co/sGv3zy1E05",2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,"Es importante dignificar el poder de la palabra, es importante incentivar las asambleas populares explica @PabloPonce via @pichinchauniver #YoSoyTuVoz https://t.co/kFYaGedoMV",2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,"Este 24 de marzo se tiene que participar activamente la participacion ciudadana a traves de una votacion responsable, el @CPCCS tiene que tener veedurias profesionales dice @PabloPonce via @pichinchauniver #YoSoyTuVoz #CPCCS https://t.co/6LEbNqBqNP",2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,"Nunca he defraudado a la ciudadania que me ha elegido, y si fallo tienen el derecho de pedir mi revocatoria dice @PabloPonce via @pichinchauniver #YoSoyTuVoz #CPCCS",2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,Termina entrevista de @PabloPonce via @pichinchauniver #YoSoyTuVoz #CPCCS,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,#YoSoyTuVoz #CPCCS,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,#YoSoyTuVoz #CPCCS,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,#YoSoyTuVoz #CPCCS,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,#YoSoyTuVoz #CPCCS,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,#YoSoyTuVoz #CPCCS,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,!Muchas gracias a @mercurioec por la linda nota! #YoSoyTuVoz #CPCCS #NoVotesNuloPorElCPCCS https://t.co/XyIOPI3uus,2019-02-26
Pablo Eduardo,Ponce Cerda,PabloPonce,"""Es necesario impulsar la participacion ciudadana desde las asambleas populares"" dice @PabloPonce via @EcosdeRuminahui #YoSoyTuVoz #CPCCS #Elecciones2019EC #Elecciones2019 https://t.co/EhFJXSc9OH",2019-02-27
Pablo Eduardo,Ponce Cerda,PabloPonce,"Cuando fui #Concejal propuse la primera ordenanza de participacion ciudadana, misma que sirvio de referencia para la construccion de la Ley de #CPCCS explica @PabloPonce via @EcosdeRuminahui #YoSoyTuVoz #CPCCS #Elecciones2019EC #Elecciones2019 https://t.co/UaS8srMAn3",2019-02-27
Pablo Eduardo,Ponce Cerda,PabloPonce,"Muchas a @EcosdeRuminahui por la entrevista.
#YoSoyTuVoz #CPCCS #Elecciones2019EC #Elecciones2019 https://t.co/uVqnpQYCpy",2019-02-27
