nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Edgar,Jacome,EdgarJacomeT,diar hoy quiteno quejar horrible trafico tunel guayasamin plan quitovuelveasonar contemplar solucion problema mirar video votatodo7,2019-02-18
Edgar,Jacome,EdgarJacomeT,manán 20 febrero 2019 escuchame positivo 860am 08h30 18h15 fmmundo dial 98 1 programa notimundo edgar jacome quitovuelveasonar votatodo7,2019-02-20
Edgar,Jacome,EdgarJacomeT,ahora mismo escuchame positiva 860am programa buen dia deporte contare historia fanatico futbol ecuatoriano pasion deporte quitovuelveasonar mas apertura deporte votoquito2019 votatodo7 eleccionesec2019,2019-02-20
Edgar,Jacome,EdgarJacomeT,quitovuelveasonar ir dedicar parte presupuesto campanas difusion educacion fin ciudadano involucrar cambio ordenamiento ciudad honestidad bastar ir trabajar conjunto quiteno votoquito2019,2019-02-20
Edgar,Jacome,EdgarJacomeT,ser politico caso causa rechazo ciudadano oportunidad servir quiteno trabajar arduamente cambiar imagen administracion venido menos quitovuelveasonar edgar jacome votatodo7 positivo 860am,2019-02-20
Edgar,Jacome,EdgarJacomeT,cambio comenzar establecimiento estatutoautonomicodmq poder crear guardia metropolitana cuidar ciudadano adema trabajarer recuperar cultura costumbre quitena quitovuelveasonar votatodo7 positivo 860am,2019-02-20
Edgar,Jacome,EdgarJacomeT,propuesta proyecto quitovuelveasonar disenado ordenar movilidad trafico ciudad catastro municipal apuntarer desarrollo crecimiento infraestructuro redistribuirar recurso beneficio ciudadano positivo 860am,2019-02-20
Edgar,Jacome,EdgarJacomeT,grande problema movilidad transporte quito solucionar obra publica reordenamiento transito semaforizacion inteligente reorganizacion amt ampliacion red metro quito serar prioridad fmmundo notimundoec quitovuelveasonar,2019-02-20
Edgar,Jacome,EdgarJacomeT,edgarjacomet gran deficit obra publicar ciudad rumboalaalcaldiadequito,2019-02-20
Edgar,Jacome,EdgarJacomeT,proyecto quitovuelveasonar plan desarrollo propuesta politico quito necesitar administrador recuperar competitividad atraer inversionista generar trabajo recurso obra publica tanto necesario fmmundo notimundoec,2019-02-21
Edgar,Jacome,EdgarJacomeT,propuesto turismo dar mayor visibilidad riqueza parroquia crear gran feria internacional turismo utilizar plataforma difusion atraer turista mundo quitovuelveasonar votoquito2019 votatodo7 fmmundo notimundoec,2019-02-21
Edgar,Jacome,EdgarJacomeT,cuanto seguridad aprovecharemos estatutoautonomicodmq asumir competencia crear guardia metropolitana invertir camara campana educacion reducir nivel criminalidad quitovuelveasonar mas seguridad fmmundo notimundoec,2019-02-21
