nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Juan Carlos,Solines,JCSolines,Les comparto mi agenda de entrevistas para el dia de manana. #QuitoSeLevanta https://t.co/JektKFMFzp,2019-02-21
Juan Carlos,Solines,JCSolines,"Mi compromiso es con los barrios, trabajaremos juntos para resolver tus problemas que tambien son los mios. Vamos a poner orden en la ciudad!

#QuitoSeLevanta #JuntosPodemos #SolinesAlcalde #PodemosQuito https://t.co/gAbBAe51lz",2019-02-22
Juan Carlos,Solines,JCSolines,Les invito a escucharme! #QuitoSeLevanta #PodemosQuito https://t.co/EhzMmCmYqs,2019-02-22
Juan Carlos,Solines,JCSolines,"Como convencer al electorado? 

""Las estrategias de los candidatos son importantes, es un desafio. En mi caso es una campana de seriedad y decirle a la gente lo que muchas veces no quiere escuchar, mis propuesta son reales y #Quito tiene que volver a levantarse"" @JCSolines https://t.co/gPBsRHT8Kc",2019-02-22
Juan Carlos,Solines,JCSolines,"""Se debe volver los ojos a los barrios y parroquias rurales, hay que dejar las mega obras porque la mas grande viene en camino y es el metro de #Quito"" @JCSolines 

Siga la transmision en vivo e interactue con nosotros
https://t.co/Vbqk756oXl

#LaNoticiaenSucesos https://t.co/9rGI0iNaRW",2019-02-22
Juan Carlos,Solines,JCSolines,"Como ha sido su acercamiento a los barrios? @verocha16 

""Hay una iniquidad enorme, tale d el caso que existen hogares que utilizan velas en algunos barrios de la capital"" @JCSolines 

#LaNoticiaenSucesos https://t.co/ndi6urgJfI",2019-02-22
Juan Carlos,Solines,JCSolines,Mi compromiso es con los barrios! Trabajaremos juntos para resolver tus problemas que tambien son los mios. Quito no tolera mas mediocridad ni improvisacion! #QuitoSeLevanta #JuntosPodemos #QuitoNecesitaOrden  #LosBarriosPrimero https://t.co/afL6Qpmn6t,2019-02-24
Juan Carlos,Solines,JCSolines,Les invito a sintonizar las entrevistas de hoy. #JuntosPodemos https://t.co/YoeE7mQbrB,2019-02-25
Juan Carlos,Solines,JCSolines,Les invito a sintonizar las entrevistas del dia de hoy #QuitoSeLevanta #JuntosPodemo https://t.co/3ZMJyYas1P,2019-02-26
Juan Carlos,Solines,JCSolines,Espero que hayan tenido un descansado feriado! Avanzamos firmes en la campana! Les invito a visitar nuestras redes en Facebook e Instagram y a escuchar mis entrevistas de manana! #QuitoSeLevanta #JuntosPodemos https://t.co/coBmewECIw,2019-03-06
Juan Carlos,Solines,JCSolines,"Juan Carlos Solines, candidato a la Alcaldia de Quito por Juntos Podemos en #LaPalabraSonorama  @JCSolines https://t.co/eCLiY0AxTw",2019-03-06
Juan Carlos,Solines,JCSolines,Les invito a que me acompanen en las entrevistas el dia de hoy. #QuitoSeLevanta #JuntosPodemos https://t.co/B7NL7q87F3,2019-03-07
Juan Carlos,Solines,JCSolines,"Hay diferencias entre atacar y plantear temas importantes para #Quito y para su gente. Esperamos que Paco Moncayo de la cara, porque no se puede aspirar a ser Alcalde huyendo de los debates.

!Lo digo de frente, sin trolls!

#QuitoSeLevanta  #JuntosPodemos #SolinesAlcalde https://t.co/DLN3Gwd4Y8",2019-03-07
Juan Carlos,Solines,JCSolines,"Les invito manana 7am  que sintonicen un nuevo debate con Corral, Holguin y Montufar por Radio Quito con @mrivadeneira y mi entrevista por @radiosonorama a las 2:15pm. Es importante que escuchen a los candidatos, analicen sus perfiles y experiencia y ejerzan un voto informado https://t.co/aI7WsO0rg2",2019-03-08
Juan Carlos,Solines,JCSolines,Les comparto mi entrevista de esta manana en @fmmundo con el gran @cdaponce en donde abordamos muchas de mis propuestas para la Alcaldia de Quito #VotaInformadoPorQuito #JuntosPodemos,2019-03-08
Juan Carlos,Solines,JCSolines,"Este martes 7y30 AM en nuestro segmento Conoce a tu Candidato, seguimos hablando de sus propuestas. Esta vez nos acompanaran  @LuisaMaldonadoM y @JCSolines Tus preguntas a @24horasUIO por @teleamazonasec https://t.co/Hc24oOVk5R",2019-03-12
Juan Carlos,Solines,JCSolines,Dialogo con los candidatos a la alcaldia de Quito organizado por la @FECABE_Ecuador con los postulantes @juancaholguin @JCSolines y @PabloDavalos63 https://t.co/0MDSHK2v60,2019-03-14
Juan Carlos,Solines,JCSolines,Dialogo con los candidatos a la alcaldia de Quito organizado por la @FECABE_Ecuador con los postulantes @juancaholguin @JCSolines y @PabloDavalos63 https://t.co/0MDSHK2v60,2019-03-14
Juan Carlos,Solines,JCSolines,"""La esencia del feminismo es la lucha por la igualdad"", dice @JCSolines #HablemosdeGenero https://t.co/avQH1Dk8GL",2019-03-15
Juan Carlos,Solines,JCSolines,"Empieza la conversacion con @juancaholguin y @JCSolines, los dos candidatos que aceptaron y cumplieron la invitacion para ver A better man y hablar de genero en el @8medio, moderado por @itsabela #HablemosdeGenero https://t.co/LD20V9kUdy",2019-03-15
Juan Carlos,Solines,JCSolines,"Manana en #Descifrando 8amx97.7FM
Como superar el desanimo de los quitenos? Que hacer x el Centro Historico? Las Alcaldias menores, la conectividad, los nuevos ejes de desarrollo, la contaminacion, la radiacion
@PabloDavalos63, @PaolaVintimilla @JCSolines https://t.co/uXZM6uoHj0",2019-03-16
Juan Carlos,Solines,JCSolines,Les invito a que me acompanen en mis entrevistas de hoy https://t.co/zchbg8elcB,2019-03-16
Juan Carlos,Solines,JCSolines,"NOTICIA URGENTE! OPERACION DEL METRO DE QUITO ES NEGOCIADA SILENCIOSAMENTE!

 #QuitoSeLevanta #JuntosPodemos https://t.co/xktZAysxf0",2019-03-16
Juan Carlos,Solines,JCSolines," !VIVA QUITO! 

  Concejal Norte 
  Lista 33
  @JCSolines Alcalde
  #QuitoSeLevanta https://t.co/X4JRItd2vB",2019-03-17
Juan Carlos,Solines,JCSolines,#JuntosPodemos,2019-03-17
Juan Carlos,Solines,JCSolines,"@Federic51320921 @YRamia @juancaholguin @CesarMontufar51 Tranquila Yvonne, como podras ver, es un troll al servicio de mi tocayo Holguin, pero que talvez ignora que somos buenos amigos. Decide a conciencia porque los quitenos no nos podemos seguir equivocando. #JuntosPodemos ##QuitoSeLevanta",2019-03-18
