nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Luisa,Maldonado,LuisaMaldonadoM,"cada rincones # Quito quitenos quitenas muestran apoyo carino militante Revolucion Ciudadana @ LuisaMaldonadoM ! Sur , Lista 5 , Compromiso Social ! # ARecuperarLaPatria # TodoTodito5 https : //t.co/psPfL9pnB4",2019-02-17
Luisa,Maldonado,LuisaMaldonadoM,"personas caminamos pie toda ciudad , conocemos perfectamente condiciones , sabemos exactamente hacer . , 24 marzo vamos votar # TodoTodito5 # ElMomentoEsAhora https : //t.co/G0XBy3t1oJ",2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,"Compartimos ustedes agenda cumpliremos hoy , lunes 18 febrero . breve vivo @ ExaFmEcuador -- & gt ; https : //t.co/NUAfEfBamw # VotaTodo5 # ElMomentoEsAhora https : //t.co/O1ijOcLAcK",2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,"Compartimos ustedes agenda cumpliremos hoy , lunes 18 febrero . breve vivo @ ExaFmEcuador -- & gt ; https : //t.co/Ornj1KZhIU # VotaTodo5 # ElMomentoEsAhora https : //t.co/4SIOUVi5VS",2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,"momento vivo , entrevista @ ExaFmEcuador Sigala vivo traves -- & gt ; https : //t.co/7NNoBbPUec # VotaToda5 # ElMomentoEsAhora https : //t.co/CEypvudZ6v",2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,"Pregunta : ? promete hacer , caso llegar Alcaldia ? Respuesta : `` alejarme gente , dan tierra motivan seguir trabajando derechos , derechos '' . Entrevista @ ExaFmEcuador # VotaTodo5 # ElMomentoEsAhora https : //t.co/Oh5wGAQXTW",2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,sociedad promueve cultura paz . Alcaldia entregaremos Plaza Belmonte gestores culturales . # VotaTodo5 # ElMomentoEsAhora @ MashiRafael https : //t.co/99uwsbx5iJ,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,! mas toros Quito ! sociedad promueve cultura paz . Alcaldia entregaremos Plaza Belmonte gestores culturales ; plazas vida . # VotaTodo5 # ElMomentoEsAhora @ ExaFmEcuador https : //t.co/mlX1FRbjER,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,"Hoy 17h00 # TransmisionenVivo candidata Alcaldia # Quito , @ LuisaMaldonadoM # Elecciones2019EC . Conectate aqui https : //t.co/t9GR17ITUL @ FEsquel @ FundacionAVINA @ FLACSOec @ cite_ec @ FuturoLatinoame @ GrupoFARO @ GIZEcuador @ ODSTerritorioEc @ ec_decide @ UEenEcuador https : //t.co/QcwphjvHTQ",2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,"Construiremos 100 Centros Desarrollo Comunitario jovenes , ninos adultos mayores actividades artisticas recreacionales alejen pandillas , alcohol drogas . # ElMomentoEsAhora # VotaTodo5 @ FEsquel https : //t.co/lDOW7wvvt3",2019-02-18
