nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Paco,Moncayo,PacoMoncayo,escuchar necesidad planteamiento quiteno cada recorrido visitar barrio historia impulsar junto hacer elquitoquesonamos,2019-02-17
Paco,Moncayo,PacoMoncayo,cada accion cuente beneficio ciudad trabajarer junto quiteno hacer elquitoquesonamos,2019-02-18
Paco,Moncayo,PacoMoncayo,seguridad ciudadano competencia municipio trabajaremos recuperar quiteno canalrtu,2019-02-18
Paco,Moncayo,PacoMoncayo,semana vecino atucucho calderon varios recorrido barrio compartir esperanza recuperar quebrada junto recuperarer haremo elquitoquesonamos,2019-02-18
Paco,Moncayo,PacoMoncayo,cada visita barrio sentir cerca quiteno junto convertirer mercado lugar turista queír visitar elquitoquesonamos,2019-02-18
Paco,Moncayo,PacoMoncayo,municipio cosa funcionar gente vivir miedo problema basura trafico invivible quiteno comparar recordar grato quedo quito luego administración launica945,2019-02-19
Paco,Moncayo,PacoMoncayo,seguridad transito problema convivencia ciudadano principal causa victima competencia municipio junto quiteno retomarar competencia launica945,2019-02-19
Paco,Moncayo,PacoMoncayo,poder decir continuismo mamarrachado alcaldio recuperar itchimbia sacar botadero zambiza dotar agua potable alcantarillado recuperar centro historico solo cuestion remitir hecho launica945,2019-02-19
Paco,Moncayo,PacoMoncayo,emaseo deber reestructurar fondo ciudad recoleccion tonelado basura costar dolar costar pagar tener ciudad sucio launica945,2019-02-19
Paco,Moncayo,PacoMoncayo,gente recordar trabajo realizar alcalde saludar afecto carino quiteno motivar junto hacer elquitoquesonamos,2019-02-19
Paco,Moncayo,PacoMoncayo,terminar alcaldio dejar quito limpio mejor ciudad turistica latinoamerico volver sentir orgulloso ciudad junto recuperarer belleza hacer elquitoquesonamos,2019-02-20
Paco,Moncayo,PacoMoncayo,zona mariscal volver espacio seguro cultural convivencia ciudadano pacifico turistico calidad trabajaremos mano gestor cultural vecino sector junto hacer elquitoquesonamos,2019-02-20
Paco,Moncayo,PacoMoncayo,visitar mercado francisco almorzamos rico comida caserita lindo espacio mercado volver sentir familia ciudad trabajarer recuperar identidad orgullo quiteno hacer junto elquitoquesonamos,2019-02-20
Paco,Moncayo,PacoMoncayo,gusto visitar local gente honesta trabajador recorrido quiteno poder hacer realidad sueno tener negocio propio fomentaremos acceso creditir emprendimiento hacer junto elquitoquesonamos,2019-02-21
Paco,Moncayo,PacoMoncayo,junto hacer movilidad sostenible construirer ciclovia nuevo articularer ciclo parqueadero estación parado transporte publico hacer junto elquitoquesonamos,2019-02-21
Paco,Moncayo,PacoMoncayo,familia poder vivir entorno limpio saludable haremo junto quito ciudad responsable manejar desecho solido recuperarer sistema recoleccion basura promoverar reciclaje reutilizacion elquitoquesonamo,2019-02-22
Paco,Moncayo,PacoMoncayo,pueda disfrutar tranquilidad barrio ciudad seguros familia fortalecerer coordinacion interinstitucional garantizar seguridad convivencia ciudadano hacer junto elquitoquesonamos,2019-02-22
Paco,Moncayo,PacoMoncayo,vivar ciudad lidere region cuidado ambiental junto trabajar reemplazar plastico solo hacer elquitoquesonamos,2019-02-23
Paco,Moncayo,PacoMoncayo,seguir recorrer ciudad recibir necesidad carino barrio volver sentir orgulloso tener ciudad limpio ordenado implementaremos sistema recoleccion basura eficiente hacer junto elquitoquesonamos,2019-02-23
Paco,Moncayo,PacoMoncayo,gusto invitado varios organización ciclista recorrido luego conversatorio compartir experiencia grato saber recordar apoye ciclopaseo alcalde fortalecerer hacer quitoquesonamos,2019-02-24
Paco,Moncayo,PacoMoncayo,vivir nuevo entorno natural cuidado protegido priorizacer limpieza quebrado borde talud adema velarer proteccion mediante construccion obra publicar arborizacion hacer junto elquitoquesonamos,2019-02-24
Paco,Moncayo,PacoMoncayo,,2019-02-25
