nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Olivio,Sarzoza,OlivioSarzosa,Entrevista Ecuavisa dar conocer propuesta dar alcaldio Olivio Sarzosa ponteONCE oliviosarzós,2019-02-19
Olivio,Sarzoza,OlivioSarzosa,Entrevista Ecuavisa dar conocer propuesta dar alcaldio Olivio Sarzosa ponteONCE oliviosarzós,2019-02-19
Olivio,Sarzoza,OlivioSarzosa,ponteonce oliviosarzós Quito,2019-02-21
Olivio,Sarzoza,OlivioSarzosa,quitenos atento debatir transmitiro Telerama 8h15 DevateporQuito ponteONCE JusticiaSocial OlivioSarzosa,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,quitenos atento debatir transmitiro Telerama 20h15 devateporquito ponteONCE JusticiaSocial OlivioSarzosa,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,quitenos atento debatir transmitiro Telerama 20h15 devateporquito ponteONCE JusticiaSocial OlivioSarzosa,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,quitenos atento debatir transmitiro Telerama Quito 20h15 devateporquito ponteONCE JusticiaSocial OlivioSarzosa,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,siempre agradecido ciudaddequito,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,ponteonce aquiportusderecho oliviosazós,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,parte pueblo alcaldia sero prioridad,2019-03-08
Olivio,Sarzoza,OlivioSarzosa,esperar dia manana ponteONCE OlivioSarzosa JusticiaSocial,2019-03-08
Olivio,Sarzoza,OlivioSarzosa,esperar dia manana ponteONCE OlivioSarzosa JusticiaSocial,2019-03-08
