nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Simón Bolívar,Rosero,Simon_BolivarEC,periodo alcalde 2019 2023 trabajaremos policia nacional conjunto fuerza armado empresa privado publica preservar integridad vida bienes guayaquileno,2019-02-19
Simón Bolívar,Rosero,Simon_BolivarEC,distrito recibio brazo abierto dispuesto mejor guayaquil sufragar marzo listo,2019-02-20
Simón Bolívar,Rosero,Simon_BolivarEC,comparto agenda miedo,2019-02-20
Simón Bolívar,Rosero,Simon_BolivarEC,pensar cada alcaldio generarar ambiente seguro libre drogadiccion,2019-02-22
Simón Bolívar,Rosero,Simon_BolivarEC,deber preparado caso sismo,2019-02-23
Simón Bolívar,Rosero,Simon_BolivarEC,presente ladrillero junto equipo hacer llegar propuesta mejor guayaquil junto construirer marzo sufragar listo,2019-02-23
Simón Bolívar,Rosero,Simon_BolivarEC,esperar domingo marzo bingo,2019-02-23
Simón Bolívar,Rosero,Simon_BolivarEC,marzo alcaldia gestionar cada propuesta mejor guayaquil listo,2019-02-24
Simón Bolívar,Rosero,Simon_BolivarEC,totalmente agradecido recibimiento dar cerecita listo,2019-02-25
Simón Bolívar,Rosero,Simon_BolivarEC,conocer propuesto ejecutar apartir marzo gestion alcalde periodo 2019 2023 junto mejor guayaquil,2019-02-28
Simón Bolívar,Rosero,Simon_BolivarEC,,2019-02-28
Simón Bolívar,Rosero,Simon_BolivarEC,miercol marzo augusto gonzalez esperar concierto cerrar campán,2019-03-18
