nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Gino,Cornejo,GinoCornejoM,guayaquileno querer invitarlo diar manana 20 febrero 20h00 perder debate guayaco transmitido via streaming propuesta enfocado mejor futuro ciudadano proximo 24 marzo elijamo unguayaquilmashumano alcalde,2019-02-19
Gino,Cornejo,GinoCornejoM,envivo buenosdia ginocornejom candidato alcaldia guayaquil,2019-02-21
Gino,Cornejo,GinoCornejoM,ginocornejom gino cornejo alcalde guayaquil hombre inteligente honesto dar él oportunidad cumplir propuesta n t arrepentira guayaquil mas humano escuchalo hoy 20h00,2019-02-21
Gino,Cornejo,GinoCornejoM,ginocornejom lista7 escuchar propuesto hoy 20 feb viastreaming 20h00 fblive youtube debateguayaco felizmiercol,2019-02-21
Gino,Cornejo,GinoCornejoM,ginocornejom bajarer valor excesivo multa atentado ciudadano propondrer maximo 20 sueldo basico multa debateguayaco,2019-02-21
Gino,Cornejo,GinoCornejoM,ginocornejom  potencializar turismo guayaquil ir fomentar aprendizaje varios idioma debateguayaco mira mas aqui,2019-02-21
Gino,Cornejo,GinoCornejoM,ginocornejom bajarer valor excesivo multa atentado ciudadano propondrer maximo 20 sueldo basico multa debateguayaco seguir transmision vivo,2019-02-22
Gino,Cornejo,GinoCornejoM,elecciones2019 ir abolir monopolio oligopolio ciudad ginocornejom candidato alcaldia guayaquil adelanteecuatorianoadelante listo 7,2019-02-26
Gino,Cornejo,GinoCornejoM,ecuadordecide2019 espacio destinado ecuatoriano conocer candidato propuesto hoy invitado ginocornejom candidato alcaldia guayaquil adelanteecuatorianoadelante listo 7,2019-02-27
Gino,Cornejo,GinoCornejoM,jeguerreroulloar james guayaquil mas humano invito seguir recorrido instagram ginocornejom facebook ginocornejomarcos7 adelante,2019-02-27
Gino,Cornejo,GinoCornejoM,entrevista candidato alcadia guayaquil gino cornejo ginocornejom,2019-02-28
Gino,Cornejo,GinoCornejoM,entrevista candidato alcadia guayaquil gino cornejo ginocornejom,2019-02-28
Gino,Cornejo,GinoCornejoM,primero grupo candidato participarar debate alcaldio guayaquil conformar jimmyjairala martham psp3 jorgevillacresir ginocornejom bermudezbronson reconocer compromiso fortalecimiento democracia hoy debateporguayaquil 19h00,2019-02-28
Gino,Cornejo,GinoCornejoM,arecuperarlapatrio revolucionario recuperar poder izquierdo corrupto dano odio genero pais penser dar él oportunidad nuevo cara politico 0 continiusno mos empleo ginocornejom abalvaronoboa,2019-02-28
Gino,Cornejo,GinoCornejoM,primero grupo candidato candidato participarar debate alcaldio guayaquil conformar jimmyjairala cedeno marth jorgevillacrese ginocornejom bermudezbronson debateporguayaquil,2019-03-01
Gino,Cornejo,GinoCornejoM,lunes wqnoticias conversarer candidato alcaldia guayaquil partido adelante ecuatoriano adelante ginocornejom plan trabajo ciudad escuchar wqradio 102 1 fm,2019-03-08
Gino,Cornejo,GinoCornejoM,manán viernes wqnoticias candidato alcaldia guayaquil adelante ecuatoriano adelante ginocornejom hablarer plan trabajo ciudad escuchar wqradio 102 1 fm,2019-03-15
Gino,Cornejo,GinoCornejoM,wqnoticias candidato alcaldia guayaquil adelante ecuatoriano adelante ginocornejom escucha plan trabajo wqradio 102 1 fm,2019-03-15
Gino,Cornejo,GinoCornejoM,wqnoticias candidato alcaldia guayaquil adelante ecuatoriano adelante ginocornejom escuchar declaración vivo,2019-03-15
Gino,Cornejo,GinoCornejoM,gran velado aniversario gracias socio jccassinelli airproteksar mario fides vitomunozugarte jcargenzio mzabogadosec ginocornejom mctornet italyinecuador rivalplastico tradeecuador corpei fecabir ecuador,2019-03-17
Gino,Cornejo,GinoCornejoM,albordedelanoche entrevistir ginocornejom candidato alcaldia guayaquil adelante ecuatoriano adelante sintonizano 925fm,2019-03-19
Gino,Cornejo,GinoCornejoM,ginocornejom bien senor contar voto ojala manifestaste teleamazonasec dayannamonroy logr materializar ocupes sillon olmedo fuerza,2019-03-21
Gino,Cornejo,GinoCornejoM,ginocornejom teleamazonasec dayannamonroy gino seguir adelante tratar formar movimiento propio sino saber pronto sero turno arrancarl poder siempre ahi,2019-03-21
Gino,Cornejo,GinoCornejoM,ecuatoriano comun avanzar pesar diferencia mantener esperanza común unir vinculo fuerte preciso crear proyecto renovacion nacional dar él oportunidad ecuador reconstruir nuevo sueno ecuatoriano,2019-05-03
