nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Paco,Moncayo,PacoMoncayo,escuchar necesidad planteamiento quiteno cada recorrido visitar barrio historia impulsar junto hacer elquitoquesonamos,2019-02-17
Paco,Moncayo,PacoMoncayo,cada accion cuente beneficio ciudad trabajarer junto quiteno hacer elquitoquesonamos,2019-02-18
Paco,Moncayo,PacoMoncayo,seguridad ciudadano competencia Municipio trabajarer recuperar él quiteno canalrtu,2019-02-18
Paco,Moncayo,PacoMoncayo,fin semana vecino Atucucho calderon varios recorrido barrio compartir esperanza recuperar quebrada junto recuperarer haremo elquitoquesonamos,2019-02-18
Paco,Moncayo,PacoMoncayo,cada visita barrio sentir cerca quiteno Juntos convertirer mercado lugar turista querer visitar elquitoquesonamos,2019-02-18
Paco,Moncayo,PacoMoncayo,hoy Municipio cosa funcionar gente vivir miedo problema basura trafico invivible quiteno comparar recordar grato quedo Quito luego administración LaUnica945,2019-02-19
Paco,Moncayo,PacoMoncayo,seguridad transito problema convivencia ciudadano principal causa victima competencia Municipio junto quiteno retomaremos competencia LaUnica945,2019-02-19
Paco,Moncayo,PacoMoncayo,poder decir él continuismo mamarrachado alcaldio recuperar Itchimbia sacar botadero Zambiza dotar agua potable alcantarillado recuperar Centro Historico mas Solo cuestion remitir él hecho LaUnica945,2019-02-19
Paco,Moncayo,PacoMoncayo,Emaseo deber reestructurar él fondo si ciudad recoleccion tonelado basura costar 40 dolar aco costar 80 pagar tener ciudad sucio LaUnica945,2019-02-19
Paco,Moncayo,PacoMoncayo,ir gente recordar trabajo realizar Alcalde saludar afecto carino quiteno motivar junto hacer elquitoquesonamos,2019-02-19
Paco,Moncayo,PacoMoncayo,terminar Alcaldia dejar Quito limpio mejor ciudad turistica Latinoamerica volver sentir yo orgulloso ciudad junto recuperarer belleza haremo elquitoquesonar,2019-02-20
Paco,Moncayo,PacoMoncayo,zona Mariscal volver ser espacio seguro cultural convivencia ciudadano pacifico turistico calidad trabajaremos mano gestor cultural vecino sector junto hacer elquitoquesonamos,2019-02-20
Paco,Moncayo,PacoMoncayo,visitar mercado San Francisco almorzamos rico comida caserita lindo espacio mercado volver sentir yo familia ciudad trabajarer recuperar identidad orgullo quiteno hacer junto elquitoquesonar,2019-02-20
Paco,Moncayo,PacoMoncayo,gusto visitar local gente honesta trabajador recorrido quiteno poder hacer realidad sueno tener negocio propio fomentaremos acceso creditir emprendimiento Hagamos junto elquitoquesonar,2019-02-21
Paco,Moncayo,PacoMoncayo,junto hacer movilidad mas sostenible construirer ciclovia nuevo articularer ciclo parqueadero estación parado transporte publico Hagamos junto elquitoquesonar,2019-02-21
Paco,Moncayo,PacoMoncayo,familia poder vivir entorno limpio saludable haremo junto Quito ciudad responsable manejar desecho solido recuperarer sistema recoleccion basura promoverar reciclaje reutilizacion elquitoquesonamo,2019-02-22
Paco,Moncayo,PacoMoncayo,pueda disfrutar tranquilidad barrio ciudad seguros familia fortalecerer coordinacion interinstitucional garantizar seguridad convivencia ciudadano hacer junto elquitoquesonar,2019-02-22
Paco,Moncayo,PacoMoncayo,vivar ciudad lidere Region cuidado ambiental junto trabajar reemplazar plastico solo uso asi hacer elquitoquesonamos,2019-02-23
Paco,Moncayo,PacoMoncayo,seguir recorrer ciudad recibir necesidad carino barrio volver sentir yo orgulloso tener ciudad limpio ordenado implementaremos sistema recoleccion basura eficiente Hagamos junto elquitoquesonar,2019-02-23
Paco,Moncayo,PacoMoncayo,gusto ser invitar varios organización ciclista recorrido luego conversatorio compartir experiencia grato saber recordar apoye ciclopaseo alcalde Fortaleceremos uso hacer quitoquesonamos,2019-02-24
