nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Francisco,Jimenez Sanchez,fcojimenez21,Seguimos recorriendo Guayaquil Mercado Santa Teresita Parroquia Febres Cordero presentando propuesta comerciantes sector Vamos potenciar infraestructura mercados darles connotacion turistica ElGuayaquilQueTuQuieres,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,Radio RadioLaPrensa VIVO conversando propuestas ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,Vamos organizar ciudad zonas cada Unidad Municipal Independiente presupuesto propio elaborado propuestas funcion buscar progreso guayaquilenos RadioLaPrensa ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,realidades duras Guayaquil veces cuesta aceptarlas vamos mejorarlas Queremos construir Guayaquil ilusiona RadioLaPrensa,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,Gracias recibirme minutos conversar vida futbol pasion comparto pequeno superk800radio,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,radio forever925sintonicen pueden entrevista VIVO FacebookLive,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,Amigos Manana DebateGuayaco lacamaragye LaPosta presentando guayaquilenos propuestas ElGuayaquilQueTuQuieres FacebookLive Cuentanos temas gustaria debata DebateAlcaldes,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,llevara cabo debate candidatos Alcaldes Guayaquil organizado Camara Comercio CynthiaViteri6 jimmyjairala negado asistir actitud antidemocratica falta respeto votantes,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,llevara cabo debate candidatos Alcaldes Guayaquil organizado Camara Comercio CynthiaViteri6 jimmyjairala negado asistir actitud antidemocratica falta respeto votantes,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,Candidato debate merece voto VotaTodoCREO21,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,Amigos 20h00 presentes VIVO streaming DebateGuayaco lacamaragye LaPosta oficial JimenezAlcalde,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,listos breves momentos arranca DebateGuayaco lacamaragye LaPosta JimenezAlcalde CREOEcuador,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,fcojimenez21 partido CREOEcuador tercero llegar DebateGuayaco Escucha propuestas ViaStreaming 20h00 FbLive YouTube FelizMiercoles,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Vamos bajar multas transito desproporcionadas JimenezAlcalde DebateGuayaco lacamaragye LaPosta CREOEcuador,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Vamos organizar ciudad zonas cada Unidad Municipal Independiente presupuesto propio JimenezAlcalde DebateGuayaco lacamaragye LaPosta CREOEcuador,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Felicito candidatos asistieron debate critico frontalmente asistieron CynthiaViteri6 jimmyjairala quitarle oportunidad guayaquilenos conocer propuestas,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Candidato debate merece voto JimenezAlcalde DebateGuayaco CREOEcuador,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Vamos recuperar navegabilidad Guayas JimenezAlcalde DebateGuayaco lacamaragye LaPosta CREOEcuador,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Alcalde EMPLEO JimenezAlcalde DebateGuayaco,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,candidato fcojimenez21 GANADOR DEBATEGUAYACO sera NUEVO ALCALDE Guayaquil hizo TurnDownForWhat candidatos,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,vision futuro ElGuayaquilQueTuQuieres posible JimenezAlcalde DebateGuayaco,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Vamos bajar multas transito ElGuayaquilQueTuQuieres JimenezAlcalde DebateGuayaco,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,DebateGuayaco fcojimenez21 GANADOR Excelentes propuestas JimenezAlcalde VotaTodoCREO21 ElGuayaquilQueTuQuieres todoslecopianaFrancisco,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Gracias apoyo noche Cumplimos guayaquilenos presentando propuestas DebateGuayaco Gracias lacamaragye LaPosta invitacion JimenezAlcalde VotaTodoCREO21,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Gracias apoyo noche Cumplimos guayaquilenos presentando propuestas DebateGuayaco Gracias lacamaragye LaPosta invitacion JimenezAlcalde VotaTodoCREO21,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Agenda actividades jueves febrero ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,VIVO 680radioatalaya pueden acceder entrevista FacebookLive siguiente link,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,proponemos cosas ejemplo Metro Fluvial complemento transporte masivo ciudad Ofrecemos soluciones sencillas buscan impactar positivamente calidad vida guayaquilenos 680radioatalaya,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,problematica drogas vamos trabajar ejes Prevencion rehabilitacion reinsercion Construiremos Polideportivos Municipales alejar chicos drogas centros rehabilitacion implementaremos Bolsa Empleo Municipal 680radioatalaya,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Vamos bajar multas transito busco combinar multas razonables educacion vial trabajo comunitario ConversatorioAER ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Vamos lograr obra municipal llegue sectores ciudad vamos organizar ciudad zonas cada Unidad Municipal Independiente presupuesto propio ConversatorioAER ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Policia Metropolitana trabajara directamente colaboracion Policia Nacional patrullaje ciudad prevencion represion delitos criterio cercania organizara ciudad ConversatorioAER JimenezAlcalde VotaTodoCREO21,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,juventud necesita lugares puedan desarrollar potencial mantenerse alejados drogas ElGuayaquilQueTuQuieres construiremos Polideportivos Municipales JimenezAlcalde VotaTodoCREO21,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Candidato debate merece voto VotaTodoCREO21 JimenezAlcalde CREOEcuador,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,tarde Fortin Parroquia Tarqui recorriendo sector presentando propuesta Vamos lograr obra municipal llegue sectores ciudad ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,tarde Fortin Parroquia Tarqui recorriendo sector presentando propuesta Vamos lograr obra municipal llegue sectores ciudad ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,Atencion noche 20h00 transmision FacebookLive semanal junto Silviafabara acompanara conversar propuestas esperamos,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,Amigos VIVO FacebookLive conversando debate propuestas,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,Alcalde EMPLEO ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,Manana 11h00 junto PolyUgarteG LassoGuillermo Flor Bastion Encuentro Mujeres Proyecto Emprende actua mujer VotaTodoCREO21,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,Agenda actividades viernes febrero ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,Agenda actividades viernes febrero ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,tema habitacional Guayaquil afrontar tema legalizaciones estan pendientes sectores Monte Sinai Ciudad Dios lugares necesitan regularizados superk800radio,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,Organizaremos ciudad zonas cada unidad municipal independiente presupuesto propio implementaremos Polideportivos Municipales chicos hagan deporte ademas actividades recreativas jovenes adultos superk800radio,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,Vamos construir Alcaldia rostro humano cercania obra municipal llegue sectores ciudad superk800radio,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,guayaquilenos necesitan facilitemos empleo ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,manana Flor Bastion encuentro mujeres proyecto Emprende actua mujer junto PolyUgarteG equipo candidatos concejal alcaldia vamos apoyar emprendimiento Gracias invitacion ElGuayaquilQueTuQuieres,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,VIVO Radio Comunicacion Efectiva online,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,candidato alcaldia Guayaquil fcojimenez21 enfatiza construira polideportivos alejar jovenes drogas,2019-02-22
Francisco,Jimenez Sanchez,fcojimenez21,fortalecer comercio tarde viernes recorrimos Bahia Guayaquil Gracias comerciantes gran recibimiento ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-23
Francisco,Jimenez Sanchez,fcojimenez21,Vamos implementar Metro Fluvial sistema transporte moderno agradable ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-23
Francisco,Jimenez Sanchez,fcojimenez21,tarde noche sabado recorrimos hermoso Barrio Penas lluvia detiene camino lograr ElGuayaquilQueTuQuieres,2019-02-24
Francisco,Jimenez Sanchez,fcojimenez21,Vamos construir administracion municipal cercana moderna segura ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-24
Francisco,Jimenez Sanchez,fcojimenez21,manana domingo visitamos Mercado Sauces Gran recibimiento GRACIAS escuchar propuestas ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-24
Francisco,Jimenez Sanchez,fcojimenez21,tarde realizamos minga Estero Salado alcaldia vamos recuperarlo base criterios Oxigenacion agua restauracion redireccionamiento alcantarillado cumplimiento regulaciones medioambientales ElGuayaquilQueTuQuieres JimenezAlcalde,2019-02-24
Francisco,Jimenez Sanchez,fcojimenez21,CREO Vota CREO ElGuayaquilQueTuQuieres JimenezAlcalde,2019-02-25
Francisco,Jimenez Sanchez,fcojimenez21,guayaquilenos necesitan facilitemos empleo ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-25
Francisco,Jimenez Sanchez,fcojimenez21,18h00 VIVO ucsg canal Cable canal Claro canal Univisa canal Tambien pueden acceder streaming,2019-02-25
Francisco,Jimenez Sanchez,fcojimenez21,Estero necesita necesitamos Estero ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,VIVO Ecuador Decide 2019 ucsg canal Cable canal Claro canal Univisa canal Tambien pueden acceder streaming,2019-02-25
Francisco,Jimenez Sanchez,fcojimenez21,EcuadorDecide2019 entrevistado Francisco Jimenez Sanchez candidato alcadia Guayaquil fcojimenez21,2019-02-25
Francisco,Jimenez Sanchez,fcojimenez21,noche semaforo Policentro saludando transitaban vehiculos ElGuayaquilQueTuQuieres cada cerca JimenezAlcalde VotaTodoCREO21,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,Agenda actividades martes febrero ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,Buenos dias VIVO radioi99 sintonicen FacebookLive,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,candidatura distinta concebi escritorio sino caminando gente escuchando necesidades sentir presente proyectarse futuro radioi99 ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,Guayaquil vivido control politico eficiencia servicios quedado atras comparacion ciudades mundo proponemos organizacion ciudad zonas cada presupuesto propio radioi99,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,trata mirar pasado trata medir presente mirar futuro fcojimenez21 candidato Alcaldia Guayaquil CREOEcuador,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,Vamos aumentar unidades Metrovia terminar Troncales Ademas recuperaremos navegabilidad Guayas Metro Fluvial radioi99,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,Vamos inundar canchas deportivas ciudad Polideportivos Municipales medio alejar jovenes drogas mantenerlos ocupados practicas positivas construir disciplina radioi99,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,comercio informal emprendimiento estan relacionados Guayaquil ciudad emprendedores legalizar corredores comerciales repontenciar mercados obra debe funcion gente fcojimenez21,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,ciudad explotar Guayas habilitar muelles ciudad Guayaquil conectar cantones vecinos fcojimenez21,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,Proponemos organizacion Guayaquil distritalizada decentralizar presupuesto obras fcojimenez21,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,noche VIVO FacebookLive vamos conversar vamos recuperar Estero Salado pierdas ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,LebedJuan Hola Juan Hace meses hicimos video opinion respecto Saludos,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,radioi99en programa Aprendiendo Valientes RafaellaM95 Muchas gracias invitacion,2019-02-26
Francisco,Jimenez Sanchez,fcojimenez21,Amigos Pueden FacebookLive noche siguiente link,2019-02-27
Francisco,Jimenez Sanchez,fcojimenez21,tarde recorrimos Avenida Victor Emilio Estrada Urdesa junto GomezAlexV Silviafabara Vamos lograr juntos ElGuayaquilQueTuQuieres,2019-02-27
Francisco,Jimenez Sanchez,fcojimenez21,Agenda actividades miercoles febrero ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-27
Francisco,Jimenez Sanchez,fcojimenez21,ATENCION 11h00 convocamos medios RUEDA PRENSA Central CREOEcuador Quito Gomez Rendon denunciar hechos sucedidos Puente Unidad Nacional noche ayer,2019-02-27
Francisco,Jimenez Sanchez,fcojimenez21,invito RUEDA PRENSA hechos noche ayer Puente Unidad Nacional FacebookLive siguiente link,2019-02-27
Francisco,Jimenez Sanchez,fcojimenez21,noche ayer acto prepotencia propaganda puente Unidad Nacional retirada Municipio Guayaquil Justicia Vigilancia solo dejaron propaganda Abro hilo,2019-02-27
Francisco,Jimenez Sanchez,fcojimenez21,suceso recorrido tarde noche ayer Urdesa terminando mismo Guayarte increpo presencia solicito retirarnos pasando Acaso Guayaquil dueno guayaquilenos,2019-02-27
Francisco,Jimenez Sanchez,fcojimenez21,MasAllaDeLasUrnas acompanara Francisco Jimenez fcojimenez21 candidato Alcalde Guayaquil movimiento CREO Sintonizanos fmradiofuego,2019-02-27
Francisco,Jimenez Sanchez,fcojimenez21,VIVO FMRadioFuego marielaviteri sintonicen tambien streaming siguiente link,2019-02-27
Francisco,Jimenez Sanchez,fcojimenez21,abuso,2019-02-27
Francisco,Jimenez Sanchez,fcojimenez21,gente cree duena ciudad Quieres saber paso Guayarte Enterate siguiente video ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-27
Francisco,Jimenez Sanchez,fcojimenez21,VIVO RadioRomanceFMen programa ContraLaPared sintonicen tambien pueden acceder FacebookLive siguiente link,2019-02-27
Francisco,Jimenez Sanchez,fcojimenez21,completar Metrovia actualmente unidades aumentaremos unidades Terminaremos Troncales lado implementaremos Metro Fluvial medio transporte recuperaremos navegabilidad Guayas RadioRomanceFM,2019-02-27
Francisco,Jimenez Sanchez,fcojimenez21,marzo oportunidad dejar represion pasado ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-28
Francisco,Jimenez Sanchez,fcojimenez21,Buenos dias radio Tropicana sintonicen ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-28
Francisco,Jimenez Sanchez,fcojimenez21,Vamos implementar Metro Fluvial servicio transporte masivo Guayaquil proyecto puede implementar meses aportara descongestionar trafico ciudad Tropicana,2019-02-28
Francisco,Jimenez Sanchez,fcojimenez21,Vamos reducir multas transito desproporcionadas afectan exageradamente bolsillo guayaquilenos Tropicana ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-28
Francisco,Jimenez Sanchez,fcojimenez21,Vamos reducir multas transito desproporcionadas afectan exageradamente bolsillo guayaquilenos complementaremos educacion vial horas trabajo comunitario Tropicana ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-28
Francisco,Jimenez Sanchez,fcojimenez21,noche DebatePorGuayaquil sera transmitido teleramaec streaming eluniversocom GrupoFARO,2019-02-28
Francisco,Jimenez Sanchez,fcojimenez21,Guayaquil artista ElGuayaquilQueTuQuieres,2019-02-28
Francisco,Jimenez Sanchez,fcojimenez21,GRABA celular numero 8745 escribenos WhatsApp nombre apellido agregaremos Linea Oficial Francisco Jimenez Recibiras contenido EXCLUSIVO Francisco dias ademas podras contarnos ElGuayaquilQueTuQuieres,2019-02-28
Francisco,Jimenez Sanchez,fcojimenez21,noche DebatePorGuayaquil sera transmitido teleramaec streaming eluniversocom GrupoFARO decide,2019-02-28
Francisco,Jimenez Sanchez,fcojimenez21,noche 21h00 DebatePorGuayaquil transmitido teleramaec streaming eluniversocom decide GrupoFARO,2019-02-28
Francisco,Jimenez Sanchez,fcojimenez21,Arrancamos DebatePorGuayaquil Conoce perfil academico JimenezAlcalde ElGuayaquilQueTuQuieres,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,Arrancamos DebatePorGuayaquil Conoce perfil academico JimenezAlcalde ElGuayaquilQueTuQuieres,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,Guayaquil proyectarse futuro acercar obra municipal gente vamos organizar ciudad zonas cada Unidad Municipal Independiente presupuesto propio DebatePorGuayaquil JimenezAlcalde,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,problema drogas trabajaremos ejes PREVENCION programas deportivos culturales REHABILITACION Centros Municipales subsidiados REINSERCION Bolsa Municipal Empleo programas emprendimiento DebatePorGuayaquil JimenezAlcalde,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,Alcalde EMPLEO DebatePorGuayaquil JimenezAlcalde,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,economia mueve incentivos desincentivos propuestas buscan alternativas jovenes superen DebatePorGuayaquil JimenezAlcalde,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,economia mueve incentivos desincentivos propuestas buscan alternativas jovenes empleo DebatePorGuayaquil JimenezAlcalde,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,Guayaquil necesita transporte publico calidad diversificado vamos implementar Metro Fluvial DebatePorGuayaquil JimenezAlcalde,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,puede hacer propuesta transporte fluvial investigacion previa hecho Escucha detalles DebatePorGuayaquil JimenezAlcalde,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,mensaje acerca adolescentes importante informarse construir futuro hace apoyandolos olvidandolos DebatePorGuayaquil JimenezAlcalde,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,vision futuro Guayaquil DebatePorGuayaquil JimenezAlcalde Visiten conozcan todas propuestas,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,Agenda actividades marzo ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,Implementaremos Metro Fluvial complemento medio transporte masivo Guayaquil Ademas reduciremos multas transito complementado programas educacion vial horas trabajo comunitario Caravana750,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,lograr obra municipal llegue sectores ciudad vamos organizar ciudad zonas cada Unidad Municipal Independiente presupuesto propio Caravana750,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,lograr obra municipal llegue sectores Guayaquil vamos organizar ciudad zonas cada Unidad Municipal Independiente presupuesto propio Caravana750,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,Vamos conciliar orden ciudad progreso merece gente Implementaremos corredores comerciales calles existe comercio censados carnetizados modulos plegables comerciantes desarrollen actividad comercial radioestrellafm,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,radio forever925 VIVO sintonicen streaming,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,alcalde EMPLEO Guayaquil solo ciudad trabajadores sino tambien emprendedores Vamos mejorar condiciones empleo guayaquilenos forever925 ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,Policia Metropolitana tendra apoyo cercano ciudadanos Trabajara coordinacion constante Policia Nacional base criterios zonificacion ciudad forever925 ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,VIVO FacebookLive Canal Digital,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,Quieres conocer propuestas Mira siguiente video Visita pagina ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,tarde viernes recorrimos Monte Sinai PuertaAPuerta alcaldia vamos lograr obra municipal llegue sectores ciudad ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-03-01
Francisco,Jimenez Sanchez,fcojimenez21,Queremos Guayaquil conectado ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-03-02
Francisco,Jimenez Sanchez,fcojimenez21,peaje Costa Manejen cuidado Saludanos quieres CAMBIO Guayaquil ElGuayaquilQueTuQuieres JimenezAlcalde,2019-03-02
Francisco,Jimenez Sanchez,fcojimenez21,Gran actividad manana tarde peaje Costa Aprovechamos saludar viajeros desearles buen viaje gente quiere CAMBIO ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-03-02
Francisco,Jimenez Sanchez,fcojimenez21,Vamos recuperar Estero Salado ElGuayaquilQueTuQuieres,2019-03-03
Francisco,Jimenez Sanchez,fcojimenez21,Vamos recuperar Estero Salado ElGuayaquilQueTuQuieres,2019-03-03
Francisco,Jimenez Sanchez,fcojimenez21,Vamos construir administracion municipal cercana moderna segura ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-03-04
Francisco,Jimenez Sanchez,fcojimenez21,Vamos llenar ciudad arboles ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-03-05
