nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Pablo Eduardo,Ponce Cerda,PabloPonce,modelo977 principal propuesta realizar asamblea itinerant todo provincia pais yosoytuvoz yosoypabloponce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,modelonoticia entrevista dr pablo ponce candidato cpccs yosoytuvoz pabloponce pabloponce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,televisionmanabitar casillero 12 sorteo primero vez elegirar 7 representante cpccs,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,gestion publicar deber ser responsable radiogaviotar yosoytuvoz pabloponce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,querer saludar dia colega abogados pai noble profesion esfuerzo preparacion luchar constante hacer prevalecer derecho cliente diadelabogadoecuatoriano yosoytuvoz pabloponce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,radio costamar abrir espacio hablar proxima elección ecuador elegirar 7 representante consejo participacion ciudadano control social casillero12 yosoytuvoz pabloponce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,seguir recorrer pais hoy portoviejo iniciar manavision hablar consejo participacion ciudadano control social elección proximo 24 marzo elegiran primero vez consejero voto popular,2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,radio capital 103 3 rnc borron contar nuevo pais necesitar respetir norma problema institución persona hacer buena base educacion incentivar verdadero participacion ciudadano activo,2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,radio capital 103 3 borron contar nuevo pais necesitar respetir norma problema institución persona hacer buena base educacion incentivar verdadero participacion ciudadano activo yosoytuvoz,2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,invitar escuchar propuesta candidato cpccs siguiente medio comunicacion ecuavisa radiopublicaec gkcity radiosonoramar canalunotv radiounica720 yosoytuvoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,invitar ver entrevista contactodirecto ecuavisa hablarar propuesta candidato cpccs yosoytuvoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,yosoytuvoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,ecuavisa listo dar conocer propuesta candidato cpccs yosoytuvoz felizlún,2019-02-25
