nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,poco minuto dare inicio tvmanabitar gracia seguir cerca entrevista seguir dialogar ciudadania ecuador entrevista manabi miconsejera yoseretuvoz,2019-02-19
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,hacer ano ser joven profesional invitado participar proyecto politico candidata asambleista provincial manabi tvmanabita,2019-02-19
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,importante cada manabita cada ecuatoriano conozca militante ningun partido politico simplemente ejerci derecho libre participacion elegir elegido vivir ecuador oportunidad,2019-02-19
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,funcion consejera cpccs sero fiscalizar transparentar todo funcion publicar hacer cumplir constitucion ecuador,2019-02-19
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,agradecer invitacion tvmanabitar miriam chavez informar ciudadania propuesto plan trabajo consejera cpccs ecuador elecciones2019ec,2019-02-19
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,paraiso natural manabi tierro infinito riqueza represento alegrio playa ecuador paisaje manabitasunido amomanabi ecuadorpaisdepaz,2019-02-19
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,cuenca directo karina crespo 13h00 crespokary mrivadeneirac,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,cuenco invitar parte entrevista medio provincia azuaya entero dialogo excelente semana cpccs ecuador mariafernandarivadeneira yoseretuvoz,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,cuencar buen dia mando saludo fuerte abrazo ciudad cuenco dar inicio entrevista poco minuto cuenco mariafernandarivadeneira ecuador felizmiercol,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,feliz cada profesional derecho ecuador amar profundamente abogad aportar cada construir pai justo inclusivo equitativo 20defebrero diadelabogado ecuador mariafernandarivadeneira,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,entrevista complicefm feliz cuenca contarl plan trabajo propuesto gracias luis aranera invitacion programa,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,entrevista complicefm feliz cuenca contarl plan trabajo propuesto gracias luis araneda invitacion programa,2019-02-20
