nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"#ManabiEsVictoria
Amigas y amigos deseo para ustedes un #FelizMartes desde la querida #Manabi.
#VictoriaDeLaPatria
#Ecuador #EleccionesCPCCS #Elecciones2019EC #CPCCS https://t.co/FlYy7Wyu4M",2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"#ManabiEsVictoria || Resumen de actividades: Participe de Conversatorio con Organizaciones de la Sociedad Civil, al que fui invitada en la ciudad de #Portoviejo
#VictoriaDeLaPatria
#EleccionesCPCCS #CPCCS https://t.co/KAAnoYEtrb",2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"AHORA || Conversatorio: Participacion Ciudadana y #EleccionesCPCCS
Invitadas @VickyDesintonio y @GracielaMora, candidatas al #CPCCS",2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,HOY 20H30 || Les invito a seguir transmision en vivo en @lineaduraec #VictoriaDeLaPatria #Casillero6,2019-02-19
Victoria Tatiana,Desintonio Malave,VickyDesintonio,HOY 20H30 || Les invito a seguir transmision en vivo en @lineaduraec #VictoriaDeLaPatria #Casillero6 https://t.co/y09ZR8VdOd,2019-02-20
Victoria Tatiana,Desintonio Malave,VickyDesintonio,@VickyDesintonio El voto mio y de mi familia es para Ud.,2019-02-20
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"En una grata conversacion con Xavier Lasso, en @kolectiVOZ, presento mis ideas, mi historia de vida y mi propuesta de cambio para una democracia real y participativa, a traves de mi candidatura al #CPCCS. #VictoriaDeLaPatria 
#Casillero6 #EleccionesCPCCS",2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"Xavier Lasso entrevista a @VickyDesintonio, candidata al @CPCCS
Temas: Semblanza de la entrevistada - Retos frente a las restricciones en esta campana.
#PalabraSueltaEnKolectiVOZ
#Youtube https://t.co/d0Y0UyOdLK
#FBLive https://t.co/I4GGyb8QRA https://t.co/4XtBXmrTCs",2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"#PalabraSueltaEnKolectiVOZ | Xavier Lasso entrevista a @VickyDesintonio, candidata al @CPCCS https://t.co/FUcGODzF8o",2019-02-22
Victoria Tatiana,Desintonio Malave,VickyDesintonio,"#PalabraSueltaEnKolectiVOZ, @VickyDesintonio ""En Constituyente planteamos la participacion ciudadana como el poder fundamental del Estado, pretender desaparecer CPCCS es desconocer la lucha social, la organizacion de trabajadores, de mujeres, de jovenes""  https://t.co/EUe7ySBuPp",2019-02-22
