nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Cynthia,Viteri,CynthiaViteri6,!Buenos dias guayaquilenos! Ya estamos en vivo con entrevista por @radio_sucre !Vamos a engrandecer aun mas nuestra ciudad! https://t.co/74SvPv00Hi,2019-02-19
Cynthia,Viteri,CynthiaViteri6,"Nosotros siempre vamos a ir mas alla de nuestras competencias. Lo hemos demostrado y lo seguiremos haciendo en lo que respecta educacion, seguridad, salud y todo el bienestar para las familias guayaquilenas. @radio_sucre https://t.co/jXyPTWdayD",2019-02-19
Cynthia,Viteri,CynthiaViteri6,"Con la nueva Aerovia, buses electricos, puentes Samborondon y Daule, bicicletas publicas, vamos a seguir dando mayor facilidades para que los conductores y pasajeros lleguen a tiempo a sus destinos !Eso es sonar en grande! @radio_sucre https://t.co/aCFGVYcCy3",2019-02-19
Cynthia,Viteri,CynthiaViteri6,"Yo se perfectamente lo que sienten las madres cuando envian a sus hijos a las escuelas, por eso implementaremos camaras de seguridad afuera de los colegios y escuelas para alejar a los vendedores de drogas de nuestros hijos. @radio_sucre https://t.co/twdd9vfTCS",2019-02-19
Cynthia,Viteri,CynthiaViteri6,Jovenes de La Cantera acompanaron a la candidata @CynthiaViteri6 en la gran caravana por el #Distrito2 junto a los candidatos @JosueSanchezEc @luzmilanicolald @CaicedoEgis @Consueloflores_ @jxcabrer y a nuestro futuro Prefecto @CLMoralesB !Seguimos en campana! https://t.co/Y1nO0qy2Xz,2019-02-19
Cynthia,Viteri,CynthiaViteri6,!La Sergio Toral esta con el progreso de Guayaquil! Gracias por tan calido recibimiento que demuestra que seguiremos cumpliendo mas suenos juntos !Mis manos estaran en las grandes obras para ustedes! #SigueGuayaquilSigue https://t.co/HoLFOrcpaw,2019-02-20
Cynthia,Viteri,CynthiaViteri6,!Buenos dias Guayaquil! Conoce todo lo que se viene para nuestra ciudad escuchandome en vivo en @radiocentroec sintonizando 101.3FM !Te espero! https://t.co/D6iOq5NkqS,2019-02-20
Cynthia,Viteri,CynthiaViteri6,"Hoy iremos a Flor de Bastion en donde tendremos el primer centro de rehabilitacion gratuito para el tratamiento de adicciones. Los otros 3 estaran ubicados en Chongon, El Salitral y el Guasmo !Asi es como se recupera el futuro y la esperanza de nuestros jovenes! @radiocentroec https://t.co/JSIDi5bA7q",2019-02-20
Cynthia,Viteri,CynthiaViteri6,"Tendremos el plan Mas Seguridad, camaras de reconocimiento facial y de analisis del caminar. Sin embargo, ninguna accion funcionara si la Asamblea no hace lo que tiene que hacer, que es derogar las leyes prodelincuenciales y eliminar la tabla de consumo de drogas. @radiocentroec https://t.co/hX0NarKjBL",2019-02-20
Cynthia,Viteri,CynthiaViteri6,"En una misma oficina podran estar juntas las entidades que intervienen en los permisos de construccion y de funcionamiento, de esta manera, esta solicitud podra gestionarse desde un solo lugar. @radiocentroec https://t.co/Jv3Ae9LPCe",2019-02-20
Cynthia,Viteri,CynthiaViteri6,Hoy estare respondiendo las inquietudes de los jovenes guayaquilenos en nuestro debate ciudadano. Te invito a participar de este encuentro a las 8:00pm por Facebook Live. #JovenesConCynthia https://t.co/AbNg0Bpqgz,2019-02-20
Cynthia,Viteri,CynthiaViteri6,"Este centro de tratamiento para personas con adicciones en Flor de Bastion, es uno de esos grandes suenos que poco a poco se van cristalizando. Tendremos 4 centros como este para todo Guayaquil !Nosotros no prometemos, nos comprometemos! https://t.co/d3TKpD97Us",2019-02-20
Cynthia,Viteri,CynthiaViteri6,"Ya estamos en vivo para debatir con nuestros jovenes guayaquilenos. Sus ideas, esfuerzo y perseverancia haran de Guayaquil una ciudad aun mas admirable !Siguenos por Facebook live: https://t.co/7eD7kSDrlQ! #JovenesConCynthia https://t.co/jIoQrdFuEu",2019-02-21
Cynthia,Viteri,CynthiaViteri6,El Acuario Virtual 4D que vamos a implementar consiste en un tunel donde todos podran ver la vida marina de cualquier parte del mundo !La proteccion del medio ambiente es fundamental! #JovenesConCynthia https://t.co/AAyrSKNnYy,2019-02-21
Cynthia,Viteri,CynthiaViteri6,Gracias Kevin por tu pregunta. Se que encontrar empleo es una de las preocupaciones de los jovenes. Distrito 100 sera un espacio para la innovacion y emprendimiento que impulsara sus ideas y seguire fortaleciendo las acciones que les permitan emprender. #JovenesConCynthia https://t.co/gpWBGES2ZG,2019-02-21
Cynthia,Viteri,CynthiaViteri6,"Maria Belen, desde pequena mi papa me enseno a amar a los animales. Donde voy siempre veo animales abandonados y los rescato. Ahora tengo 4 perros y 6 gatos y le he dejado a mi padre 12 perros. Como Alcaldesa implementare un Centro de Bienestar Animal. #JovenesConCynthia https://t.co/Y09VOtlHlP",2019-02-21
Cynthia,Viteri,CynthiaViteri6,"Cada accion traera mas empleo, por eso crearemos incentivos para convertir a Guayaquil en un entorno atractivo para la filmacion de peliculas internacionales !Gracias Alberto por tu idea! #JovenesConCynthia https://t.co/qezTTrMdmH",2019-02-21
Cynthia,Viteri,CynthiaViteri6,"Asi es Joan, se viene la segunda fase de Guayarte y seguiremos impulsando este tipo de proyectos que generan empleo, turismo e inversion. #JovenesConCynthia https://t.co/wVMUFum9Z1",2019-02-21
Cynthia,Viteri,CynthiaViteri6,Vamos a incentivar y fortalecer los proyectos deportivos como uno de los medios para vencer las drogas !Recuperaremos el futuro de nuestros jovenes! #JovenesConCynthia https://t.co/if7m6sl27O,2019-02-21
Cynthia,Viteri,CynthiaViteri6,Gracias @ursulastrengech por compartir tu experiencia !Impulsaremos el emprendimiento de nuestros jovenes para que Guayaquil siga siendo una ciudad ejemplar! #JovenesConCynthia https://t.co/cQHKPsUtQl,2019-02-21
Cynthia,Viteri,CynthiaViteri6,!Muchas gracias queridos jovenes! Como Alcaldesa los escuchare siempre e impulsaremos sus ideas para engrandecer aun mas a Guayaquil! #JovenesConCynthia https://t.co/R3MjBEBV58,2019-02-21
Cynthia,Viteri,CynthiaViteri6,Ustedes hicieron el mejor debate que ha tenido Guayaquil !Gracias por compartir conmigo todos sus suenos! #JovenesConCynthia https://t.co/cELiKS7BK5,2019-02-21
Cynthia,Viteri,CynthiaViteri6,"@CynthiaViteri6 ayer debatio con quien tenia que hacerlo: con los jovenes, los que son el presente y el futuro de esta ciudad. Con ideas claras, propuestas exitosas y un camino trazado, hacia el progreso y bienestar de todos los Guayaquilenos. #cynthia2019 https://t.co/VxdiwZK4f6",2019-02-21
