nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
César,Montufar,CesarMontufar51,recorridos Distrito Metropolitano brindan momento riqueza intensidad humanas incomparables ObrasSinCorrupcion,2019-02-17
César,Montufar,CesarMontufar51,plan trabajo hicimos escuchando quitenos sectores paginas forma pensar familias gremios colegios profesionales equipo gran experiencia diseno plan ejes politicas publicas obras emblematicas,2019-02-18
César,Montufar,CesarMontufar51,propaganda electoral fabricada tetrapak reutilizado termine campana comprometemos retirar toda propaganda enviarla centro acopio,2019-02-18
César,Montufar,CesarMontufar51,manana madrugamos redondel Ciclista zona muchisimo trafico horas pico Presentamos propuesta junto CarrionQuinde EugenioCampove1 Monica Armendariz,2019-02-18
César,Montufar,CesarMontufar51,Manana 10h30 entregare Fiscal General documentos prueban Odebrecht realizo pagos ilegales funcionarios municipales construccion Metro actual Administracion debe investigada Quito recupere recursos arrebatado,2019-02-18
César,Montufar,CesarMontufar51,noche compartimos Union Ligas Independientes Quito,2019-02-19
César,Montufar,CesarMontufar51,pierdas entrevista 9y30am ObrasSinCorrupcion,2019-02-19
César,Montufar,CesarMontufar51,entregado Fiscalia General documentos prueban pagos ilegales construccion Metro Quito Insto prensa ecuatoriana seguir cerca investigacion Quito debera recuperar recursos arrebatados,2019-02-19
César,Montufar,CesarMontufar51,entregado Fiscalia General documentos prueban pagos ilegales construccion Metro Quito Insto prensa ecuatoriana seguir cerca investigacion Quito debera recuperar recursos arrebatados,2019-02-19
César,Montufar,CesarMontufar51,jovenes tambien quieren cambio apoyan consigna ObrasSinCorrupcion,2019-02-19
César,Montufar,CesarMontufar51,Odebrecht creo sistema realizar pagos ilegales denominado Drousys primera aparecen pruebas corrupcion contrato Metro Quito Fiscalia debe reabrir investigacion Luchare recuperar recursos arrebato corrupcion,2019-02-20
César,Montufar,CesarMontufar51,ObrasSinCorrupcion,2019-02-20
César,Montufar,CesarMontufar51,Paso paso vamos recorriendo Quito Creemos comunicacion personalizada escuchar ciudadanos,2019-02-20
César,Montufar,CesarMontufar51,sector Mariscal foco inseguridad Quito embargo barrios tradicionales turisticos Conversamos dirigentes propietarios zona escuchar problematica garantizarles soluciones,2019-02-20
César,Montufar,CesarMontufar51,manana realice recorrido casual equipo elcomerciocom compartimos proyecto plan trabajo Quito Gracias amigos,2019-02-20
César,Montufar,CesarMontufar51,dispuesto asumir liderazgo ciudad recuperar recursos arrebataron Quito LaPosta,2019-02-21
César,Montufar,CesarMontufar51,Conversando vendedores informales Quito Proponemos crear plazas comercio formal evitar mercados ambulantes crear plazas empleo,2019-02-21
César,Montufar,CesarMontufar51,gratificante apoyo quitenos,2019-02-21
