nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,En pocos minutos dare inicio a mi dia con @tvmanabita Gracias por seguir de cerca mis entrevistas. !Seguiremos dialogando con la ciudadania! #Ecuador #Entrevista #Manabi #MiConsejera #YoSereTuVoz https://t.co/5SRGoDbhD2,2019-02-19
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"Hace 10 anos, siendo una joven profesional, fui invitada a participar en un proyecto politico como candidata para Asambleista provincial de #Manabi.  @tvmanabita https://t.co/EawoYkpD2D",2019-02-19
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"Es importante que cada manabita y cada ecuatoriano conozca que no fui militante de ningun partido politico. Simplemente ejerci mi derecho de libre participacion de ""elegir y ser elegida"". Vivimos en un #Ecuador de oportunidades. https://t.co/Xnui1nUJrw",2019-02-19
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,Mi funcion como Consejera del #CPCCS sera fiscalizar y transparentar toda la funcion publica. Hacer cumplir la Ley y la Constitucion en el #Ecuador https://t.co/AykoDb3KqG,2019-02-19
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,Agradezco la invitacion de @tvmanabita y Miriam Chavez para  informar a la ciudadania sobre mis propuestas y plan de trabajo para Consejera del #CPCCS #Ecuador #Elecciones2019EC https://t.co/eXfEdqb7ww,2019-02-19
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"!Un paraiso natural, asi es #Manabi! 
Tierra de infinita riqueza a la que represento con alegria.
#Playa #Ecuador #Paisajes #ManabitasUnidos #AmoManabi #EcuadorPaisDePaz https://t.co/Rqs6RzpeQg",2019-02-19
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,Hoy en Cuenca en Directo con Karina Crespo desde las 13h00. @CrespoKary @mrivadeneirac https://t.co/LR3OHP9395,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"Desde Cuenca los invito a ser parte de mis entrevistas en los medios de  la provincia #Azuaya. Un dia entero de dialogo !Excelente semana! 
#CPCCS #Ecuador #MariaFernandaRivadeneira #YoSereTuVoz https://t.co/V8DhAN44EB",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"[CUENCA] !Muy buenos dias!, les mando un saludo y fuerte abrazo desde la ciudad de Cuenca. Daremos inicio a las entrevistas en pocos minutos... #Cuenca #MariaFernandaRivadeneira #Ecuador #FelizMiercoles https://t.co/JAHExu03uF",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"Feliz dia a cada uno de los profesionales del Derecho del Ecuador, quienes amamos profundamente ser Abogad@s. Aportando cada dia a construir un pais mas justo, inclusivo y equitativo. #20defebrero #DiaDelAbogado #Ecuador #MariaFernandaRivadeneira https://t.co/redgG4QeIQ",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,[ENTREVISTA] @complicefm Feliz de estar en Cuenca para contarles sobre mi plan de trabajo y propuestas. Gracias a Luis Aranera por la invitacion a su programa. https://t.co/7uiJSGU3ID,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,[ENTREVISTA] @complicefm Feliz de estar en Cuenca para contarles sobre mi plan de trabajo y propuestas. Gracias a Luis Araneda por la invitacion a su programa. https://t.co/q7AoXEKy0g,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"[#Cuenca] @complicefm Nadie defiende un derecho que no conoce. Por ello queremos dar a conocer todos los Derechos Constitucionales. Empoderar a la ciudadania, con un trabajo paulatino. #Ecuador #CPCCS #MariaFernandaRivadeneira #YoSereTuVoz https://t.co/JqDbhDnAGx",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"El Colegio de Abogados de Manabi postula y respalda 100% la candidatura de Maria Fernanda Rivadeneira. Lo reafirma el presidente del Colegio, el Ab. Mauro Ponce Parraga.  
#MariaFernandaRivadeneira #ManabitasUnidos #MiConsejera #Manabi #CPCCS #Ecuador https://t.co/PY5Zb49u7S",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"[ENTREVISTA] Diario El Mercurio, Cuenca.
Mi principal objetivo es incentivar la participacion ciudadana como cogobernante de toda la gestion publica. Empoderar a la ciudadania de sus derechos. #CPCCS #MiConsejera #Ecuador #Casillero2 #MariaFernandaRivadeneira #ElMercurio #Cuenca https://t.co/lcgVXOwQNN",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,[ENTREVISTA] @eltiempocuenca Es importante dar a conocer a los ciudadanos que mi postulacion es realizada por el #ColegioDeAbogadosDeManabi. https://t.co/Ex9tZmMlGG,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,Mi funcion como Consejera del #CPCCS sera de fiscalizar y transparentar toda la funcion publica. Hacer cumplir la Ley y la Constitucion en el #Ecuador #Miercoles #20defebrero https://t.co/i0obW2sXAC,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,Nuestro objetivo es transparentar la funcion publica. Es importante que la ciudadania se empodere y participe en Veedurias. Fomentar la institucionalidad del Estado. !Vamos a devolver la tranquilidad a la ciudadania! #CPCCS #MariaFernandaRivadeneira #Casillero2 #Ecuador https://t.co/O9eJEDetc0,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"El Colegio de Abogados de Manabi postula y respalda 100% la candidatura de Maria Fernanda Rivadeneira. Lo reafirma el presidente del Colegio, el Ab. Mauro Ponce Parraga.  #MariaFernandaRivadeneira #ManabitasUnidos #MiConsejera #Manabi #CPCCS #Ecuador #DiaDelAbogado #20defebrero https://t.co/tPzLOkWFco",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,Gracias por la invitacion a @UNSIONTV. !No se lo pierdan! #Entrevista #Cuenca #UnsionTV #CPCCS,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,[ENTREVISTA] @ondasazuayas  Al llegar al #CPCCS realizaremos una fiscalizacion a todos los fondos publicos. El Ecuador merecer  un verdadero control social. #MariaFernandaRivadeneira #Ecuador #YoSereTuVoz https://t.co/TGX6TYadTq,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"Es  importante dejar claro que esta joven manabita, jamas fue afiliada a ningun partido politico, y ratificar que mi postulacion para el #CPCCS es realizada por el Colegio de abogados de #Manabi. https://t.co/yUvGfSrGLV",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,[EN VIVO] Nos encontramos en @UNSIONTV donde informaremos a la ciudadania sobre mis propuestas para integrar el nuevo @CPCCS #MariaFernandaRivadeneira https://t.co/X7mTUobN35,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"Es importante que la ciudadania conozca que este 24 de marzo se realizaran las #EleccionesCPCCS donde orgullosamente represento a #Manabi, y a todo un pais. @UNSIONTV @CPCCS https://t.co/QQ0FveBo2Y",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,Muy agradecida con la entrevista. @UNSIONTV,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"@mrivadeneirac: ""Fiscalizaremos la gestion publica y control social""",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"@mrivadeneirac: ""Trabajaremos sobre el empoderamiento de la ciudadania sobre sus derechos"".",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"@mrivadeneirac: ""Mi compromiso es con todo el #Ecuador, tenemos que hacer un cambio dentro de el pais, hacer cumplir las leyes establecidas en la constitucion""",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"[ENTREVISTA] @UNSIONTV Cuando la ciudadania conoce sus derechos y participa activamente en las decisiones fundamentales del pais, es parte real del cambio en #Ecuador #CPCCS https://t.co/KmmvXdGjE0",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,Muchas gracias a Karina Crespo por la entrevista en @UNSIONTV. Para mi es un gusto compartir mis propuestas y plan de trabajo con los cuencanos. #CPCCS #MariaFernandaRivadeneira #Casillero2 https://t.co/f4NzOqIcTM,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,Excelente querida Maria Fernanda #ManabitasUnidos como debe ser!!!! https://t.co/UiV91jlqMD,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"Es importante que el Ecuador entero conozca mi trayectoria, quien soy y que paso realmente hace 10 anos cuando empece a ejercer mis derechos como ciudadana.  #RuedaDePrensa #MariaFernandaRivadeneira #Ecuador #Elecciones2019EC https://t.co/2YNNGx2iyg",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"Aprovechamos la oportunidad para ratificar la importancia de que cada ciudadano pueda participar en las decisiones del pais. !Es su DERECHO!
@ClickRadioTv  #CPCCS #MariaFernandaRivadeneira https://t.co/yROgXjw0ZO",2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,[ENTREVISTA] Conversamos con @ecuadortv sobre las funciones del #CPCCS. Es importante que los ecuatorianos conozcan que este 24 de marzo acudiremos a las urnas a elegir representantes del @CPCCS quienes seran los responsables de fiscalizar la gestion publica.  #Elecciones2019EC https://t.co/2CDLaeuvCY,2019-02-20
María Fernanda,Rivadeneira Cuzco,mrivadeneirac,"[PROPUESTAS] @EcuadorTV Como activista y defensora de los derechos humanos, propongo crear un Observatorio Ciudadano que vele por la integridad de las #mujeres y las #familias. https://t.co/UgH2CnfTyJ",2019-02-20
