nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Edgar,Jacome,EdgarJacomeT,diar hoy quiteno quejar horrible trafico tunel Guayasamin plar quitovuelveasonar contemplar solucion problema Mira video VotaTodo7,2019-02-18
Edgar,Jacome,EdgarJacomeT,Manana 20 febrero 2019 escuchame Positiva 860am 08h30 18h15 fmmundo dial 98 1 programa Notimundo Edgar Jacome quitovuelveasonar votatodo7,2019-02-20
Edgar,Jacome,EdgarJacomeT,ahora mismo escuchame Positiva 860am programa Buenos dia Deporte contare historia fanatico futbol ecuatoriano pasion deporte quitovuelveasonar mas apertura deporte VotoQuito2019 VotaTodo7 EleccionesEC2019,2019-02-20
Edgar,Jacome,EdgarJacomeT,quitovuelveasonar ir dedicar parte presupuesto campanas difusion educacion fin ciudadano involucrar cambio ordenamiento ciudad honestidad bastar ir trabajar conjunto quiteno VotoQuito2019,2019-02-20
Edgar,Jacome,EdgarJacomeT,ser politico caso causa rechazo ciudadano oportunidad servir quiteno trabajar arduamente cambiar imagen administracion venido menos quitovuelveasonar Edgar Jacome VotaTodo7 Positiva 860am,2019-02-20
Edgar,Jacome,EdgarJacomeT,cambio comenzar establecimiento estatutoautonomicodmq poder crear Guardia Metropolitana cuidar ciudadano Ademas trabajarer recuperar cultura costumbre quitena quitovuelveasonar VotaTodo7 Positiva 860am,2019-02-20
Edgar,Jacome,EdgarJacomeT,propuesta proyecto quitovuelveasonar disenado ordenar movilidad trafico ciudad catastro municipal Apuntaremos desarrollo crecimiento infraestructuro redistribuirar recurso beneficio ciudadano Positiva 860am,2019-02-20
Edgar,Jacome,EdgarJacomeT,grande problema movilidad transporte Quito solucionar obra publica reordenamiento transito Semaforizacion inteligente reorganizacion AMT ampliacion red Metro Quito serar prioridad fmmundo notimundoec quitovuelveasonar,2019-02-20
Edgar,Jacome,EdgarJacomeT,edgarjacomet gran deficit obra publicar ciudad RumboalaAlcaldiadeQuito,2019-02-20
Edgar,Jacome,EdgarJacomeT,proyecto quitovuelveasonar plan desarrollo propuesta politico Quito necesitar administrador recuperar competitividad atraer inversionista generar trabajo recurso obra publica tanto necesario fmmundo notimundoec,2019-02-21
Edgar,Jacome,EdgarJacomeT,propuesto turismo dar mayor visibilidad riqueza parroquia crear gran feria internacional turismo utilizar plataforma difusion atraer turista mundo quitovuelveasonar VotoQuito2019 votatodo7 fmmundo notimundoec,2019-02-21
Edgar,Jacome,EdgarJacomeT,cuanto seguridad aprovecharemos estatutoautonomicodmq asumir competencia crear Guardia Metropolitana invertir camara campana educacion reducir nivel criminalidad quitovuelveasonar mas seguridad fmmundo notimundoec,2019-02-21
Edgar,Jacome,EdgarJacomeT,trabajaremos generar obra publica tanto necesario ciudad objetivo descongestionar transito ciudad generar empleo atraer inversion quitovuelveasonar VotoQuito2019 VotaTodo7 elecciones2019ec fmmundo notimundoec,2019-02-21
Edgar,Jacome,EdgarJacomeT,plan quitovuelveasonar pensado resolver gran problema trafico ciudad Escucha partir propuesta hecho fmmundo notimundoec,2019-02-21
