nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Simón Bolívar,Rosero,Simon_BolivarEC,periodo Alcalde 2019 2023 trabajaremos Policia Nacional conjunto Fuerzas Armadas empresas privadas publicas preservar integridad vida bienes guayaquilenos JuntosPorUnMejorGuayaquil SimonBolivar,2019-02-19
Simón Bolívar,Rosero,Simon_BolivarEC,Distrito recibio brazos abiertos dispuestos mejor Guayaquil sufragar Marzo lista JuntosPorUnMejorGuayaquil SimonBolivar EseEsElHombre,2019-02-20
Simón Bolívar,Rosero,Simon_BolivarEC,comparto agenda miedos JuntosPorUnMejorGuayaquil,2019-02-20
Simón Bolívar,Rosero,Simon_BolivarEC,pensamos cada ustedes alcaldia generaremos ambientes seguros libres drogadiccion JuntosPorUnMejorGuayaquil SimonBolivar EseEsElHombre,2019-02-22
Simón Bolívar,Rosero,Simon_BolivarEC,Debemos preparados caso sismo,2019-02-23
Simón Bolívar,Rosero,Simon_BolivarEC,presente Ladrillera junto equipo haciendo llegar propuestas mejor Guayaquil juntos construiremos Marzo sufragar LISTA SimonBolivar EseEsElHombre,2019-02-23
Simón Bolívar,Rosero,Simon_BolivarEC,esperamos Domingo Marzo Bingo SimonBolivar EseEsElHombre,2019-02-23
Simón Bolívar,Rosero,Simon_BolivarEC,marzo Alcaldia vamos gestionar cada propuestas mejor Guayaquil SimonBolivar EseEselHombre LISTA,2019-02-24
Simón Bolívar,Rosero,Simon_BolivarEC,totalmente agradecidos recibimiento dieron Cerecita JuntosPorUnMejorGuayaquil LISTA,2019-02-25
Simón Bolívar,Rosero,Simon_BolivarEC,Conoce propuestas ejecutar apartir Marzo gestion alcalde periodo 2019 2023 Vamos juntos mejor Guayaquil SimonBolivarRosero EseEsElHombre,2019-02-28
Simón Bolívar,Rosero,Simon_BolivarEC,DebateDemocraticoPorUnMejorGuayaquil,2019-02-28
Simón Bolívar,Rosero,Simon_BolivarEC,NachoConSimon miercoles marzo Augusto Gonzalez esperamos CONCIERTO CIERRE CAMPANA ToditoLA35ConNacho EseEselHombre,2019-03-18
