nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Luisa,Maldonado,LuisaMaldonadoM,cada rincones quitenos quitenas muestran apoyo carino militante Revolucion Ciudadana Lista Compromiso Social,2019-02-17
Luisa,Maldonado,LuisaMaldonadoM,personas caminamos toda ciudad conocemos perfectamente condiciones sabemos exactamente hacer marzo vamos votar,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,Compartimos ustedes agenda cumpliremos lunes febrero breve vivo,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,Compartimos ustedes agenda cumpliremos lunes febrero breve vivo,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,momento vivo entrevista Sigala vivo traves,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,Pregunta promete hacer caso llegar Alcaldia Respuesta alejarme gente tierra motivan seguir trabajando derechos derechos Entrevista,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,sociedad promueve cultura Alcaldia entregaremos Plaza Belmonte gestores culturales,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,toros Quito sociedad promueve cultura Alcaldia entregaremos Plaza Belmonte gestores culturales plazas vida,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,17h00 candidata Alcaldia Conectate aqui,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,Construiremos Centros Desarrollo Comunitario jovenes ninos adultos mayores actividades artisticas recreacionales alejen pandillas alcohol drogas,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,tarde 16h00 vamos concentracion Palacio Carondelet,2019-02-19
Luisa,Maldonado,LuisaMaldonadoM,19h00 participaremos conversatorio organizado Facebook Live Page invitados acompanarnos,2019-02-19
Luisa,Maldonado,LuisaMaldonadoM,participes construccion Constitucion 2008 Apoyamos derechos naturaleza supuesto derechos animales,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,participes construccion Constitucion 2008 Respetamos promovemos derechos naturaleza supuesto derechos animales,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,participes construccion Constitucion 2008 Respetamos promovemos derechos naturaleza supuesto derechos animales,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,lamentable perritos abandonados calles Alcaldia campanas esterilizacion control seran prioridad ello buscaremos apoyo ONGs gran experiencia ello haremos solos,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,Compartimos agenda cumpliremos miercoles febrero partir 16h00 recorreremos Distrito Centro junto companeros candidatos concejales invitados acompanarnos,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,entrevista Union Comerciantes Minoristas Trabajadores Autonomos transmitimos propuesta creacion Consejo Consultivo representantes diferentes organizaciones pueden discutir proponer politica publica junto Cabildo,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,Quisieron enterrarnos entender semillas floreciendo junto Luisa Maldonado vamos,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,momento siga vivo recorrido companeros candidatos concejales Distrito Centro recuperar Quito Patria entera,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,carino gente compra gana trabajo duro servicio honesto Pronto recuperaremos Quito Patria entera humildes,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,Hermoso recorrido calles Quito abrazos saludos recordamos gente candidatos Lista marzo,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,conocer propuestas area cultural puede seguir entrevista cafe Anaconda aqui,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,construccion Centro Cultural obra emblematica contemplada vision ciudad Quito espacio quitenas quitenos puedan apreciar teatro musica cultura,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,Trabajaremos varios puntos siendo municipio eficiente cero corrupcion agilidad tramites disminucion pago impuestos generacion incentivos espectaculos culturales reitero,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,alcaldia prohibiremos corridas toros Plaza Belmonte propiedad municipio entregaremos gestores culturales Manana haremos toma simbolica 10h00 invitamos acompanarnos,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,cultura muerte continua siendo vida alcaldia promoveremos espacios ciudadanos puedan tenes acceso talleres culturales Monica Sandoval,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,jueves 10h00 tomaremos Plaza Belmonte entregarla grupos gestores culturales favor vida arte cultura maltrato crueldad unete causa,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,agenda actividades cumpliremos breves minutos entrevista tarde recorreremos calles Distrito Norte companeros candidatos concejales,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,Construiremos Centros Desarrollo Comunitario toda ciudad ninos jovenes adultos mayores desarrollen actividades artisticas recreacionales alejen pandillas alcohol drogas,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,Iniciamos evento Plaza Belmonte seguirlo vivo clic aqui,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,Compromiso futura Alcaldesa quitenos quitenas sera Centro Cultural grande,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,historico Quito ciudad evolucionar entregamos documento notariado compromiso entregar Plaza Toros Belmonte comunidad hacer espacio Centro Cultural Blas,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,alcaldia permitiremos sola corrida toros crearemos Comision Animalista Concejo Metropolitano Plaza plaza muerte convertira plaza vida arte cultura,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,patrimonio Quitenos regresa Quitenos,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,Firmamos Acuerdo Igualdad colectivos LGBTI autoridades debemos obrar ejemplo normativa necesaria implementaremos programas necesarios apoyar proceso mejora condiciones vida grupos minoritarios,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,inaceptable abandono Gobierno Nacional Estan preocupados encubrir fechorias privatizar bienes ecuatorianos hacer negociados echarle culpa Gobierno anterior solo justificar ineptitud basta,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,Moncayo complice dijo veces Consulta Popular hace mutis mientras endeudan millones organismos multilaterales cambio Menos inversion salud educacion obra publica desarrollo,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,Iniciamos caravana alegria barrios Noroccidente Quito candidatas Lista seguirnos vivo clic aqui,2019-02-22
Luisa,Maldonado,LuisaMaldonadoM,companero junto candidatas Lista juntos vamos recuperar Quito Pichincha Patria entera,2019-02-22
Luisa,Maldonado,LuisaMaldonadoM,Paquisha Tiwinza Pisuli Roldos barrios noroccidente Quito reciben alegria esperanza saben venimos cuanto trabajamos gente Alcaldia seguiremos haciendo camino correcto,2019-02-22
Luisa,Maldonado,LuisaMaldonadoM,Compartimos ustedes agenda Dentro pocos minutos tarde recorreremos Guamani visitaremos vecinos Balcon Valle,2019-02-22
Luisa,Maldonado,LuisaMaldonadoM,Iniciamos entrevista invito seguirla vivo Facebook Live,2019-02-22
Luisa,Maldonado,LuisaMaldonadoM,Vamos generar plazas trabajo quitenos Creemos generacion trabajo vamos resolver sinnumero problemas actualmente ciudad vivienda inseguridad comercio informal,2019-02-22
Luisa,Maldonado,LuisaMaldonadoM,Iniciamos recorrido calles Guamani seguirlo vivo clic aqui,2019-02-22
Luisa,Maldonado,LuisaMaldonadoM,Foto entrada Caupicho Quito corazon pueblo camino correcto,2019-02-22
Luisa,Maldonado,LuisaMaldonadoM,Gracias vecinos barrios Paquisha Rocio Fernando Guamani Alto Santo Tomas Caupichu Conde muestras carino gran jornada marzo alcaldia prefectura concejales vamos rayar lista,2019-02-23
Luisa,Maldonado,LuisaMaldonadoM,Compartimos ustedes agenda actividades cumpliremos sabado Dentro vemos Beaterio celebrar fiesta Carnaval,2019-02-23
Luisa,Maldonado,LuisaMaldonadoM,capitalidad Quito recibe hijos hijos Ecuador vienen todas partes compartirnos tradiciones costumbres caso migrantes provincia Bolivar viva carnaval interculturalidad hermosa capital,2019-02-23
Luisa,Maldonado,LuisaMaldonadoM,Instantes campana jamas olvidaremos profundo agradecimiento pueblo apoya recibe infinitas muestras carino VAMOS DEFRAUDAR JAMAS aqui amor ustedes,2019-02-23
Luisa,Maldonado,LuisaMaldonadoM,toda buena vibra inicio Caravana Alegria candidatos concejales rurales junto sector Armenia,2019-02-23
Luisa,Maldonado,LuisaMaldonadoM,Instantes campana jamas olvidaremos profundo agradecimiento pueblo apoya recibe infinitas muestras carino VAMOS DEFRAUDAR JAMAS aqui amor ustedes,2019-02-24
Luisa,Maldonado,LuisaMaldonadoM,Instantes campana jamas olvidaremos profundo agradecimiento pueblo apoya recibe infinitas muestras carino VAMOS DEFRAUDAR JAMAS aqui amor ustedes,2019-02-24
Luisa,Maldonado,LuisaMaldonadoM,Instantes campana jamas olvidaremos profundo agradecimiento pueblo apoya recibe infinitas muestras carino VAMOS DEFRAUDAR JAMAS aqui amor ustedes,2019-02-24
Luisa,Maldonado,LuisaMaldonadoM,Gracias vecinos Armenia muestras carino caravana alegria marzo vamos votar lista,2019-02-24
Luisa,Maldonado,LuisaMaldonadoM,Gracias recibirnos companeros barrio Abril dirigente sector popular comprendo necesidad preocupacion Alcaldia seguiremos apoyando regularizacion barrios escrituras Cuentan,2019-02-24
Luisa,Maldonado,LuisaMaldonadoM,Dentro pocos minutos Ecuatoriana celebrar fiesta Carnaval invitados acompanarnos,2019-02-24
