nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Eduardo,Argudo,EduardoArgudoG,propuesta querida Yazmin,2019-02-25
Eduardo,Argudo,EduardoArgudoG,invitamos unirte transmision conocer,2019-02-26
Eduardo,Argudo,EduardoArgudoG,bloque cada candidato escoge pregunta responderla minuto Despues damos paso ronda comentarios replicas Inicia,2019-03-01
Eduardo,Argudo,EduardoArgudoG,encuentro pocos candidatos Intervenciones mayoria generalizaciones propuestas especificas correcto manejo temas genero corrigiendo informando acudieron conocimiento,2019-03-01
Eduardo,Argudo,EduardoArgudoG,respaldo trabajador libre Alcaldia nadie perseguira,2019-03-06
Eduardo,Argudo,EduardoArgudoG,Vamos desaparecer todas fundaciones beneficio inventario decir vamos fiscalizarlas dinero publico puede manos particulares vivo exigimos desze Ecuador Directo,2019-03-06
Eduardo,Argudo,EduardoArgudoG,JUSTICIA goce efectivo derechos Guayaquil limitan impiden ejercicio derechos ciudad injusta cualquier espacio podamos expresarnos exigiremos pasion compromiso pueblo,2019-03-11
Eduardo,Argudo,EduardoArgudoG,invito vernos vivo noche Exigimos proponemos ciudad humana ecologica ciudad,2019-03-12
Eduardo,Argudo,EduardoArgudoG,22h00 conoceremos candidatos alcaldia Miranos vivo,2019-03-12
Eduardo,Argudo,EduardoArgudoG,,2019-03-18
Eduardo,Argudo,EduardoArgudoG,multas ordenanzas municipales ilegitimas Ecuador sanciones establecidas mismas infracciones COIP solo ilegitimas inaplicables inconstitucionales evidente vulneracion derechos vivo Satelital,2019-03-18
Eduardo,Argudo,EduardoArgudoG,policia metropolitana deber brigads proteccion derechos mitad hombres mitad mujeres Deben afuera escuelas colegios protegiendo ninos ninas adolescentes vivo Satelital,2019-03-18
Eduardo,Argudo,EduardoArgudoG,absoluto respaldo candidatura joven socialista candidato lista presenta verdadera renovacion administracion municipal necesaria luego,2019-03-21
Eduardo,Argudo,EduardoArgudoG,respaldo Juventud junto Pueblo Vamos Marzo derrotar visto negocios derechos,2019-03-21
Eduardo,Argudo,EduardoArgudoG,ciudad tendra agua potable pueda beberse llave vota,2019-03-21
Eduardo,Argudo,EduardoArgudoG,eliminaran multas duplicidad sanciones vota,2019-03-21
Eduardo,Argudo,EduardoArgudoG,propone ciudad ecologica humana voto sera,2019-03-21
Eduardo,Argudo,EduardoArgudoG,,2019-03-21
Eduardo,Argudo,EduardoArgudoG,eliminaran todas fundaciones fiscalizaremos recursos publicos entregados particulares vota,2019-03-21
Eduardo,Argudo,EduardoArgudoG,recuperaremos areas verdes ciudad sustituiran palmeras arboles nativos frutales vota,2019-03-21
Eduardo,Argudo,EduardoArgudoG,eliminen multas duplicidad sanciones vota,2019-03-21
Eduardo,Argudo,EduardoArgudoG,eliminaran todas fundaciones fiscalizaremos recursos publicos entregados particulares vota,2019-03-21
Eduardo,Argudo,EduardoArgudoG,nunca garrote Garantizara trabajo libre gente vota,2019-03-21
Eduardo,Argudo,EduardoArgudoG,recuperaremos areas verdes ciudad sustituiran palmeras arboles nativos frutales vota,2019-03-21
Eduardo,Argudo,EduardoArgudoG,eliminaran multas duplicidad sanciones vota,2019-03-21
Eduardo,Argudo,EduardoArgudoG,eliminaran multas duplicidad sanciones vota,2019-03-21
Eduardo,Argudo,EduardoArgudoG,aprendi hurto encuentran FUNDACIONES solo conjunto eliminaran todas fundaciones fiscalizar recursos publicos entregados particulares,2019-03-21
Eduardo,Argudo,EduardoArgudoG,recuperaremos areas verdes ciudad sustituiran palmeras arboles nativos frutales vota,2019-03-22
Eduardo,Argudo,EduardoArgudoG,eliminaran todas fundaciones fiscalizaremos recursos publicos entregados particulares vota,2019-03-22
Eduardo,Argudo,EduardoArgudoG,unico candidato izquierda tercera frente derecha Oligarquia designado colectivos sociales Siempre frontal respecto traidores proceso,2019-03-22
Eduardo,Argudo,EduardoArgudoG,candidato voto,2019-03-22
Eduardo,Argudo,EduardoArgudoG,,2019-03-24
Eduardo,Argudo,EduardoArgudoG,,2019-03-23
Eduardo,Argudo,EduardoArgudoG,cierre campana Gracias todas,2019-03-24
Eduardo,Argudo,EduardoArgudoG,,2019-03-24
Eduardo,Argudo,EduardoArgudoG,Guayaquil cuantos Cuayaquil arte Guayaquil Guayaquil oprime Guayaquil quiere ignorante acabe,2019-04-02
Eduardo,Argudo,EduardoArgudoG,exacto diria troles,2019-04-08
