nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Francisco,Jimenez Sanchez,fcojimenez21,! Seguimos recorriendo Guayaquil ! Mercado Santa Teresita Parroquia Febres Cordero presentando propuesta comerciantes sector . Vamos potenciar infraestructura mercados darles connotacion turistica . # ElGuayaquilQueTuQuieres https : //t.co/4VkHlUgoWy,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,Radio @ RadioLaPrensa 100.1 FM VIVO conversando propuestas . # ElGuayaquilQueTuQuieres # JimenezAlcalde # VotaTodoCREO21 https : //t.co/YxRqIzCZsi,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,"Vamos organizar ciudad 10 zonas , cada Unidad Municipal Independiente presupuesto propio . elaborado propuestas funcion buscar progreso guayaquilenos . @ RadioLaPrensa # ElGuayaquilQueTuQuieres # JimenezAlcalde # VotaTodoCREO21 https : //t.co/ldkBPWUVne",2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,realidades duras Guayaquil veces cuesta aceptarlas vamos mejorarlas . Queremos construir # Guayaquil ilusiona . @ RadioLaPrensa https : //t.co/sgZm5ok4Em,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,"Gracias recibirme minutos conversar vida futbol , pasion comparto pequeno . @ superk800radio https : //t.co/KE03dxx2ez",2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,radio @ forever925sintonicen 92.5 FM pueden ver entrevista VIVO via # FacebookLive https : //t.co/3dk3wrz3sg https : //t.co/7fbbaoRSsF,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,! Amigos ! Manana # DebateGuayaco @ lacamaragye @ LaPosta_Ecu presentando guayaquilenos propuestas # ElGuayaquilQueTuQuieres Via # FacebookLive Cuentanos temas gustaria debata . # DebateAlcaldes https : //t.co/OFoQcr4vbv,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,Hoy llevara cabo debate candidatos Alcaldes # Guayaquil organizado Camara Comercio . @ CynthiaViteri6 @ jimmyjairala negado asistir . actitud antidemocratica falta respeto votantes .,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,Hoy llevara cabo debate candidatos Alcaldes # Guayaquil organizado Camara Comercio . @ CynthiaViteri6 @ jimmyjairala negado asistir . actitud antidemocratica falta respeto votantes .,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,"Candidato debate , merece voto . # VotaTodoCREO21 https : //t.co/vtMRGzmrn4",2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,! Amigos ! Hoy 20h00 presentes VIVO via streaming # DebateGuayaco @ lacamaragye @ LaPosta_Ecu HT oficial # JimenezAlcalde https : //t.co/jsc4Jl2h2A,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,! listos ! breves momentos arranca # DebateGuayaco @ lacamaragye @ LaPosta_Ecu # JimenezAlcalde @ CREOEcuador https : //t.co/2Lny9qsYa0,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,@ fcojimenez21 partido @ CREOEcuador tercero llegar # DebateGuayaco Escucha propuestas hoy 20 Feb. # ViaStreaming 20h00 FbLive : https : //t.co/xWZuAPE8Wu YouTube : https : //t.co/5kGsY6bH6b # FelizMiercoles https : //t.co/F2uM5HTXHf,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,! Vamos bajar multas transito desproporcionadas 70 % ! # JimenezAlcalde # DebateGuayaco @ lacamaragye @ LaPosta_Ecu @ CREOEcuador https : //t.co/OFR5srtPpN,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,"Vamos organizar ciudad 10 zonas , cada Unidad Municipal Independiente presupuesto propio # JimenezAlcalde # DebateGuayaco @ lacamaragye @ LaPosta_Ecu @ CREOEcuador https : //t.co/Zmw8G5QZZp",2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Felicito candidatos asistieron hoy debate critico frontalmente asistieron @ CynthiaViteri6 @ jimmyjairala quitarle oportunidad guayaquilenos conocer propuestas .,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,"Candidato debate , merece voto # JimenezAlcalde # DebateGuayaco @ CREOEcuador https : //t.co/oTbNUvkySR",2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,! Vamos recuperar navegabilidad Rio Guayas ! # JimenezAlcalde # DebateGuayaco @ lacamaragye @ LaPosta_Ecu @ CREOEcuador https : //t.co/q2vP1ZgF9B,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,! voy ser Alcalde EMPLEO ! # JimenezAlcalde # DebateGuayaco https : //t.co/tKObD8H4NK,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,candidato @ fcojimenez21 GANADOR # DEBATEGUAYACO sera NUEVO ALCALDE # Guayaquil hizo # TurnDownForWhat candidatos https : //t.co/HFAHRU7wPT,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,vision futuro . # ElGuayaquilQueTuQuieres si posible . # JimenezAlcalde # DebateGuayaco https : //t.co/JTTxCcvbn1,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,! Vamos bajar multas transito 70 % ! # ElGuayaquilQueTuQuieres # JimenezAlcalde # DebateGuayaco https : //t.co/Pk7Hi8fxjI,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,# DebateGuayaco @ fcojimenez21 GANADOR . Excelentes propuestas # JimenezAlcalde # VotaTodoCREO21 # ElGuayaquilQueTuQuieres # todoslecopianaFrancisco https : //t.co/oE8wJFKOGF,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,! Gracias apoyo noche ! Cumplimos guayaquilenos presentando propuestas # DebateGuayaco ! Gracias @ lacamaragye @ LaPosta_Ecu invitacion ! # JimenezAlcalde # VotaTodoCREO21 https : //t.co/0sZ4TZ8eci,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,! Gracias apoyo noche ! Cumplimos guayaquilenos presentando propuestas # DebateGuayaco ! Gracias @ lacamaragye @ LaPosta_Ecu invitacion ! # JimenezAlcalde # VotaTodoCREO21 https : //t.co/CC85RRQyhx,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Agenda actividades jueves 21 febrero # ElGuayaquilQueTuQuieres # JimenezAlcalde # VotaTodoCREO21 https : //t.co/y9D7RisLwF,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,VIVO @ 680radioatalaya pueden acceder entrevista via # FacebookLive siguiente link https : //t.co/9Htki2BVco https : //t.co/xvHEPYdXsT,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,proponemos cosas ejemplo Metro Fluvial complemento transporte masivo ciudad . Ofrecemos soluciones sencillas buscan impactar positivamente calidad vida guayaquilenos . @ 680radioatalaya https : //t.co/7qd0i1mCUj,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,"problematica drogas vamos trabajar 3 ejes : Prevencion , rehabilitacion reinsercion . Construiremos Polideportivos Municipales alejar chicos drogas centros rehabilitacion implementaremos Bolsa Empleo Municipal . @ 680radioatalaya https : //t.co/12BqjLcp2S",2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Vamos bajar multas transito 70 % . busco combinar multas razonables educacion vial trabajo comunitario . # ConversatorioAER # ElGuayaquilQueTuQuieres # JimenezAlcalde # VotaTodoCREO21 https : //t.co/3ifdT7uxtG,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,"Vamos lograr obra municipal llegue sectores ciudad . vamos organizar ciudad 10 zonas , cada Unidad Municipal Independiente presupuesto propio . # ConversatorioAER # ElGuayaquilQueTuQuieres # JimenezAlcalde # VotaTodoCREO21 https : //t.co/le67LLfgq2",2019-02-21
