nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Luisa,Maldonado,LuisaMaldonadoM,cada rincón quiteno quitena mostrar apoyo carino militante revolucion ciudadano listo compromiso social,2019-02-17
Luisa,Maldonado,LuisaMaldonadoM,persona caminar todo ciudad conocer perfectamente condición saber exactamente hacer marzo votar,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,compartir agenda cumplirer lunes febrero breve vivo,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,compartir agenda cumplirer lunes febrero breve vivo,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,momento vivo entrevista sigala vivo traves,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,pregunta prometer hacer caso llegar alcaldio respuesta alejarme gente tierro motivan seguir trabajar derecho derechos entrevista,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,sociedad promueve cultura alcaldio entregarer plaza belmonte gestor cultural,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,toro quito sociedad promueve cultura alcaldio entregarer plaza belmonte gestor cultural plazo vido,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,17h00 candidata alcaldio conectate aqui,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,construirer centro desarrollo comunitario joven nino adulto mayor actividad artistica recreacional alejir pandilla alcohol droga,2019-02-18
Luisa,Maldonado,LuisaMaldonadoM,tarde 16h00 concentracion palacio carondelet,2019-02-19
Luisa,Maldonado,LuisaMaldonadoM,19h00 participarar conversatorio organizado facebook live page invitado acompanarnos,2019-02-19
Luisa,Maldonado,LuisaMaldonadoM,particip construccion constitucion 2008 apoyar derecho naturaleza supuesto derecho animal,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,particip construccion constitucion 2008 respetar promover derecho naturaleza supuesto derecho animal,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,particip construccion constitucion 2008 respetar promover derecho naturaleza supuesto derecho animal,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,lamentable perrito abandonado call alcaldio campanas esterilizacion control serar prioridad buscar apoyo ongs gran experiencia hacer solo,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,compartir agenda cumplirer miercol febrero partir 16h00 recorreremos distrito centro junto companero candidato concejal invitado acompanarno,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,entrevista union comerciante minorista trabajador autonomos transmitimos propuesta creacion consejo consultivo representante diferente organización poder discutir proponer politica publicar junto cabildo,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,querer enterrarno entender semilla florecer junto luisa maldonado,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,momento seguir vivo recorrido companero candidato concejal distrito centro recuperar quito patria enterir,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,carino gente compro ganar trabajo duro servicio honesto pronto recuperarer quito patria enterir humild,2019-02-20
Luisa,Maldonado,LuisaMaldonadoM,hermoso recorrido call quito abrazo saludo recordar gente candidato listo marzo,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,conocer propuesta areo cultural poder seguir entrevista cafe anaconda aqui,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,construccion centro cultural obra emblematico contemplado vision ciudad quito espacio quitena quiteno poder apreciar teatro musico cultura,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,trabajarer varios punto ser municipio eficiente cero corrupcion agilidad tramit disminucion pago impuesto generacion incentivo espectaculos cultural reitero,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,alcaldia prohibirer corrida toro plaza belmonte propiedad municipio entregarer gestor cultural manán hacer tomar simbolico 10h00 invitamos acompanarnos,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,cultura muerte continuo ser vida alcaldio promoverer espacio ciudadano poder tén acceso taller cultural monico sandoval,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,jueves 10h00 tomarar plaza belmonte entregar grupo gestor cultural favor vida arte cultura maltrato crueldad unetir causa,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,agenda actividad cumplirer breve minuto entrevista tarde recorrer calle distrito norte companero candidato concejal,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,construirer centro desarrollo comunitario todo ciudad nino joven adulto mayor desarrollar actividad artistica recreacional alejir pandilla alcohol droga,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,iniciar evento plaza belmonte seguir vivo clic aqui,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,compromiso futuro alcaldesa quiteno quitena sera centro cultural grande,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,historico quito ciudad evolucionar entreguir documento notariado compromiso entregar plaza toro belmonte comunidad hacer espacio centro cultural bla,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,alcaldia permitirer solo corrida toro crearer comision animalista concejo metropolitano plaza plaza muerte convertirar plaza vida arte cultura,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,patrimonio quiteno regresar quiteno,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,firmamos acuerdo igualdad colectivo lgbti autoridad deber obrar ejemplo normativa necesario implementaremo programa necesario apoyar proceso mejorar condición vida grupo minoritario,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,inaceptable abandono gobierno nacional estar preocupado encubrir fechoria privatizar bien ecuatoriano hacer negociado echar culpa gobierno anterior solo justificar ineptitud bastar,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,moncayo complice decir vez consulta popular hacer mutis mientras endeudar millón organismo multilateral cambio menos inversion salud educacion obra publicar desarrollo,2019-02-21
Luisa,Maldonado,LuisaMaldonadoM,iniciar caravana alegrio barrio noroccidente quito candidatas listo seguirnos vivo clic aqui,2019-02-22
Luisa,Maldonado,LuisaMaldonadoM,companero junto candidata listo junto recuperar quito pichincho patria entero,2019-02-22
