nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jorge,Villacreses,jorgevillacrese,Turismo Guayaquil ciudad miedo alto grado percepcion inseguridad propuesta devolver tranquilidad guayaquilenos GuayaquilSeguro Alcalde2019 AlguacildelaSeguridad,2019-02-19
Jorge,Villacreses,jorgevillacrese,Vamos contar centros monitoreo estaran escuadrones drones estaran ubicados zonas conflictivas Policia manejar sistema aporte herramientas GuayaquilSeguro Alcalde2019 EcuatorianoUnido AlguacildelaSegurida,2019-02-19
Jorge,Villacreses,jorgevillacrese,listos microfonos 680radioatalaya AlguacilDelaSeguridad Alcalde2019 EcuatorianoUnidoLista4 GuayaquilSeguro,2019-02-19
Jorge,Villacreses,jorgevillacrese,estare 11h00 Guayas solicitar exija Provincial EcuatorianoUnidoLista4 asigne pauta publicitaria corresponde candidato derecho mensaje difunda medios comunicacion Alcalde2019,2019-02-19
Jorge,Villacreses,jorgevillacrese,excelente iniciando jornada teleramaec invito seguirnos vivo AlguacilDelaSeguridad Alcalde2019 EcuatorianoUnidoLista4,2019-02-20
Jorge,Villacreses,jorgevillacrese,alcalde crear escuadrones cada drones seran manejados Policia Queremos tener GuayaquilSeguro AlguacilDelaSeguridad Alcalde2019 VotaSinMiedo Lista4,2019-02-20
Jorge,Villacreses,jorgevillacrese,buscar modelos exitosos paises haremos Guayaquil AlguacilDelaSeguridad GuayaquilSeguro Alcalde2019 EcuatorianoUnidoLista4,2019-02-20
Jorge,Villacreses,jorgevillacrese,Entrevista teleamazonasec junto Juan Manuel Bermudez tambien candidato Alcaldia denunciar pautas publicitarias parte directivas Guayas EcuatorianoUnidoLista4 LibertadEsPueblo,2019-02-20
Jorge,Villacreses,jorgevillacrese,invito seguir entrevista MasAllaDeLasUrnas marielaviteri FMRadioFuego MarielaTV contarles propuestas temas AlguacilDelaSeguridad GuayaquilSeguro Alcalde2019,2019-02-26
Jorge,Villacreses,jorgevillacrese,Buenos dias breve estare canal TvDigital contar guayaquilenos propuestas Alcaldia2019,2019-02-27
Jorge,Villacreses,jorgevillacrese,objetivo fortalecer Seguridad Guayaquil escuadrones Drones capacitacion herramientas informales organizarlos ambas propuestas mano tecnologia AlguacildelaSeguridad EcuatorianoUnido Lista4 Alcaldia2019,2019-02-27
Jorge,Villacreses,jorgevillacrese,vivo RadioHuancavilk conversare propuestas Alcalde2019 AlguacilDelaSeguridad Lista4 EscuadronDeDrones CamarasDeReconocimientoFacial,2019-02-27
Jorge,Villacreses,jorgevillacrese,invito 19h00 sintonizar teleramaec eluniversocom conocer propuestas debate organizado EcuadorDecide AlguacilDelaSeguridad GuayaquilSeguro GuayaquilSinMiedo VotaSinMiedo Lista4,2019-02-28
Jorge,Villacreses,jorgevillacrese,Nota periodistica Expresoec debate Gracias informar embargo debo aclarar minuto tiempo exponer imposible ampliar cifras detalles propuestas,2019-03-01
