nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Juan Carlos,Solines,JCSolines,comparto agendir entrevista manán,2019-02-21
Juan Carlos,Solines,JCSolines,compromiso barrio trabajar junto resolver problema tambien mio poner orden ciudad,2019-02-22
Juan Carlos,Solines,JCSolines,invitar escucharme,2019-02-22
Juan Carlos,Solines,JCSolines,convencer electorar estrategia candidato importante desafio caso campán seriedad decir gente mucho vez querer escuchar propuesta real volver levantar,2019-02-22
Juan Carlos,Solines,JCSolines,deber volver ojo barrio parroquia rural dejar mega obra grande venir camino metro seguir transmision vivo interactuir,2019-02-22
Juan Carlos,Solines,JCSolines,ser acercamiento barrio iniquidad enorme talir caso existir hogar utilizar vela barrio capital,2019-02-22
Juan Carlos,Solines,JCSolines,compromiso barrio trabajar junto resolver problema tambien mio quito tolerar mediocridad improvisacion,2019-02-24
Juan Carlos,Solines,JCSolines,invitar sintonizar entrevista,2019-02-25
Juan Carlos,Solines,JCSolines,invitar sintonizar entrevista,2019-02-26
Juan Carlos,Solines,JCSolines,esperar descansado feriado avanzar firme campana invito visitar red facebook instagram escuchar entrevista manán,2019-03-06
Juan Carlos,Solines,JCSolines,juan carlos solines candidato alcaldia quito junto poder,2019-03-06
Juan Carlos,Solines,JCSolines,invito acompanir entrevista,2019-03-07
Juan Carlos,Solines,JCSolines,diferencia atacar plantear tema importante gente esperar paco moncayo cara poder aspirar alcalde huir debate decir frente trolls,2019-03-07
Juan Carlos,Solines,JCSolines,invito manana sintonicir nuevo debate corral holguin montufar radio quito entrevista 15pm importante escuchar candidato analicir perfil experiencia ejercer voto informado,2019-03-08
Juan Carlos,Solines,JCSolines,comparto entrevista manán gran abordamo mucho propuesta alcaldio quito,2019-03-08
Juan Carlos,Solines,JCSolines,martes 7y30 segmento conocer candidato seguir hablar propuesta acompanar pregunta,2019-03-12
Juan Carlos,Solines,JCSolines,dialogo candidato alcaldio quito organizado postulant,2019-03-14
Juan Carlos,Solines,JCSolines,dialogo candidato alcaldio quito organizado postulant,2019-03-14
Juan Carlos,Solines,JCSolines,esencio feminismo lucho igualdad decir,2019-03-15
Juan Carlos,Solines,JCSolines,empezar conversacion candidato aceptar cumplir invitacion better hablar genero moderado,2019-03-15
Juan Carlos,Solines,JCSolines,manán 8amx97 superar desanimo quiteno hacer centro historico alcaldia menor conectividad nuevo eje desarrollo contaminacion radiacion,2019-03-16
Juan Carlos,Solines,JCSolines,invito acompanir entrevista,2019-03-16
Juan Carlos,Solines,JCSolines,noticia urgente operacion metro quito negociado silenciosamente,2019-03-16
Juan Carlos,Solines,JCSolines,vivo quito concejal norte lista alcalde,2019-03-17
Juan Carlos,Solines,JCSolines,,2019-03-17
Juan Carlos,Solines,JCSolines,tranquilo yvonne podra troll servicio tocayo holguin talvez ignorar buen amigo decidir conciencia quiteno poder seguir equivocar,2019-03-18
Juan Carlos,Solines,JCSolines,tranquilo yvonne podra troll servicio tocayo holguin talvez ignorar buen amigo politico deber limpio decidir conciencia quiteno poder seguir equivocar,2019-03-18
Juan Carlos,Solines,JCSolines,gracias pablo aprecio criterio,2019-03-18
Juan Carlos,Solines,JCSolines,hablar serio andrea gordon verdadero nombre empezaste interesarte politico enero primero tuit aborto juego limpio trolls plan trabajo construido gente experiencia largo lucha politico,2019-03-18
Juan Carlos,Solines,JCSolines,politico twitter facebook hecho politico luchar calle defender derecho ideal esperar trat carino mand foto simplemente identificatar quedara sospechar troll hacer quedar tocayo,2019-03-18
Juan Carlos,Solines,JCSolines,pico perder caso hacer perder candidato responsabilizo escribo troll center incompatible pulcritud tocayo ahora andreo cuentamar haz dedica trabajaste plan jactas,2019-03-18
Juan Carlos,Solines,JCSolines,perdono meta efectivamente titulo libro candidato apoya voluntario remuneradamente deberia consecuente seguir esperar nombre completo hagas quedar tocayo,2019-03-18
Juan Carlos,Solines,JCSolines,candidato hecho politico limpiamente todo vida tranquilo sereno manán revele ciudadano detras contar ojala perder tranquilidad serenidad candidato jefe,2019-03-18
Juan Carlos,Solines,JCSolines,confirmado troll servicio tocayo recomeir haga cosa investigu bien plan pagina compar plan roda 2014 candidato creyo apoyo trabajo cuanta pagina tenia,2019-03-18
Juan Carlos,Solines,JCSolines,altura decir cosa frente trolls hecho todo vida frente correa secuaz trollcenter jama amilanar hacer frente principiant estar hacer quedar tocayo,2019-03-18
Juan Carlos,Solines,JCSolines,ciudadano tuitear febrero hostigado sistematicamente fecha solo seguidor primero candidata concejal tocayo ciudadano tuitear enero seguidor companero,2019-03-18
Juan Carlos,Solines,JCSolines,preferible tratar borrar evidencia notarizado abogado experto tecnologia enfrente incluso rights epocar correo alvarado tirania pena empanado campán imagen tocayo sabrar,2019-03-18
Juan Carlos,Solines,JCSolines,curioso mucho coincidencia hacer notar mucho ciudadano resulto troll innato insisto lastima hacer quedar tocayo suponer repudiar practicas viejo politico,2019-03-18
Juan Carlos,Solines,JCSolines,ultimo semana campán invitar escuchar atentamente entrevista empiezo momento debate radio democraciar montufar holguin davalo,2019-03-18
Juan Carlos,Solines,JCSolines,estimar arianna aunque decidido voto hacer rato aclaro ataco nadie preguntar mejor opcion quito conteste pensar frente adema argumento dado refutado,2019-03-18
Juan Carlos,Solines,JCSolines,estimado rafa conocer tiempo aprecio respetar preferencio inexperiencia publicar deber recordarte correa roda precisamente resultado preferencia esperar sinceramente vuelva arrepentir,2019-03-18
Juan Carlos,Solines,JCSolines,hacer bien fernando actitud responsable invito lea hoja vida trayectorio experiencia candidato favorito equivoquer quito aguanta improvisacion mediocridad,2019-03-18
Juan Carlos,Solines,JCSolines,entonces deberia haber aprender querido rafa jaja ultimo decado ultimo administracion municipal abrazo,2019-03-18
Juan Carlos,Solines,JCSolines,medio extemporaneo comentario revelar oportunidad politico concepto amistad ahora entender totalmente preferencio inexperiencia publicar recuerda candidato criticar obra metro aereopuerto anos retraso,2019-03-18
Juan Carlos,Solines,JCSolines,invitar escuchar entrevista,2019-03-19
Juan Carlos,Solines,JCSolines,amparo exactamente perfil candidato revisar embargo respecto principio valor mencionar respeto vida familia libertad religioso ser claro frontal creer vida concepcion respecto genero dudar,2019-03-19
Juan Carlos,Solines,JCSolines,gracias alex domingo dar sorpresa,2019-03-19
Juan Carlos,Solines,JCSolines,estimado pablo alegrar planteamiento agradado propuesta alejar demagogia producto contacto barrio liga gente realidad abrazo,2019-03-19
Juan Carlos,Solines,JCSolines,reveladoro entrevista candidato preguntado gobernar garnica aliado ricaurte poner ejemplo jesucristo juda respondio pil recomeir ver completo,2019-03-20
