nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
José Carlos,Tuarez Zambrano,jcarlostuarez,"Sigo recorriendo hermosa provincia Rios , jornada medios Quevedo sido entrevistado ROQ TV , comparti propuestas # CPCCS compromiso velar estabilidad cuidado familia . # Elecciones2019EC # AHORA # EleccionesCPCCS https : //t.co/MpQMCOxw9a",2019-02-19
José Carlos,Tuarez Zambrano,jcarlostuarez,"Fiscalizaremos recursos ingresan cada provincia designaremos autoridades cumplido debido concurso meritos oposicion , Rey TV compromiso ciudadania Quevedo resto pais # EleccionesCPCCS # Elecciones2019EC # AHORA # EC https : //t.co/hrZwnZpVml",2019-02-19
José Carlos,Tuarez Zambrano,jcarlostuarez,"claudicare , sigo luchando junto ecuatorianos pais trasparente , existan oportunidades cada ecuatoriano importar apellido , condicion social procedencia . mensaje comparti Radio Rey , Quevedo # Elecciones2019EC # CPCCS https : //t.co/XU0HQW4LoR",2019-02-19
José Carlos,Tuarez Zambrano,jcarlostuarez,! Manabi ! provincia natal encuentro recorriendo tempranas horas varios medios comunicacion . primero medios @ radioscandalo comparti propuestas # CPCCS # Elecciones2019 # EleccionesCPCCS # Puesto7 # Ecuador # Manabi # EC https : //t.co/Uy1LHobBpM,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,"dejaremos pais siga silencio , lucharemos juntos corrupcion . Hoy @ oromartv comparti ecuatorianos propuestas compromisos construir junto mejor pais # CPCCS # Elecciones2019 # EleccionesCPCCS # Puesto7 # Ecuador # Manabi https : //t.co/IHI6pQwPoy",2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,"tarde recibido instalaciones @ SonoOndaHDRadio comparti opiniones situacion pais , proceso electoral ano propuestas # CPCCS . # Elecciones2019 # EleccionesCPCCS # Manabi # Ecuador # Elquintopoder # Juntos # Patria https : //t.co/T1q0COS8CG",2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,"finalizar espectacular jornada , invitados estudio @ tvmanabita hable propuestas # CPCCS motivaciones llevaron ser parte proceso electoral . # Ecuador # Elecciones2019 # Manabi # Elquintopoder https : //t.co/l349UjzyHu",2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,Vota Padre Jose Tuarez Consejo Participacion ciudadana control social . Buscalo papeleta hombres 7mo cuello clerical https : //t.co/4WLR7SJqGV,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,"Seguimos Manabi , bella provincia comunicare ciudadanos propuestas opiniones # CPCCS . continuacion presento agenda medios dia , viernes 22 Febrero . # Elecciones2019EC # Ecuador # CPCCS # Familia # Puesto # EleccionesCPCCS https : //t.co/5eeorC5gCh",2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,"Dios guarde hermanos ecuatorianos diferentes provincias bendecida patria , espero # temblor quite ningun ser amado . # Sismo # EcuadorPrevenido https : //t.co/cLGU5WgAJ3",2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,"Agradezco @ tvmanabita invitacion tan grato recibimiento , voy trabajar olvidados sere voz voz . # 22Feb # BuenViernes https : //t.co/8MzX0z5lTn",2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,"Gracias # Manta maravilloso ser recibido calidez , `` Vamos vigilar recursos destinados diferentes sectores evitar sobreprecios '' # BuenViernes # PadreJoseTuarez https : //t.co/PNkDU8iOeU",2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,Felicitaciones sentirse gusto provincia . apoyamos siempre . Siga haciendo buena campana . https : //t.co/60LNgqpe0x,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,"Estimados amigos , excelente inicio semana , seguir informados comparto agenda actividades dia manana , 25 Febrero , realizarse hermosa provincia Guayas . # Guayas # Elecciones2019 # EleccionesCPCCS # Ecuador # CPCCS https : //t.co/w8TAcp18iR",2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,"Saludos estimados amigos , bello productivo dia . Comenzamos actividades Guayas @ Caravana750 encuentro compartiendo propuestas mejor juntos pais . # Elecciones2019 # EleccionesCPCCS # ECUADOR # Guayas https : //t.co/3Mb16TArUR",2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,@ jcarlostuarez @ Caravana750 bendiciones Padre ... ser humano excepcional ... abrazo fuerte distancia,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,"instalaciones ECUADOR DIRECTO , compartido fuerte sincero dialogo importancia # CPCCS comprometo ecuatorianos luchar transparencia larga vida # QuintoPoder https : //t.co/81bLk21ddL # ActivismoSocial # Elecciones2019 https : //t.co/ote1yeZRFK",2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,"! paramos ! Sigo compartiendo propuestas opiniones importancia # CPCCS pais . voz sido silenciados , callare nunca . @ 680radioatalaya compromiso ustedes ecuatorianos . # Elecciones2019EC # Ecuador # GYE https : //t.co/8HoYwjXfuh",2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,"@ jcarlostuarez @ CPCCS Estimado Padre votare usted , cuentan Manabita lindo . Dios bendiga padre",2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,"@ jcarlostuarez @ CPCCS Estimado Padre , llegar ser electo esperamos ayude reconstruir institucionalidad pais destruyendo diestra siniestra sr @ Lenin moreno",2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,Padre Dios guie proteja . buen inicio semana fuerza fe Ecuador decente solidario . Cuente voto apoyo siempre . https : //t.co/2nq22wXDoY,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,"Debemos luchar verdad , juntos haremos mejor pais . juntos nuevo # CPCCS , invito seguir entrevista @ WilarRadio compartirla contactos . # Elecciones2019EC # EleccionesCPCCS # JoseTuarez # EcuadorEnLasUrnas # Ecuador # Guayas https : //t.co/BiWzSpgQIV",2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,"votar conviccion futuro familias , comparto sentimiento rechazo dirigentes organizaciones sociales Guayas . Juntos rechazamos eliminacion # CPCCS # 2019VotoVida # Unidos # Elecciones2019EC # EleccionesCPCCS https : //t.co/k7Bl0Je05U",2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,"Hace culmine ferviente grata reunion GREMIO PROFESIONALES DISTRITO 1 , compartimos diversas opiniones importancia # CPCCS escuche necesidades noble grupo . # Elecciones2019EC # EcuadorEnLasUrnas # Guayaquil https : //t.co/91aYNabGrc",2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,"dejemos componendas politicas sigan danando Ecuador . Votemos decencia . Casillero 7 , hombres , CPCCS https : //t.co/L7lffbmETt",2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,"# RIESG reunion @ jcarlostuarez candidato concejero @ CPCCS , damos conocer problematicas sector aportamos propuestas . Gracias @ jcarlostuarez sector # EPS cuenta usted @ RedesBarriales @ redemprendimie1 @ FEDEBASG @ FacEconomia_UG @ UdeGuayaquil @ CamaraEps https : //t.co/28cyq8aVdu",2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,Excelente tendencia Padre JOSE CARLOS TUAREZ CPCCS VOTA CASILLERO # 7 https : //t.co/bBi2PSbVOW,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,"calida provincia Guayas informo agenda medios dia hoy , 26 febrero , invito compartir informe juntos llevemos mensaje unidad verdadero # CPCCS https : //t.co/aCWziEqXcp",2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,"motivacion # LaFamilia , # LaVida , # ElAmor , padre fuerza hogar , madre luz familia hijos inspiran . # ProVida # CPCCS hoy @ RADIOAMERICAEC comprometo luchar familias # Ecuador https : //t.co/ZNO8FxugkI",2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,espectacular revista online @ revistzonalibre encuentro compartiendo ameno dialogo motivaciones propuestas # CPCCS invito compartan disfruten encuentro . # Elecciones2019 # EleccionesCPCCS # EcuadorEnLasUrnas # Guayaquil # Guayas https : //t.co/vJnTJgDp5w,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,"Queremos pais abunden sonrisas escaseen lagrimas , honestos mas unidos venceremos # Corrupcion . invito # 24Marzo construyamos juntos gran historia . # CandidatoCPCCS # FelizMartes # TienenDerechoAVotar # PadreJoseTuarez # CPCCS https : //t.co/ZhKuRtN6Ka",2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,"Lucharemos juntos dejaremos # CPCCS silenciado , @ LAVOZDEDAULE compromiso toda ciudadania . # Elecciones2019EC # EleccionesCPCCS # Luchar # Juntos https : //t.co/G4xhjXZZHX",2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,voz tambien palabra ciudadanos honestos estan cansados ser silenciados . @ canaldeduran comparti propuestas # CPCCS di mensaje apoyo union ciudadanos Duran . # Duran # EleccionesCPCCS # Elecciones2019EC https : //t.co/4mJ5Py4724,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,Seguiremos luchando fuerte transparente # CPCCS hace varias horas dialogue propuestas organismo @ DVTelevision # Elecciones2019EC # EleccionesCPCCS # Ecuador # Guayas # VotaPorCPCCS https : //t.co/XESRwGge0p,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,Seguiremos luchando fuerte transparente # CPCCS hace varias horas dialogue propuestas organismo @ DVTelevision # Elecciones2019EC # EleccionesCPCCS # Ecuador # Guayas # VotaPorCPCCS https : //t.co/649Iu4zVaP,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,Canal 29 Daule comparti propuestas opiniones # CPCCS juntos voz logre darle transparencia pais . # Elecciones2019 # EleccionesCPCCS https : //t.co/iSKa0gkmyo,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"Estimados amigos , ustedes excelente feliz miercoles ; hoy , 27 Febrero , comparto ustedes agenda medios actividades realizara toda bella Provincia Santa Elena . invito compartir informe . # Elecciones2019EC # CandidatoCPCCS # EC https : //t.co/oOy7V10jwh",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"Estimados amigos , ustedes excelente feliz miercoles ; hoy , 27 Febrero , comparto ustedes agenda medios actividades realizara toda bella Provincia Santa Elena . invito compartir informe . # Elecciones2019EC # CandidatoCPCCS # EC https : //t.co/WvomoaG34f",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"interesa si cura ateo : tuit , Tuarez gano voto : https : //t.co/wGYIThtls1",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"Saludos amigos ! Empiezo # Agenda # ProvSantaElena @ brisatv23 , doy conocer bella provincia candidatura # CPCCS , vamos luchar # Corrupcion amor familias , recuperar valores , vida . # Provida # FelizMiercoles https : //t.co/9ohSoYByXN",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"Voy poner # Disciplina , voy permitir pocos roben recursos esperanza . # YaBasta ! poderes politicos estan promoviendo # VotoNulo , humildes , pueblo , pobres vamos permitir . Si ricos dicen # , pobres diremos # Si . https : //t.co/sndt7OzjcL",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"radio @ vozpeninsula , `` Ser enlace ciudadanos solucionar quejas , pedidos , denuncias '' . # PadreJoseTuarez # CPCCS # ProvSantaElena # Corrupcion # FelizMiercoles https : //t.co/drYmq8GAqv",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"Voy poner # Disciplina , voy permitir pocos roben recursos esperanza . # YaBasta ! poderes politicos estan promoviendo # VotoNulo , humildes , pueblo , pobres vamos permitir . Si traidores dicen # , poder ciudadano dira # Si . https : //t.co/npgE7EXYYN",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"ninguna tendencia politica , derecha , izquierda . candidatura padre trabajador , madre luchadora , hijo comprometido estudios , amor , vida , familia . respondo ningun movimiento politico . # CPCCS https : //t.co/Bb9Ok3XooH",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"@ CarlosVerareal @ CPCCS Buenos candidatos Carlos , votaria papeleta hombres @ jcarlostuarez dos mas tres . padre servicio gente toda vida , inteligente resultados probos . bueno anulemos voto CPCCS definitivo . Saludos https : //t.co/PReawDH6PN",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"Luchar valor , valentia , firmeza honor # Corrupcion . Defendere intereses # Familia . # Provida # PadreJoseTuarez # CandidatoCPCCS # CPCCS # ProvSantaElena https : //t.co/4IHmI2E9vH",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"@ RadioSalinasFM # ProvSantaElena , `` Promover igualdad derechos participacion ciudadanos decisiones tome sera principales propuestas '' . # PadreJoseTuarez # CPCCS https : //t.co/0EdQtFJiFA",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"@ RadioSalinasFM # ProvSantaElena , `` Promover igualdad derechos participacion ciudadanos decisiones tome , sera principales propuestas '' . # PadreJoseTuarez # CPCCS https : //t.co/z9IJlmuYKO",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"Estimados amigos , ustedes excelente feliz miercoles ; hoy , 27 Febrero , comparto ustedes agenda medios actividades realizara toda bella Provincia Santa Elena . invito compartir informe . # Elecciones2019EC # CandidatoCPCCS # EC https : //t.co/MmgBqozi64",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,Agradezco hombres mujeres valientes . Hoy conmemoramos # DiaDelEjercitoEcuatoriano victoria # LaBatallaDeTarqui # 27Feb1829 . # HeroesYHeroinas @ EjercitoECU saludo respeto ustedes # 190AnosEjercitoEC . https : //t.co/qPuksZJbZn,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,"@ radioamorec # Amor pongo disposicion hermosa # ProvSantaElena candidatura # CPCCS , servido siempre # SensibilidadSocial , trayectoria basada # Valores # Disciplina , hace falta # SectorPublico # GraciasProvSantaElena https : //t.co/TxPZ1DzPIS",2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,@ eyaquar @ eps_red @ FOSPEecu @ familiaprovida @ YoSoyDiamante12 @ Astrea1014 @ JulietaSagnay @ LAVOZDEDAULE @ joesgu @ dvite3 @ SofiaAlmeidaEc correista . afirmo usted ecuatorianos # NoSoyCorreista,2019-02-27
