nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
César,Montufar,CesarMontufar51,recorrido distrito metropolitano brindar momento riquezar intensidad humano incomparabl,2019-02-17
César,Montufar,CesarMontufar51,plan trabajo hacer escuchar quiteno sector pagina formar pensar familia gremio colegio profesional equipo gran experiencia diseno plan ejes politica publica obra emblematica,2019-02-18
César,Montufar,CesarMontufar51,propaganda electoral fabricado tetrapak reutilizado termine campán comprometer retirar todo propaganda enviar centro acopio,2019-02-18
César,Montufar,CesarMontufar51,manán madrugar redondel ciclista zona muchisimo trafico hora pico presentar propuesta junto monica armendariz,2019-02-18
César,Montufar,CesarMontufar51,manán 10h30 entregare fiscal general documento probar odebrecht realizo pago ilegal funcionario municipal construccion metro actual administracion deber investigado quito recuperar recurso arrebatado,2019-02-18
César,Montufar,CesarMontufar51,noche compartir union liga independiente quito,2019-02-19
César,Montufar,CesarMontufar51,pierda entrevista 9y30am,2019-02-19
César,Montufar,CesarMontufar51,entregado fiscalia general documento probar pago ilegal construccion metro quito insto prensa ecuatoriano seguir cerca investigacion quito debera recuperar recurso arrebatado,2019-02-19
César,Montufar,CesarMontufar51,entregado fiscalia general documento probar pago ilegal construccion metro quito insto prensa ecuatoriano seguir cerca investigacion quito debera recuperar recurso arrebatado,2019-02-19
César,Montufar,CesarMontufar51,joven tambien querer cambio apoyar consignar,2019-02-19
César,Montufar,CesarMontufar51,odebrecht creer sistema realizar pago ilegal denominado drousys primera aparecer prueba corrupcion contrato metro quito fiscalia deber reabrir investigacion luchare recuperar recurso arrebato corrupcion,2019-02-20
César,Montufar,CesarMontufar51,,2019-02-20
César,Montufar,CesarMontufar51,paso paso recorrer quito creer comunicacion personalizado escuchar ciudadano,2019-02-20
César,Montufar,CesarMontufar51,sector mariscal foco inseguridad quito embargo barrio tradicional turistico conversar dirigente propietario zona escuchar problematicar garantizarl solución,2019-02-20
César,Montufar,CesarMontufar51,manán realizar recorrido casual equipo compartir proyecto plan trabajo quito gracias amigo,2019-02-20
César,Montufar,CesarMontufar51,dispuesto asumir liderazgo ciudad recuperar recurso arrebatar quito,2019-02-21
César,Montufar,CesarMontufar51,conversar vendedor informal quito proponer crear plaza comercio formal evitar mercado ambulante crear plaza empleo,2019-02-21
César,Montufar,CesarMontufar51,gratificante apoyo quiteno,2019-02-21
César,Montufar,CesarMontufar51,orgulloso equipo cada paso firme hacia objetivo,2019-02-22
César,Montufar,CesarMontufar51,acompanano recorrido parroquia rural,2019-02-23
César,Montufar,CesarMontufar51,plan trabajo hacer escuchar quiteno sector formar pensar familia gremio colegio profesional diseno plan ejes politica publica obra emblematica encuentralo,2019-02-23
César,Montufar,CesarMontufar51,orgulloso equipo cada paso firme hacia objetivo gracias apoyo recorrido nayon cumbaya tumbaco checo,2019-02-24
César,Montufar,CesarMontufar51,detendra llueva truenir relampaguee lucharemo ciudad merecemo gracios carino gente calderon,2019-02-24
César,Montufar,CesarMontufar51,orgulloso contar juan manuel carrion primero candidato concejal distrito norte decir decidar mojar poncho entrar justa electoral servir ciudad,2019-02-24
César,Montufar,CesarMontufar51,general moncayo alcalde quito jamas autorizare firmarar contrato injusto ciudad robar dejare robir quiteno usted permitio,2019-02-25
César,Montufar,CesarMontufar51,jornada intenso entrevista ricky cuevo bruja caminar calle centro historico escuchar ciudadano cuanto carino expresar qui gracios apoyo defraudare,2019-02-25
César,Montufar,CesarMontufar51,acción concreto mejorar potenciar turismo ciudad externo interno volver sentir orgulloso vivir capital lindo americo,2019-02-25
César,Montufar,CesarMontufar51,ayer castigado pronto podrar entrevista completo,2019-02-26
César,Montufar,CesarMontufar51,entrevista cesar montufar sintetiza plan gobierno sistema integrado seguridad integrar sistema transporte torno metro mayor reciclaje eficiencia transparencia,2019-02-26
César,Montufar,CesarMontufar51,proponer reestructuracion concejo permitir alcalde empresa publica trabajar bien colectivo,2019-02-27
César,Montufar,CesarMontufar51,campán sucio continuo circular panfleto falso propuesta campán,2019-02-27
César,Montufar,CesarMontufar51,mejor,2019-02-27
César,Montufar,CesarMontufar51,propuesta compromiso apoyar creatividad emprendimiento compromiso,2019-02-27
César,Montufar,CesarMontufar51,compromiso apoyar creatividad emprendimiento compromiso,2019-02-27
César,Montufar,CesarMontufar51,amigo invito sintonizar,2019-02-28
César,Montufar,CesarMontufar51,proponer ciudad descontaminado respetuoso biodiversidad promovemos distrito metropolitano quito provincia pichincho estir libre minerio metalico,2019-03-01
César,Montufar,CesarMontufar51,,2019-03-01
César,Montufar,CesarMontufar51,dialogo candidato alcaldio,2019-03-01
César,Montufar,CesarMontufar51,querido quiteno invitar formar parte importante compromiso,2019-03-01
César,Montufar,CesarMontufar51,jajaja llego memir manera creativo graficar cosa campán pese jalón seguir posicion balon punto ganar partido hecho mucho gracia,2019-03-01
César,Montufar,CesarMontufar51,jajaja llego memir manera creativo graficar cosa campán pese jalón seguir posicion balon punto ganar partido hecho mucho gracia,2019-03-01
César,Montufar,CesarMontufar51,gracias carlos michelén confianza compromiso quiteno alcaldiar policia metropolitanos podrar utilizar celular chatear mirar red social dedicarar hacer trabajo,2019-03-01
César,Montufar,CesarMontufar51,tipo politico requerir pesar tanto podredumbre existir bien aplauso,2019-03-02
César,Montufar,CesarMontufar51,arrancar feriado carnaval honestidad acompananos recorrido noroccidente,2019-03-02
César,Montufar,CesarMontufar51,acto conviccion firmamos junto juan manuel carrion ester moscoso compromiso mantener distrito metropolitano quito provincia pichincha libre mineria metalico,2019-03-02
César,Montufar,CesarMontufar51,alcaldio dedicare nino lograr construir ciudad buen sera buen ciudad seguro limpia sano garantice derechos futuro,2019-03-03
César,Montufar,CesarMontufar51,alcaldio dedicare nino lograr construir ciudad buen sera buen ciudad seguro limpia sano garantice derechos futuro,2019-03-03
César,Montufar,CesarMontufar51,mil quiteno demostrar afecto apoyo recuperar ciudad junto lograremo construirer merecemo muchisima gracia carino compromiso,2019-03-04
César,Montufar,CesarMontufar51,feriado trabajar intensamente llegar propuesto mil familia peaj oyacoto valle chil cambio recibir apoyo bendición sugerencia carino mucho gracia,2019-03-05
César,Montufar,CesarMontufar51,bienvenid casa gracia apoyo propuesto cada seguro triunfo marzo quito vencerar,2019-03-05
César,Montufar,CesarMontufar51,ver alegria crecer propuesto sentir apoyo enorme elección tomar decision tres candidato ligado correismo candidatura ciudadano libre corrupcion tres apoyo marzo quito vencerar,2019-03-06
César,Montufar,CesarMontufar51,ver alegria crecer propuesto sentir apoyo enorme elección tomar decision tres candidato ligado correismo candidatura ciudadano libre corrupcion tres apoyo marzo quito vencerar,2019-03-06
César,Montufar,CesarMontufar51,iniciar etapa final campán satisfecho haber lograr consolidar voto norte parroquia semán disputar voto voto centro quito ganar decir gente,2019-03-06
César,Montufar,CesarMontufar51,negociacion aeropuerto quiport totalmente lesivo quito responder equivocado reconocerio,2019-03-06
César,Montufar,CesarMontufar51,satisfecho conversatorio mantuvimos miembro camarar pequena industria analizar varios tema interesante coincidencia fomentar productividad oportunidad empleo gracias idea,2019-03-07
César,Montufar,CesarMontufar51,aqui agendir entrevista jueves marzo 2019 escuchano partir 6h00,2019-03-07
César,Montufar,CesarMontufar51,acerco senor esposa estrecho mano firmeza hablar experiencia alcaldio adulto mayor tendrar espacio ayudar educar formar contagiar orgullo quiteno,2019-03-07
César,Montufar,CesarMontufar51,gobierno central gobiernos local deberiar generar empleo adulto mayor capaz gana detra seguro social quebrado brindo soporte alguno,2019-03-07
César,Montufar,CesarMontufar51,acompaname entrevista converser plan trabajo poder descargar,2019-03-07
César,Montufar,CesarMontufar51,acompaname entrevista converser plan trabajo poder descargar,2019-03-07
César,Montufar,CesarMontufar51,invitar escuchar propuesta quitar poco minuto,2019-03-07
César,Montufar,CesarMontufar51,aeropuerto quito caro capital americo latino renegociar quiport recuperar recurso ciudad seguir emplazar responda negociacion,2019-03-07
César,Montufar,CesarMontufar51,deber fortalecer administración zonal deber unidad gestion efectivo perspectiva realizar obra deber tener presupuesto,2019-03-07
César,Montufar,CesarMontufar51,recta final agenda apretado medio hora,2019-03-07
César,Montufar,CesarMontufar51,junto construirer sistema integral recoleccion articule municipio empresa privado reciclador base sero ciudad completamente limpio votar,2019-03-07
César,Montufar,CesarMontufar51,,2019-03-07
César,Montufar,CesarMontufar51,realizado grave cuestionamiento concesion aeropuerto quito responder pruebelo necesitar ninguno comision demostrar autorizo concesion lesivo quito hacer retracto seguir silencio estar dandome razon,2019-03-07
César,Montufar,CesarMontufar51,realizado grave cuestionamiento concesion aeropuerto quito responder pruebelo necesitar ninguno comision demostrar autorizo concesion lesivo quito hacer retracto seguir silencio estar dandome razon,2019-03-07
César,Montufar,CesarMontufar51,listo conversatorio compartir idea quito,2019-03-07
César,Montufar,CesarMontufar51,alcaldio decencia honestidad valentio seran bandera cumplir promesa mano equipo calificado lograremos recuperar ciudad descargo plan trabajo,2019-03-07
César,Montufar,CesarMontufar51,conversatorio colegio ingeniero pichincha acordar quito necesitar experiencia profesionalismo institucion construir,2019-03-08
César,Montufar,CesarMontufar51,conversatorio colegio ingeniero civil pichincha acordar quito deber contar experiencia profesionalismo institucion construir,2019-03-08
César,Montufar,CesarMontufar51,siempre homenaje mujer igualdad derechos empoderamiento seguridad lucha admiro,2019-03-08
César,Montufar,CesarMontufar51,momento debatir movilidad seguridad junto,2019-03-08
César,Montufar,CesarMontufar51,dinero obra quiteno pagar millón metro necesitar recuperar recurso corrupcion quito,2019-03-08
César,Montufar,CesarMontufar51,feliz internacional mujer construyar quito incluyente equitativo diverso,2019-03-08
César,Montufar,CesarMontufar51,realizado cuestionamiento grave concesion aeropuerto quito autorizo demostrar acerto erroneo concesion vigente 2041 terriblemente lesivo quito hacer retractare silencio razon,2019-03-08
César,Montufar,CesarMontufar51,senor realizado cuestionamiento grave concesion aeropuerto quito autorizo demostrar acerto erroneo concesion vigente 2041 terriblemente lesivo quito hacer retractare silencio razon,2019-03-08
César,Montufar,CesarMontufar51,alcaldia crearer mejor sistema mercado comercio autonomo regularizado pais compromiso,2019-03-08
César,Montufar,CesarMontufar51,campán quiteno dejar sorprenderme carino apoyo volver municipio servicio deber ciudadano,2019-03-08
César,Montufar,CesarMontufar51,gracias respaldo realidad falso encuesta pagado mafia electorera total apoyo futuro alcalde candidato junto parroquial encabezado rodrigo balseco,2019-03-09
César,Montufar,CesarMontufar51,apoyo cada casa cada calle cada parroquia ciudadano querer cambio querer abrir puerta futuro fallar palabra construir,2019-03-09
César,Montufar,CesarMontufar51,marzo elegiremo corrupcion honestidad alcalde mano libre someter obra sobreprecio obra corrupcion 2019 voto familiar honesto quito vencerar,2019-03-11
César,Montufar,CesarMontufar51,concesion aeropuerto quito deber verificar puesto lesivo ciudad,2019-03-11
César,Montufar,CesarMontufar51,gracias apoyo compromiso devolver quito ciudadano,2019-03-11
César,Montufar,CesarMontufar51,tarde compartir vision centro historico conversatorio candidato alcaldio quito tipo encuentro fundamental debatir escuchar proponer construir ciudad,2019-03-11
César,Montufar,CesarMontufar51,ciudad delante enorme desafio recuperar tiempo perdido despu ano relegado autoridad serar conductor proceso alcaldio,2019-03-11
César,Montufar,CesarMontufar51,manán comenzar temprano estare noticiero fernando correa,2019-03-12
César,Montufar,CesarMontufar51,quiteno primero llegar alcaldia devolverl ciudad secuestrado gracias apoyo confianza defraudar,2019-03-12
César,Montufar,CesarMontufar51,centro historico corazon ciudad tradición arquitectura gente construir identidad recuperar esplendor centro historico volvera quiteno,2019-03-12
César,Montufar,CesarMontufar51,departamento parques jardines recordar carino grande apoyo total garcia llegar alcalde prefecto,2019-03-12
César,Montufar,CesarMontufar51,idea hacer ciudad policentricay compacto,2019-03-13
César,Montufar,CesarMontufar51,proyecto carecer transparencia,2019-03-13
César,Montufar,CesarMontufar51,investigar grande contrato municipio iniciar metro quito,2019-03-13
César,Montufar,CesarMontufar51,querer seguir secuestrar cuidad querer amedrentarno condescendencia quito honestidad juego entero viva carajo,2019-03-13
César,Montufar,CesarMontufar51,querer seguir secuestrar cuidad querer amedrentarno condescendencia quito honestidad juego entero viva carajo,2019-03-13
César,Montufar,CesarMontufar51,manán comenzar temprano recorrer barrio alto noroccidente,2019-03-13
César,Montufar,CesarMontufar51,realizamos recorrido barrio alto noroccidente comprometido reformar ordenanza regularizar barrio entregar ciudadano titulo propiedad vivienda quiteno necesitar seguridad juridico predio,2019-03-13
César,Montufar,CesarMontufar51,levante mano cansado escuchar siguiente querer votar miedo gane yundar querer poder votar usted querer vero ganar,2019-03-14
César,Montufar,CesarMontufar51,tambien espacio bromear hablar cotidiano,2019-03-14
César,Montufar,CesarMontufar51,sector guajalo recibir apoyo quiteno fervor ciudadano existir,2019-03-14
César,Montufar,CesarMontufar51,sector guajalo recibir apoyo quiteno fervor ciudadano existir,2019-03-14
César,Montufar,CesarMontufar51,dialogo virtud siempre dare tiempo hablar medio comunicacion responder inquietud manán ser intenso,2019-03-15
César,Montufar,CesarMontufar51,familia amigo honesto acompaname caraván honestidad encontrarer sabar marzo redondel frente unasur demostrarer,2019-03-15
César,Montufar,CesarMontufar51,seguir campán presentar ciudadano propuesto quito calle poder conocer necesidad inquietudes gente tarde cometer pueblo,2019-03-15
César,Montufar,CesarMontufar51,invitar revisar discutir compartir plan gobierno quito voto familia,2019-03-16
César,Montufar,CesarMontufar51,solo poder decir gracia quiteno decidir quito vencerar muchisimos auto seguir sumar acompaname,2019-03-16
César,Montufar,CesarMontufar51,seguir unir marzo quito vencerar,2019-03-16
César,Montufar,CesarMontufar51,seguir recorrer ciudad sentir apoyo quiteno decidido voto marzo quito vencerar,2019-03-16
César,Montufar,CesarMontufar51,,2019-03-16
César,Montufar,CesarMontufar51,momento honestidad momento quito lider politico momento quito lider ejecutor momento recuperar ciudad,2019-03-16
César,Montufar,CesarMontufar51,politico decepcionado probablemente importar elección deber campán visto quito cada invito inicier caminar ciudad diferente decidete acompaname,2019-03-18
