nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Víctor Hugo,Erazo,victorhugoerazo,"refineria sacar combustible basura , universidad Quito , cooperativa ahorro credito Quito , recuperacion rio Machangara , propuestas @ victorhugoerazo , candidato Alcaldia Quito # Elecciones2019EC https : //t.co/KYADhydInC",2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,# MisPropuestas # Quito # viables # inclusivas . Basta mismos siempre ! 24 marzo # VotaConFE # VotaTodo10 # ErazoAlcaldeDeQuito https : //t.co/jtE0Gjo81U,2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,"24 marzo acude # urnas toda # FE , cambiemos # historia # ciudad ! Quito # VOTATODO10 # ErazoAlcalde https : //t.co/xVMOsWoRXH",2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,"@ GuayaquilQ , @ xbuendia2019 , @ mariasolcorral , @ PabloDavalos63 , @ CesarMontufar51 , @ AndresPasquel8 , @ EdgarJacomeT , @ victorhugoerazo @ JCSolines dialogo candidatos alcaldia # Quito https : //t.co/r2MqAhUcos",2019-03-01
Víctor Hugo,Erazo,victorhugoerazo,VOTA 10 # erazo https : //t.co/PFkmv6uNSl,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,VOTA 10 # erazo https : //t.co/Aw9M206EHK,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,# erazo 10 # FE10 FuerzaEC https : //t.co/leJA5Q5FKa,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,primer grupo candidatos candidatas participaran # DebatePorQuito estara conformado : @ xbuendia2019 @ abenavidesgol1 @ mariasolcorral @ LuisaMaldonadoM @ EdgarJacomeT @ AndresPasquel8 @ victorhugoerazo https : //t.co/sTPAMzRNms,2019-03-12
Víctor Hugo,Erazo,victorhugoerazo,alcalde https : //t.co/qyXXuToBNm,2019-03-16
Víctor Hugo,Erazo,victorhugoerazo,# ErazoAlcade https : //t.co/IaZvrZINjU,2019-03-19
