nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Gina María,Aguilar Ochoa,GinaAguilarEc,"Gira de medios.

Ya estamos en la bella ciudad de Ambato. En breve inicia nuestra agenda para dar a conocer nuestro plan de trabajo para el #CPCCS.

!Buen dia! 
#PorUnEcuadorHonesto https://t.co/OGPpC4fxlN",2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,"Buenos dias amigos . Iniciamos nuestras visitas a los medios de comunicacion. 
Compartimos un extracto de la entrevista en Radio Centro, dial 91.7 FM, de la ciudad de Ambato. 

#PorUnEcuadorHonesto  https://t.co/Z3denVk4gI",2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,"Gira de medios .

Ya en Radio Caracol, dial 91.3 FM, compartiendo nuestro plan de trabajo para el Consejo de Participacion Ciudadana y Control Social .

#PorUnEcuadorHonesto https://t.co/vA26qoKAUe",2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,"El proceso de seleccion debe garantizar la idoneidad y probidad de las autoridades de control. 

--Gina Maria Aguilar Ochoa, candidata al CPCCS, CASILLERO #5. 

!Agradecemos a @ElHeraldoAmbato por la entrevista! https://t.co/fOedhffpU6",2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,"Gira de medios .

Agradecemos a @RadioLider1010 por abrirnos las puertas y permitirnos dialogar sobre mi plan de trabajo para el nuevo Consejo de Participacion Ciudadana y Control Social .

#PorEcuadorHonesto https://t.co/3hoVeSgXcG",2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,"Gira de medios .

!Nos merecemos un Ecuador honesto ! 

Agradecemos a Diario El Ambateno por la entrevista. 

#SomosCasillero5 https://t.co/aFEQO8UuZO",2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,"Agradecemos a todos los medios de comunicacion de la ciudadania de Ambato, que nos abrieron sus puertas y nos permitieron compartir nuestras propuestas para el nuevo Consejo de Participacion Ciudadana y Control Social .

!Buenas noches! 

#Elecciones2019EC
#SomosCasillero5 https://t.co/pOHdbAGkOt",2019-02-20
Gina María,Aguilar Ochoa,GinaAguilarEc,"Nos vemos manana en el encuentro organizado por el @cnegobec, con el objetivo de dar a conocer las propuestas de los candidatos/as a consejeros y consejeras del @CPCCS.

--Gina Maria Aguilar Ochoa, candidata al CPCCS, CASILLERO #5. 

#EleccionesCPCSS
#PorUnEcuadorHonesto https://t.co/P4ICDVm2E0",2019-02-20
Gina María,Aguilar Ochoa,GinaAguilarEc,"Les dejamos un extracto del encuentro ""Construccion de la democracia participativa en el territorio"", organizado por el @cnegobec en la ciudad de Latacunga. Fue grato exponer nuestras propuestas para el @CPCCS.

--Gina Maria Aguilar Ochoa, candidata al CPCCS, CASILLERO #5. https://t.co/PlJz9Or2vt",2019-02-20
Gina María,Aguilar Ochoa,GinaAguilarEc,"Hoy la visita a la ciudad de Latacunga fue un exito. Iniciamos la manana formando parte del encuentro organizado por el @cnegobec, luego estuvimos en varios medios  exponiendo nuestras propuestas para el nuevo @CPCCS. !Gracias por la acogida! 

#PorUnEcuadorHonesto https://t.co/RpRyAMhQcA",2019-02-21
