nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jimmy,Jairala,jimmyjairala,"ve adversarios politicos @ jimmyjairala bajo TROLL . sorprende . anonadado vez traer TROLEBUSES Metro Via , traido BUSES TROLES campana . aire acondicionado , supuesto .",2019-02-19
Jimmy,Jairala,jimmyjairala,Accion Extraordinaria Proteccion exageradas inconstitucionales multas infracciones transito . # elmejorguayaquildetodoslostiempos @ teleradio1350 https : //t.co/gD0DcZdYuu,2019-02-19
Jimmy,Jairala,jimmyjairala,[ # BOLETIN ] @ jimmyjairala indico si @ CorteConstEcu falla multas ATM analizaran vias legales devolver montos afectados conductores guayaquilenos . # ElMejorGuayaquilDeTodosLosTiempos LEE NOTA https : //t.co/XFjc5V4MPu https : //t.co/JDFWZ4FdTs,2019-02-19
Jimmy,Jairala,jimmyjairala,[ # BOLETIN ] @ jimmyjairala explico si @ CorteConstEcu falla multas ATM deben buscar vias legales resarcir conductores afectados ciudad . # ElMejorGuayaquilDeTodosLosTiempos LEE NOTA https : //t.co/nrjBaxtiel https : //t.co/cJX1Sjkmti,2019-02-19
Jimmy,Jairala,jimmyjairala,Conoce mas candidato Alcaldia Guayaquil @ jimmyjairala ene sta entrevista realizada @ ViToTV_Offical https : //t.co/v0BLnO7Mya,2019-02-19
Jimmy,Jairala,jimmyjairala,"Letrero q daba indicaciones d transito entrada d urdesa Gye , utizado campana electoral favor d candidatos q auspicia actual administracion municipal ... legal @ cnegobec @ ParticipacionPC @ jimmyjairala @ JorgeVelezVelez @ HENRYCARRASCAL @ malulyvaldivies https : //t.co/uKQaFWHg0I",2019-02-19
Jimmy,Jairala,jimmyjairala,"hagan @ CynthiaViteri6 vez . ilusionaron 2017 diciendole pasaba segunda vuelta . financian bromas mal gusto . enganen , hermana : segunda encuestas . deprimas , verdad .",2019-02-19
Jimmy,Jairala,jimmyjairala,"Mienten cada diente . 6 llegado desesperacion `` Nivel Dios '' siguen pretendiendo tomarle pelo guayaquilenos . Vayan nomas cuentos chinos . 24 veremos dicen `` encuestas '' . cosas , nadie cree . https : //t.co/2ojEWtPLlL",2019-02-19
Jimmy,Jairala,jimmyjairala,"familia unida , dignidad guayaquilenos @ jimmyjairala sera nuevo alcalde Guayaquil . Ayer 7 lagos , sur urbe portena . # ElMejorGuayaquilDeTodosLosTiempos https : //t.co/PVDJLsvNyP",2019-02-19
Jimmy,Jairala,jimmyjairala,. @ jimmyjairala explico @ teleradio1350 cuales expectativas demanda constitucional presentada abusivas multas ATM . caso ahora debera pasar @ CorteConstEcu . Mira resumen entrevista . # ElMejorGuayaquilDeTodosLosTiempos https : //t.co/gqbFeSt3Lc,2019-02-19
Jimmy,Jairala,jimmyjairala,"Tres parroquias recorrimos caminando , caravana reuniendonos colectivos moradores : Letamendi , Garcia Moreno Sucre . https : //t.co/ojWidftuCI",2019-02-19
Jimmy,Jairala,jimmyjairala,Casas Colectivas constatamos penoso viven 700 familias ignoradas Municipio . Quedaron esperanza administracion seran `` integrados '' Ciudad . https : //t.co/59Q7D1ayJ3,2019-02-19
Jimmy,Jairala,jimmyjairala,"Finalizamos concentracion Lizardo Garcia Rosendo Aviles barriada pidio seguridad , mejorar servicios basicos , bajar multas ATMy luchar drogas . # elmejorguayaquildetodoslostiempos https : //t.co/esN8IDKV0Z",2019-02-19
Jimmy,Jairala,jimmyjairala,@ jimmyjairala concretaran grandes cambios q espera ciudadania : mejoras radicales transporte publico ( primero dijeron q `` x salud publica pueden poner A/C pobres '' ) luego insistencia traen 20 buses . # RayaTodo1 https : //t.co/SdnTpyp2rY,2019-02-19
Jimmy,Jairala,jimmyjairala,"[ # BOLETIN ] @ jimmyjairala recorrio parroquias Letamendi , Sucre Garcia Moreno . Pudo conversar vecinos Casas Colectivas prometio terminar abandono municipal sufrido ultimas administraciones . LEE NOTA https : //t.co/WxFypGle1V https : //t.co/x0cown5Oj5",2019-02-20
Jimmy,Jairala,jimmyjairala,Firmes construccion # elmejorguayaquildetodoslostiempos @ radioelite9971 @ rtw24ec https : //t.co/yTRApBF1ub,2019-02-20
Jimmy,Jairala,jimmyjairala,"Policia Ciudad reemplazara Metropolitana tendra importante presencia mujeres . Necesitamos policia amiga , cercana , habra persecucion maltrato informales . ayudarlos organizarse . https : //t.co/h90noy6cWd",2019-02-20
Jimmy,Jairala,jimmyjairala,Si @ CorteConstEcu da razon podemos aplicar Derecho Repeticion firmaron Ordenanza devuelvan dineros cobrados indebidamente infracciones transito . @ radioelite9971 https : //t.co/OVgg4wyDOp,2019-02-20
