nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
José Carlos,Tuarez Zambrano,jcarlostuarez,seguir recorrer hermoso provincia Rios jornadar medio quevedo ser entrevistar ROQ TV comparti propuesto CPCCS compromiso velar estabilidad cuidado familia elecciones2019ec ahora eleccionescpccs,2019-02-19
José Carlos,Tuarez Zambrano,jcarlostuarez,fiscalizarer recurso ingresar cada provincia designar autoridad cumplido debido concurso merito oposicion Rey tv compromiso ciudadania Quevedo resto pais EleccionesCPCCS elecciones2019ec ahora EC,2019-02-19
José Carlos,Tuarez Zambrano,jcarlostuarez,claudicare seguir luchar junto ecuatoriano pai trasparente existir oportunidad cada ecuatoriano importar apellido condicion social procedencia mensaje comparti Radio Rey Quevedo elecciones2019ec CPCCS,2019-02-19
José Carlos,Tuarez Zambrano,jcarlostuarez,Manabi provincia natal encuentro recorrer temprana hora varios medio comunicacion primero medio radioscandalo comparti propuesto CPCCS Elecciones2019 EleccionesCPCCS Puesto7 Ecuador Manabi EC,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,dejaremos pais seguir silencio luchar junto corrupcion hoy oromartv comparti ecuatoriano propuesto compromiso construir junto mejor pais CPCCS Elecciones2019 EleccionesCPCCS Puesto7 Ecuador Manabi,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,tarde recibido instalación SonoOndaHDRadio comparti opinión situacion pai proceso electoral ano propuesto CPCCS Elecciones2019 EleccionesCPCCS Manabi Ecuador Elquintopoder Juntos Patria,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,finalizar espectacular jornada invitados estudio tvmanabitar hable propuesta CPCCS motivación llevar ser parte proceso electoral Ecuador Elecciones2019 Manabi Elquintopoder,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,Vota Padre Jose Tuarez Consejo Participacion ciudadanar control social Buscalo papeleto hombre 7mo cuello clerical,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,seguir Manabi bello provincia comunicare ciudadano propuesto opinión CPCCS continuacion presento agenda medio diar viernes 22 febrero elecciones2019ec Ecuador CPCCS Familia Puesto EleccionesCPCCS,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,Dios guardar hermano ecuatoriano diferente provincia bendecido patria esperar temblor quitar ningun ser amar Sismo EcuadorPrevenido,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,Agradezco tvmanabitar invitacion tanto grato recibimiento ir trabajar olvidado sere voz voz 22feb BuenViernes,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,gracias Manta maravilloso ser recibir calidez ir vigilar recurso destinado diferente sector evitar sobreprecio BuenViernes PadreJoseTuarez,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,Felicitaciones sentir él gusto provincia apoyar siempre siga hacer buen campana,2019-02-22
José Carlos,Tuarez Zambrano,jcarlostuarez,estimados amigo excelente inicio semana seguir informado comparto agendir actividad diar manana 25 febrero realizar él hermoso provincia Guayas Guayas Elecciones2019 EleccionesCPCCS Ecuador CPCCS,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,saludo estimado amigo bello productivo diar Comenzamos actividad Guayas Caravana750 encontrar compartir propuesta mejor junto pai Elecciones2019 EleccionesCPCCS ECUADOR Guayas,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,jcarlostuarez Caravana750 bendición Padre ser humano excepcional abrazo fuerte distancia,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,instalación ECUADOR DIRECTO compartido fuerte sincero dialogo importancia CPCCS comprometo ecuatoriano luchar transparencia largo vida quintopoder activismosocial Elecciones2019,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,parar Sigo compartir propuesta opinión importancia CPCCS pais voz ser silenciar callare nunca 680radioatalaya compromiso tú ecuatoriano Elecciones2019EC Ecuador GYE,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,jcarlostuarez CPCCS Estimado Padre votarir usted contar Manabita lindo Dios bendiga padre,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,jcarlostuarez CPCCS Estimado Padre llegar ser electo esperamos ayudar reconstruir institucionalidad pais destruir diestro siniestra sr Lenin moreno,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,Padre Dios guie proteger buen inicio semán fuerza fe Ecuador decente solidario Cuente voto apoyo siempre,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,deber luchar verdad junto hacer mejor pai junto nuevo cpccs invitar seguir entrevista WilarRadio compartir él contacto Elecciones2019EC EleccionesCPCCS JoseTuarez ecuadorenlasurna Ecuador Guayas,2019-02-25
José Carlos,Tuarez Zambrano,jcarlostuarez,votar conviccion futuro familia comparto sentimiento rechazo dirigente organización social Guayas Juntos rechazar eliminacion CPCCS 2019votovido Unidos elecciones2019ec EleccionesCPCCS,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,hacer culmine ferviente grata reunion GREMIO PROFESIONALES DISTRITO 1 compartir diverso opinión importancia CPCCS escuche necesidad noble grupo Elecciones2019EC ecuadorenlasurna Guayaquil,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,dejar componenda politica seguir danar Ecuador Votemos decencia Casillero 7 hombre CPCCS,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,RIESG reunion jcarlostuarez candidato concejero CPCCS dar conocer problematica sector aportar propuesto Gracias jcarlostuarez sector EPS contar usted redesbarrial redemprendimie1 FEDEBASG FacEconomia UG UdeGuayaquil CamaraEps,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,excelente tendencia Padre JOSE CARLOS TUAREZ CPCCS VOTA CASILLERO 7,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,calido provincia Guayas informo agenda medio diar hoy 26 febrero invito compartir informe junto llever mensaje unidad verdadero CPCCS,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,motivacion LaFamilia LaVida ElAmor padre fuerza hogar madre luz familia hijo inspirar ProVida CPCCS hoy radioamericaec comprometo luchar familia Ecuador,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,espectacular revista online revistzonalibre encuentro compartir ameno dialogo motivación propuesto CPCCS invito compartir disfrutir encuentro Elecciones2019 eleccionescpccs ecuadorenlasurna Guayaquil Guayas,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,querer pais abundir sonrisa escaseir lagrima honesto mas unido vencerer Corrupcion invito 24marzo construyamos junto gran historia candidatocpccs felizmart tienenderechoavotar PadreJoseTuarez CPCCS,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,luchar junto dejarar cpccs silenciado LAVOZDEDAULE compromisir todo ciudadania Elecciones2019EC EleccionesCPCCS Luchar Juntos,2019-02-26
José Carlos,Tuarez Zambrano,jcarlostuarez,voz tambien palabra ciudadano honesto estar cansado ser silenciar canaldeduran comparti propuesto CPCCS dar mensaje apoyo union ciudadanos Duran Duran EleccionesCPCCS Elecciones2019EC,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,seguir luchar fuerte transparente CPCCS hacer varios hora dialoguir propuesto organismo DVTelevision Elecciones2019EC EleccionesCPCCS Ecuador Guayas VotaPorCPCCS,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,seguir luchar fuerte transparente CPCCS hacer varios hora dialoguir propuesto organismo DVTelevision Elecciones2019EC EleccionesCPCCS Ecuador Guayas VotaPorCPCCS,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,Canal 29 Daule comparti propuesto opinión CPCCS junto voz logre dar él transparencia pais Elecciones2019 EleccionesCPCCS,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,estimados amigo tú excelente feliz miercol hoy 27 febrero compartir tú agenda medio actividad realizar todo bello Provincia Santa Elena invitar compartir informe Elecciones2019EC CandidatoCPCCS EC,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,estimados amigo tú excelente feliz miercol hoy 27 febrero compartir tú agenda medio actividad realizar todo bello Provincia Santa Elena invitar compartir informe Elecciones2019EC CandidatoCPCCS EC,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,interesar si curir ateo tuit Tuarez gano voto,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,saludo amigo Empiezo Agenda provsantaelén brisatv23 dar conocer bello provincia candidatura CPCCS ir luchar Corrupcion amor familias recuperar valor vido Provida felizmiercol,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,ir poner Disciplina ir permitir poco robir recurso esperanza yabasta poder politico estar promover votonulo humilde pueblo pobre ir permitir Si rico decir pobre diremos Si,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,radio vozpeninsulo ser enlacir ciudadano solucionar queja pedido denuncia PadreJoseTuarez CPCCS provsantaelén Corrupcion felizmiercol,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,ir poner Disciplina ir permitir poco robir recurso esperanza yabasta poder politico estar promover votonulo humilde pueblo pobre ir permitir Si traidor decir poder ciudadano dirar Si,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,ninguno tendencia politico derecho izquierdo candidatura padre trabajador madre luchador hijo comprometido estudios amor vida familio respondo ningun movimiento politico cpccs,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,carlosverareal CPCCS buenos candidato Carlos votario papeleto hombre jcarlostuarez dos mas tres padre servicio gente todo vida inteligente resultado probo bueno anuler voto cpccs definitivo saludo,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,luchar valor valentio firmeza honor Corrupcion Defendere interés Familia Provida PadreJoseTuarez CandidatoCPCCS CPCCS provsantaelén,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,radiosalinasfm provsantaelena Promover igualdad derechos participacion ciudadano decisión tomar sera principal propuesta PadreJoseTuarez CPCCS,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,radiosalinasfm provsantaelena Promover igualdad derechos participacion ciudadano decisión tomar sera principal propuesta PadreJoseTuarez CPCCS,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,estimados amigo tú excelente feliz miercol hoy 27 febrero compartir tú agenda medio actividad realizar todo bello Provincia Santa Elena invitar compartir informe Elecciones2019EC CandidatoCPCCS EC,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,agradezco hombre mujer valiente hoy conmemorar diadelejercitoecuatoriano victoria LaBatallaDeTarqui 27feb1829 HeroesYHeroinas ejercitoecu saludo respeto tú 190anosejercitoec,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,radioamorec Amor pongo disposicion hermoso provsantaelén candidatura CPCCS servido siempre sensibilidadsocial trayectoria basado Valores Disciplina hacer falta SectorPublico graciasprovsantaelena,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,eyaquar eps red FOSPEecu familiaprovido yosoydiamante12 Astrea1014 JulietaSagnay LAVOZDEDAULE joesgu dvite3 SofiaAlmeidaEc correista afirmo usted ecuatoriano nosoycorreista,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,eyaquar eps red FOSPEecu familiaprovido yosoydiamante12 Astrea1014 JulietaSagnay LAVOZDEDAULE joesgu dvite3 SofiaAlmeidaEc Espero despu analisis poder contar respaldo venir labor social resentimiento politico eyaquar bendición nosoycorreista,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,FRM87 Prentenden pueblo VoteNulo tendencia perdure contar astucia Pueblo defenderir unica voz cpccs unico poder poder penetrar cualquiera sector Apoyo respaldo mrivadeneirac jcarlostuarez felizmiercol,2019-02-27
José Carlos,Tuarez Zambrano,jcarlostuarez,Manana Provincia Oro estare recorrer varios medio comunicacion compartir ciudadania propuesto CPCCS compromisir tú mejor pais comparto agenda medio jueves 28 febrero Elecciones2019EC,2019-02-28
José Carlos,Tuarez Zambrano,jcarlostuarez,buen diar amigo hoy ProvDelOro Radiosuperior927FM dar conocer mucho humildad candidatura CPCCS hermano Orenses felizjuev ElOroConElPadreJoseTuarez CandidatoCPCCS YoSereTuVoz,2019-02-28
José Carlos,Tuarez Zambrano,jcarlostuarez,ProvDelOro radio gaviota ir luchar promover ParticipacionCiudadana pueblo ecuatoriano empoderamiento ControlSocial unidos salver bello Ecuador tanto Corrupcion felizjuev,2019-02-28
José Carlos,Tuarez Zambrano,jcarlostuarez,ProvDelOro radio gaviota ir luchar promover ParticipacionCiudadana pueblo ecuatoriano empoderamiento ControlSocial unidos salver bello Ecuador tanto Corrupcion felizjuev,2019-02-28
José Carlos,Tuarez Zambrano,jcarlostuarez,radiofiesta1060am saludo 14 cantón ProvDelOro Machala Arenillas Atahualpa Balsas Chilla Guabo Huaquillas Lajas Marcabeli Pasaje Pinas Portovelo Santa Rosa Zaruma pongo disposicion humilde candidatura CPCCS felizjuev,2019-02-28
José Carlos,Tuarez Zambrano,jcarlostuarez,Continuo ardua tarea firmezar compromiso radioutmachfm ProvDelOro PadreJoseTuarez CandidatoCPCCS 24demarzo Vote CPCCS Casillero7 ListaHombres YoSereTuVoz,2019-02-28
José Carlos,Tuarez Zambrano,jcarlostuarez,Continuo ardua tarea firmezar compromiso radioutmachfm ProvDelOro PadreJoseTuarez CandidatoCPCCS 24demarzo Vote CPCCS Casillero7 ListaHombres YoSereTuVoz felizjuev,2019-02-28
José Carlos,Tuarez Zambrano,jcarlostuarez,gracias atenderme diariocorreoweb diariopinion ProvDelOro poder dar conocer candidatura ciudadano servicio Orenses favor familia valor PadreJoseTuarez CandidatoCPCCS CPCCS felizjuev,2019-02-28
José Carlos,Tuarez Zambrano,jcarlostuarez,saludo Huaquillas encontrar ChemeTv dar conocer hermano sur Ecuador propuesto candidatura ciudadano CPCCS ir arecuperarlapatrio unidos Familia Valores hijo poner Disciplina 28feb,2019-02-28
José Carlos,Tuarez Zambrano,jcarlostuarez,Culmino jornada hoy canalorovision enfasis indico compromiso recuperar Disciplina tanto falta hacer PadreJoseTuarez CandidatoCPCCS YoNoVotoNulo YoSereTuVoz,2019-03-01
José Carlos,Tuarez Zambrano,jcarlostuarez,saludo amigo hoy inicio mucho gana RadioVia1160AM luchare ser enlace ciudadania solicitud queja atendido manera oportuno eficiencia transparencia BuenViernes PadreJoseTuarez CPCCS,2019-03-01
José Carlos,Tuarez Zambrano,jcarlostuarez,hoy Provincia Oro recorrerir varios medio comunicacion compartir ciudadania propuesto CPCCS compromisir tú mejor pais comparto agenda medio 01 marzo Elecciones2019EC,2019-03-01
José Carlos,Tuarez Zambrano,jcarlostuarez,Continuo RadioMachala preguntar motivo ser candidato motivo Familia padre primero salir casa ultimo llegar madre primero despertar él despedir hijo esposo ultimo acostar él mas,2019-03-01
José Carlos,Tuarez Zambrano,jcarlostuarez,hoy Provincia Oro recorrerir varios medio comunicacion mantendre dialogo ciudadania propuesto CPCCS compromisir tú mejor pais comparto agenda medio 01 marzo Elecciones2019EC,2019-03-01
José Carlos,Tuarez Zambrano,jcarlostuarez,hoy Provincia Oro hablarar varios medio comunicacion gremios mantendre dialogo ciudadania propuesto CPCCS compromisir tú mejor pais comparto agenda medio 01 marzo ElOro EC,2019-03-01
José Carlos,Tuarez Zambrano,jcarlostuarez,Sere Consejero territorio solo Escritorio promoverir sesión Cantones todo provincia representante diferente organismo escuchar queja propuesto transparentarlapatrio CPCCS DiarioElNacional,2019-03-01
José Carlos,Tuarez Zambrano,jcarlostuarez,recuerdir siempre poder tropezar deber caer poder llorar deber perder poder ser feliz bastar vivir Ustedes inspiracion junto construirer mejor ecuador gracias apoyo feliz feriado feliz CARNAVAL Ecuador,2019-03-02
José Carlos,Tuarez Zambrano,jcarlostuarez,recuerdir siempre poder tropezar deber caer poder llorar deber perder poder ser feliz bastar vivir Ustedes inspiracion junto construirer mejor ecuador gracias apoyo feliz feriado feliz CARNAVAL Ecuador,2019-03-02
