nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Víctor Hugo,Erazo,victorhugoerazo,refinerio sacar combustible basura universidad quito cooperativo ahorro credito quito recuperacion rio machangara propuesto victorhugoerazo candidato alcaldia quito elecciones2019ec,2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,mispropuesta quito viable inclusiva bastar mismos siempre 24 marzo votaconfe votatodo10 erazoalcaldedequito,2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,24 marzo acudir urna todo fe cambier historia ciudad quito votatodo10 erazoalcalde,2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,guayaquilq xbuendia2019 mariasolcorral pablodavalos63 cesarmontufar51 andrespasquel8 edgarjacomet victorhugoerazo jcsolín dialogo candidato alcaldio quito,2019-03-01
Víctor Hugo,Erazo,victorhugoerazo,votar 10 erazo,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,votar 10 erazo,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,erazo 10 fe10 fuerzaec,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,primero grupo candidato candidata participarar debateporquito estar conformado xbuendia2019 abenavidesgol1 mariasolcorral luisamaldonadom edgarjacomet andrespasquel8 victorhugoerazo,2019-03-12
Víctor Hugo,Erazo,victorhugoerazo,alcalde,2019-03-16
Víctor Hugo,Erazo,victorhugoerazo,erazoalcadir,2019-03-19
