nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
César,Montufar,CesarMontufar51,recorridos Distrito Metropolitano brindan momento riqueza intensidad humanas incomparables . # ObrasSinCorrupcion https : //t.co/lZRxAxZO8h,2019-02-17
César,Montufar,CesarMontufar51,"plan trabajo hicimos , escuchando quitenos sectores , paginas forma pensar familias , gremios , colegios profesionales . equipo gran experiencia diseno plan 5 ejes , 20 politicas publicas , 5 obras emblematicas . https : //t.co/EzgYuXPvSk",2019-02-18
César,Montufar,CesarMontufar51,propaganda electoral fabricada tetrapak reutilizado . vez termine campana comprometemos retirar toda propaganda enviarla centro acopio . https : //t.co/HvLFopMZHN,2019-02-18
César,Montufar,CesarMontufar51,"manana madrugamos redondel Ciclista , zona muchisimo trafico horas pico . Presentamos propuesta junto @ CarrionQuinde @ EugenioCampove1 Monica Armendariz https : //t.co/O1rnPsqCej",2019-02-18
César,Montufar,CesarMontufar51,"Manana , 10h30 , entregare Fiscal General documentos prueban Odebrecht realizo pagos ilegales funcionarios municipales construccion Metro . actual Administracion debe ser investigada Quito recupere recursos arrebatado . https : //t.co/FXpuYVt2Kq",2019-02-18
César,Montufar,CesarMontufar51,noche compartimos Union Ligas Independientes sur Quito . https : //t.co/C2BTvUktG5,2019-02-19
César,Montufar,CesarMontufar51,pierdas entrevista dia hoy 9y30am # ObrasSinCorrupcion https : //t.co/Kq0mXbW6ww,2019-02-19
César,Montufar,CesarMontufar51,entregado Fiscalia General documentos prueban pagos ilegales construccion Metro Quito . Insto prensa ecuatoriana seguir cerca investigacion . Quito debera recuperar recursos arrebatados . https : //t.co/8agdyJ5ZwR,2019-02-19
César,Montufar,CesarMontufar51,entregado Fiscalia General documentos prueban pagos ilegales construccion Metro Quito . Insto prensa ecuatoriana seguir cerca investigacion . Quito debera recuperar recursos arrebatados . https : //t.co/W4EfTr3PwX,2019-02-19
César,Montufar,CesarMontufar51,jovenes tambien quieren cambio . apoyan consigna # ObrasSinCorrupcion https : //t.co/BxAwELIgvH,2019-02-19
César,Montufar,CesarMontufar51,1/2 Odebrecht creo sistema realizar pagos ilegales denominado Drousys . primera vez aparecen pruebas corrupcion contrato Metro Quito . Fiscalia debe reabrir investigacion . ! Luchare recuperar recursos arrebato corrupcion ! https : //t.co/jTJAf2m7r2,2019-02-20
César,Montufar,CesarMontufar51,2/2 # ObrasSinCorrupcion https : //t.co/GafByi1gqD,2019-02-20
César,Montufar,CesarMontufar51,Paso paso vamos recorriendo Quito . Creemos comunicacion personalizada escuchar ciudadanos . https : //t.co/88466rxqXC,2019-02-20
César,Montufar,CesarMontufar51,"sector Mariscal foco inseguridad Quito embargo , barrios mas tradicionales turisticos . Conversamos dirigentes propietarios zona escuchar problematica garantizarles soluciones . https : //t.co/oHWlr4Ls9K",2019-02-20
César,Montufar,CesarMontufar51,manana realice recorrido casual equipo @ elcomerciocom compartimos proyecto plan trabajo Quito . ! Gracias amigos ! https : //t.co/kcrx4DjxYN,2019-02-20
César,Montufar,CesarMontufar51,dispuesto asumir liderazgo ciudad recuperar recursos arrebataron Quito . @ LaPosta_Ecu https : //t.co/V2ID8k15jY,2019-02-21
César,Montufar,CesarMontufar51,Conversando vendedores informales sur Quito . Proponemos crear plazas comercio formal evitar mercados ambulantes crear mas plazas empleo . https : //t.co/wMZcDg66Rl,2019-02-21
