nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Víctor Hugo,Erazo,victorhugoerazo,refineria sacar combustible basura universidad Quito cooperativa ahorro credito Quito recuperacion Machangara propuestas victorhugoerazo candidato Alcaldia Quito Elecciones2019EC,2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,MisPropuestas Quito viables inclusivas Basta mismos siempre marzo VotaConFE VotaTodo10 ErazoAlcaldeDeQuito,2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,marzo acude urnas toda cambiemos historia ciudad Quito VOTATODO10 ErazoAlcalde,2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,GuayaquilQ xbuendia2019 mariasolcorral PabloDavalos63 CesarMontufar51 AndresPasquel8 EdgarJacomeT victorhugoerazo JCSolines dialogo candidatos alcaldia Quito,2019-03-01
Víctor Hugo,Erazo,victorhugoerazo,VOTA erazo,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,VOTA erazo,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,erazo FE10 FuerzaEC,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,primer grupo candidatos candidatas participaran DebatePorQuito estara conformado xbuendia2019 abenavidesgol1 mariasolcorral LuisaMaldonadoM EdgarJacomeT AndresPasquel8 victorhugoerazo,2019-03-12
Víctor Hugo,Erazo,victorhugoerazo,alcalde,2019-03-16
Víctor Hugo,Erazo,victorhugoerazo,ErazoAlcade,2019-03-19
