nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Eduardo,Argudo,EduardoArgudoG,yazminbustan interagua alcaldiagye CynthiaViteri6 jimmyjairala fcojimenez21 cedeno marth BalerioEstacio patobuendia23 jaimelomas74 GinoCornejoM Simon BolivarEC propuesta querida Yazmin Guayaquildemisderechos,2019-02-25
Eduardo,Argudo,EduardoArgudoG,invitamos unirte transmision conocer mas GuayaquildemosDerechos,2019-02-26
Eduardo,Argudo,EduardoArgudoG,bloque Genero cada candidato escoge pregunta responderla 1 minuto Despues damos paso ronda comentarios replicas Inicia EduardoArgudoG DebatePorGuayaquil GrupoFARO teleramaec corapesatelital eluniversocom,2019-03-01
Eduardo,Argudo,EduardoArgudoG,encuentro pocos candidatos Intervenciones mayoria generalizaciones EduardoArgudoG propuestas especificas correcto manejo temas genero silvitabuendia corrigiendo informando acudieron conocimiento,2019-03-01
Eduardo,Argudo,EduardoArgudoG,respaldo trabajador libre Alcaldia nadie perseguira,2019-03-06
Eduardo,Argudo,EduardoArgudoG,Vamos desaparecer todas fundaciones beneficio inventario decir vamos fiscalizarlas dinero publico puede manos particulares vivo exigimos JusticiaParaGuayaquil desze Ecuador Directo GuayaquildemisDerechos,2019-03-06
Eduardo,Argudo,EduardoArgudoG,JUSTICIA goce efectivo derechos Si Guayaquil limitan impiden ejercicio derechos ciudad injusta cualquier espacio podamos expresarnos exigiremos pasion compromiso pueblo JusticiaparaGuayaquil,2019-03-11
Eduardo,Argudo,EduardoArgudoG,invito vernos vivo noche Exigimos JusticiaParaGuayaquil proponemos ciudad humana ecologica ciudad GuayaquildemisDerechos,2019-03-12
Eduardo,Argudo,EduardoArgudoG,DecisionEnDemocracia Hoy 22h00 conoceremos candidatos alcaldia Guayaquil EduardoArgudoG BermudezBronson patobuendia23 CarlosCasanello JorgeCopiano GinoCornejoM ValerioEstacio JoseInca Miranos vivo EcuadorTV,2019-03-12
Eduardo,Argudo,EduardoArgudoG,JusticiaparaGuayaquil GuayaquildemisDerechos ArgudoAlcalde GuayaquilvotaLista17,2019-03-18
Eduardo,Argudo,EduardoArgudoG,multas ordenanzas municipales ilegitimas Ecuador sanciones establecidas mismas infracciones COIP solo ilegitimas inaplicables inconstitucionales ahi evidente vulneracion derechos vivo CRE Satelital,2019-03-18
Eduardo,Argudo,EduardoArgudoG,policia metropolitana deber ser brigads proteccion derechos mitad hombres mitad mujeres Deben afuera escuelas colegios protegiendo ninos ninas adolescentes vivo CRE Satelital JusticiaparaGuayaquil GuayaquildemisDerechos,2019-03-18
Eduardo,Argudo,EduardoArgudoG,absoluto respaldo candidatura joven socialista EduardoArgudoG candidato PSE lista 17 presenta verdadera renovacion administracion municipal tan necesaria luego,2019-03-21
Eduardo,Argudo,EduardoArgudoG,respaldo Juventud junto Pueblo Vamos 24 Marzo derrotar visto negocios derechos,2019-03-21
Eduardo,Argudo,EduardoArgudoG,ArgudoAlcalde ciudad tendra agua potable pueda beberse llave GuayaquildemisDerechos vota Listas17 EduardoArgudoG,2019-03-21
Eduardo,Argudo,EduardoArgudoG,ArgudoAlcalde eliminaran multas ATM duplicidad sanciones GuayaquildemisDerechos vota Listas17 eduardoargudog,2019-03-21
Eduardo,Argudo,EduardoArgudoG,ArgudoAlcalde propone ciudad ecologica humana GuayaquildemisDerechos voto sera Listas17 EduardoArgudoG,2019-03-21
