nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Gina María,Aguilar Ochoa,GinaAguilarEc,gira medio bello ciudad ambato breve inicia agendo dar conocer plan trabajo cpccs buen diar porunecuadorhonesto,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,buen dia amigo iniciar visita medios comunicacion compartir extracto entrevista radio centro dial 91 7 fm ciudad ambato porunecuadorhonesto,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,gira medio radio caracol dial 91 3 fm compartir plan trabajo consejo participacion ciudadanar control social porunecuadorhonesto,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,proceso seleccion deber garantizar idoneidad probidad autoridad control gina maria aguilar ochoo candidata cpccs casillero 5 agradecer elheraldoambato entrevista,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,gira medio agradecer radiolider1010 abrirno puerta permitirno dialogar plan trabajo nuevo consejo participacion ciudadanar control social porecuadorhonesto,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,gira medio merecemo ecuador honesto agradecer diario ambateno entrevista somoscasillero5,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,agradecer medio comunicacion ciudadania ambato abrir puerta permitir compartir propuesta nuevo consejo participacion ciudadanar control social buena noche elecciones2019ec somoscasillero5,2019-02-20
Gina María,Aguilar Ochoa,GinaAguilarEc,ver manán encuentro organizado cnegobec objetivo dar conocer propuesta candidato as consejero consejero cpccs gina maria aguilar ochoo candidata cpccs casillero 5 eleccionescpcss porunecuadorhonesto,2019-02-20
Gina María,Aguilar Ochoa,GinaAguilarEc,dejar extracto encuentro construccion democracia participativo territorio organizado cnegobec ciudad latacunguir grato exponer propuesta cpccs gina maria aguilar ochoo candidata cpccs casillero 5,2019-02-20
Gina María,Aguilar Ochoa,GinaAguilarEc,hoy visita ciudad latacunguir exito iniciar manán formar parte encontrar organizado cnegobec luego varios medio exponer propuesta nuevo cpccs gracias acogida porunecuadorhonesto,2019-02-21
Gina María,Aguilar Ochoa,GinaAguilarEc,gira medio ver hoy comercio tv conversarer propuesto consejo participacion ciudadanar control social yovotocpccs elecciones2019ec somoscasillero5,2019-02-21
Gina María,Aguilar Ochoa,GinaAguilarEc,agradecer comercio tv espacio grato exponer propuesta consejo participacion ciudadanar control social merecemo ecuador honesto yovotocpccs elecciones2019ec somoscasillero5,2019-02-21
Gina María,Aguilar Ochoa,GinaAguilarEc,agradecer gkecuador exitoso entrevista seguir recorrer medio comunicacion dar conocer plan trabajo cpccs porunecuadorhonesto,2019-02-21
Gina María,Aguilar Ochoa,GinaAguilarEc,buena noche amigo aprender intercambiar idea actividad social ofrecer serie solución resultar provechoso alcanzar objetivo yovotocpcc elecciones2019ec somoscasillero5 porunecuadorhonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,ver manán ciudad riobambar seguir recorrer pais exponer plan trabajo cpccs porunecuadorhonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,buen dia amigo iniciar gira medio ciudad riobambar agradecer radio sensacion dial 102 9 fm radio futuro dial 104 9 fm apertura yovotocpccs somoscasillero5 porunecuadorhonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,ginaaguilarec  necesario ciudadania apropier involucremo trabajo consejo participacion ciudadanar control social porunecuadorhonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,radiofonicasec conversar propuesta consejo participacion ciudadanar control social yovotocpccs somoscasillero5 porunecuadorhonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,gira medio dejar extracto entrevista realizo andesdiario merecemo ecuador honesto yovotocpccs somoscasillero5,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,deber comenzar capacitar delegación consejo participacion ciudadanar control social cada provincia trabajar territorio agradecer laprensainformar entrevista yovotocpccs somoscasillero5,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,gira medio radiobonita893 compartir plan trabajo cpccs porunecuadorhonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,gira medio radiobonita893 compartir plan trabajo cpccs yovotocpcc somoscasillero5,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,gira medio agradecer radio latino dial 102 1 fm permitir yo exponer plan trabajo cpccs yovotocpcc casillero5 porunecuadorhonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,conversatorio exito gracias coordinadora politico mujer chimborazo espacio grato compartir plan trabajo cpccs yovotocpcc somoscasillero5 porunecuadorhonesto,2019-02-23
Gina María,Aguilar Ochoa,GinaAguilarEc,conversatorio exito gracias casa mujer chimborazo espacio grato compartir plan trabajo cpccs yovotocpcc somoscasillero5 porunecuadorhonesto,2019-02-23
Gina María,Aguilar Ochoa,GinaAguilarEc,agradecer cada medio comunicacion casa mujer chimborazo aperturar permitirno compartir idea propuesto cpccs yovotocpcc somoscasillero5 porunecuadorhonesto,2019-02-23
Gina María,Aguilar Ochoa,GinaAguilarEc,querido ecuador gracias apoyo invito seguir conocer mas mujer trabajador amante familia buen fin semana yovotocpcc elecciones2019ec somoscasillero5,2019-02-24
Gina María,Aguilar Ochoa,GinaAguilarEc,cambio efectivo producir diverso grupo profesional unir afrontar situación problematica dar él respuesta practicar porunecuadorhonesto,2019-02-25
Gina María,Aguilar Ochoa,GinaAguilarEc,encuentro ver manán ciudad cuenco encuentro realizado cnegobec compartir propuesta cpccs porunecuadorhonesto,2019-02-25
Gina María,Aguilar Ochoa,GinaAguilarEc,buen dia amigos universidad cuencar punto iniciar intervencion encuentro organizado cnegobec porunecuadorhonesto,2019-02-25
Gina María,Aguilar Ochoa,GinaAguilarEc,encontrar grato compartir idea propuesto junto candidato cpccs objetivo construir ecuador mas honesto yovotocpccs somoscasillero5,2019-02-25
Gina María,Aguilar Ochoa,GinaAguilarEc,buena noche amigo dejar extracto participacion encuentro construccion democracia participativo territorio organizado cnegobec ciudad cuenco gracias apoyo yovotocpcc eleccionescpccs elecciones2019ec,2019-02-26
Gina María,Aguilar Ochoa,GinaAguilarEc,buena noche amigo dejar extracto participacion encuentro construccion democracia participativo territorio organizado cnegobecir ciudad cuenco gracias apoyo yovotocpcc eleccionescpccs elecciones2019ec,2019-02-26
Gina María,Aguilar Ochoa,GinaAguilarEc,buena noche amigo dejar extracto participacion encuentro construccion democracia participativo territorio organizado cnegobec ciudad cuenco gracias apoyo yovotocpcc eleccionescpccs elecciones2019ec,2019-02-26
Gina María,Aguilar Ochoa,GinaAguilarEc,ruedadeprensar hoy varios candidato cpccs pronunciado frente comunicado expuesto convocar poblacion votar nulo 24 marzo falso argumento rescatar democracia yovotocpccs eleccionescpccs elecciones2019ec,2019-02-26
Gina María,Aguilar Ochoa,GinaAguilarEc,agradecer radioz1 abrirno puerta permitirno dialogar plan trabajo cpccs porunecuadorhonesto,2019-02-27
Gina María,Aguilar Ochoa,GinaAguilarEc,propuesta garantizar concurso independiente existir injerencia ningun inter politico economico individual hora restaurar institucionalidad autoridad proba volver confiar justicia porunecuadorhonesto,2019-02-27
Gina María,Aguilar Ochoa,GinaAguilarEc,manán ver provincia santo elena visitaremos medio comunicacion varios gremio dirigente conversatorio gracias apoyo porunecuadorhonesto,2019-02-28
Gina María,Aguilar Ochoa,GinaAguilarEc,buen dia amigo dar inicio gira medio provincia santa elena agradecer radiosalinasfm entrevista permitirno exponer plan trabajo cpccs porunecuadorhonesto,2019-02-28
Gina María,Aguilar Ochoa,GinaAguilarEc,radio nautico dial 97 3 fm exponer plan trabajo cpccs porunecuadorhonesto,2019-02-28
Gina María,Aguilar Ochoa,GinaAguilarEc,gira medio radio genial dial 106 9 fm conversar propuesta cpccs porunecuadorhonesto,2019-02-28
Gina María,Aguilar Ochoa,GinaAguilarEc,motivarar gobierno local cumplir proceso silla vacia decir servir interés necesidad organización colectividad gracias radio amor dial 89 3 fm entrevista porunecuadorhonesto,2019-02-28
Gina María,Aguilar Ochoa,GinaAguilarEc,buena noche amigo agradecer medio comunicacion provincia santa elena abrirno puerta permitirno exponer propuesta cpccs yovotocpcc eleccionescpccs somoscasillero5,2019-03-01
Gina María,Aguilar Ochoa,GinaAguilarEc,buen dia amigos conocer trayectoria propuesto candidata cpccs siguiente sitio web creado cnegobec link gracia apoyo porunecuadorhonesto,2019-03-01
Gina María,Aguilar Ochoa,GinaAguilarEc,promover participacion garantizar derecho ciudadano yovotocpcc elecciones2019ec somoscasillero5 porunecuadorhonesto,2019-03-02
Gina María,Aguilar Ochoa,GinaAguilarEc,buena noche amigo estar cordialmente invitado paro internacional mujer 8 marzo ciudad machalo igualdad genero equidad social constante yovotocpcc elecciones2019ec somoscasillero5,2019-03-03
Gina María,Aguilar Ochoa,GinaAguilarEc,respuesta cerrar entidad sino saber elegir representante compromiso garantizar verdadero democracia yovotocpcc elecciones2019ec somoscasillero5,2019-03-04
Gina María,Aguilar Ochoa,GinaAguilarEc,feliz feriado amigo recordemo junto poder construir mejor sociedad civil yovotocpccs porunecuadorhonesto,2019-03-05
Gina María,Aguilar Ochoa,GinaAguilarEc,compromiso promover derecho diferente sector social impulsar acción positivo reivindicacion participacion activo distinto etnia pueblo nacionalidad yovotocpcc elecciones2019ec somoscasillero5 porunecuadorhonesto,2019-03-06
Gina María,Aguilar Ochoa,GinaAguilarEc,buen dia amigos promover participacion garantizar derecho ciudadano yovotocpcc elecciones2019ec porunecuadorhonesto,2019-03-06
Gina María,Aguilar Ochoa,GinaAguilarEc,pongo consideracion ciudadania candidatura libre independiente compromiso ningun partido politico grupo contrario equidad derechos humanos justicia social yovotocpccs elecciones2019ec somoscasillero5 porunecuadorhonesto,2019-03-07
Gina María,Aguilar Ochoa,GinaAguilarEc,buen dias amigo hoy radio magia dial 89 5 fm dialogar candidatura propuesto cpccs  porunecuadorhonesto girademedio somoscasillero5,2019-03-07
Gina María,Aguilar Ochoa,GinaAguilarEc,agradecer radio magia dial 89 5 fm permitirnos dialogar plan trabajo cpccs porunecuadorhonesto,2019-03-07
Gina María,Aguilar Ochoa,GinaAguilarEc,feliz diar internacional mujer voz seguir exigir igualdad pleno paz justicia diainternacionaldelamujer,2019-03-08
Gina María,Aguilar Ochoa,GinaAguilarEc,buena noche amigo agradecer elcomerciocom  entrevista permitirno exponer 4 eje trabajo cpccs entrevista completo yovotocpccs somoscasillero5 porunecuadorhonesto,2019-03-08
Gina María,Aguilar Ochoa,GinaAguilarEc,ver manana marcha diar mujer paremo mundo cambiar él ahora diadelamujerec ,2019-03-08
Gina María,Aguilar Ochoa,GinaAguilarEc,2019 sera excepcion mujer saldrer calle seguir exigir igualdad pleno paz justicia diainternacionaldelamujer diadelamujerec ,2019-03-08
Gina María,Aguilar Ochoa,GinaAguilarEc,profundo reconocimiento mujer luchador marialevicuna rosaluzlm j ochoa s ginaaguilarec  cuyo ejemplo conocido cerca comprometido buscar verdadero justicia equidad genero dia ano,2019-03-09
Gina María,Aguilar Ochoa,GinaAguilarEc,dejar resumen marchar 8 marzo junto companera movimiento mujer oro recorrimo principal calle machalar llevar mensaje nadiesecanso lucha derechos diadelamujer marcha8 m,2019-03-09
Gina María,Aguilar Ochoa,GinaAguilarEc,agradecer pueblo afroecuatoriano cooperativo nigerio isla trinitario guayaquil aperturar dialogo fundamental necesidad ciudadano mayor prioridad cualquiera entidad publicar yovotocpccs somoscasillero5,2019-03-10
