nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Simón Bolívar,Rosero,Simon_BolivarEC,periodo Alcalde 2019 2023 trabajaremo Policia Nacional conjunto Fuerzas Armadas empresa privado publica fin preservar integridad vida bién guayaquileno JuntosPorUnMejorGuayaquil simonbolivar,2019-02-19
Simón Bolívar,Rosero,Simon_BolivarEC,Distrito 3 recibio brazo abierto dispuesto mejor Guayaquil sufragar 24 Marzo lista 35 juntosporunmejorguayaquil simonbolivar EseEsElHombre,2019-02-20
Simón Bolívar,Rosero,Simon_BolivarEC,comparto agenda miedo juntosporunmejorguayaquil,2019-02-20
Simón Bolívar,Rosero,Simon_BolivarEC,pensar cada tú alcaldio generarar ambiente seguro libre drogadiccion JuntosPorUnMejorGuayaquil simonbolivar EseEsElHombre,2019-02-22
Simón Bolívar,Rosero,Simon_BolivarEC,deber preparado caso sismo,2019-02-23
Simón Bolívar,Rosero,Simon_BolivarEC,presente Ladrillera junto equipo hacer llegar propuesta mejor Guayaquil junto construirer 24 marzo sufragar LISTA 35 simonbolivar EseEsElHombre,2019-02-23
Simón Bolívar,Rosero,Simon_BolivarEC,esperar domingo 24 Marzo 2 pm Bingo SimonBolivar EseEsElHombre,2019-02-23
Simón Bolívar,Rosero,Simon_BolivarEC,25 marzo Alcaldia ir gestionar cada propuesta mejor Guayaquil SimonBolivar EseEselHombre LISTA 25,2019-02-24
Simón Bolívar,Rosero,Simon_BolivarEC,totalmente agradecido recibimiento dar Cerecita JuntosPorUnMejorGuayaquil LISTA 35,2019-02-25
Simón Bolívar,Rosero,Simon_BolivarEC,conocer propuesta ir ejecutar apartir 24 Marzo gestion alcalde periodo 2019 2023 ir junto mejor Guayaquil SimonBolivarRosero EseEsElHombre,2019-02-28
Simón Bolívar,Rosero,Simon_BolivarEC,debatedemocraticoporunmejorguayaquil,2019-02-28
Simón Bolívar,Rosero,Simon_BolivarEC,nachoconsimon mierco él 20 marzo 3 pm 24 Augusto Gonzalez esperar CONCIERTO cierre CAMPANA ToditoLA35ConNacho eseeselhombre,2019-03-18
